rank,id,player,team,pos,gp,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,def_sck,def_int,fum_forced,fum_recovered,fpts_ppr_per_gp,fpts_ppr
184,21178,Jason Moore,LAC,WR,2,0,0,0,0,0,3,56,0,0,0,0,0,4.3,8.6
185,18197,Alex Erickson,CAR,WR,17,0,0,0,0,0,3,55,0,0,0,0,0,0.5,8.5
186,21964,Cody White,PIT,WR,15,0,0,0,0,0,5,33,0,0,0,0,0,0.6,8.3
187,16141,Willie Snead IV,CAR,WR,9,0,0,0,0,0,4,38,0,0,0,0,0,0.9,7.8
188,18039,Pharoh Cooper,NYG,WR,8,0,0,0,3,0,4,33,0,0,0,0,0,0.9,7.6
189,19280,Cody Hollister,TEN,WR,3,0,0,0,0,0,4,33,0,0,0,0,0,2.4,7.3
190,21071,Greg Dortch,ARI,WR,5,0,0,0,24,0,3,15,0,0,0,0,0,1.4,6.9
191,21473,D.J. Montgomery,NYJ,WR,3,0,0,0,0,0,3,36,0,0,0,0,0,2.2,6.6
192,20224,Christian Blake,ATL,WR,16,0,0,0,0,0,4,25,0,0,0,0,0,0.4,6.5
193,19064,Trent Taylor,CIN,WR,4,0,0,0,0,0,2,41,0,0,0,0,0,1.5,6.1
194,21758,KJ Hill Jr.,LAC,WR,6,0,0,0,0,0,3,30,0,0,0,0,0,1.0,6.0
195,21601,Gunner Olszewski,NE,WR,16,0,0,0,9,0,2,31,0,0,0,0,0,0.4,6.0
196,20742,J.J. Arcega-Whiteside,PHI,WR,16,0,0,0,0,0,2,36,0,0,0,1,0,0.3,5.6
197,21263,Trenton Irwin,CIN,WR,7,0,0,0,0,0,2,34,0,0,0,0,0,0.8,5.4
198,16768,Kevin White,NO,WR,6,0,0,0,0,0,1,38,0,0,0,1,0,0.8,4.8
199,17289,Jake Kumerow,BUF,WR,15,0,0,0,0,0,2,28,0,0,0,0,0,0.3,4.8
200,20071,Keith Kirkwood,CAR,WR,3,0,0,0,0,0,3,17,0,0,0,0,0,1.6,4.7
201,22620,Mike Strachan,IND,WR,5,0,0,0,0,0,2,26,0,0,0,0,0,0.9,4.6
202,19361,Marcus Kemp,KC,WR,16,0,0,0,0,0,2,24,0,0,0,0,0,0.3,4.4
203,22608,Seth Williams,DEN,WR,2,0,0,0,0,0,1,34,0,0,0,0,0,2.2,4.4
204,22573,Dazz Newsome,CHI,WR,3,0,0,0,0,0,2,23,0,0,0,0,0,1.4,4.3
205,22604,Tylan Wallace,BAL,WR,17,0,0,0,0,0,2,23,0,0,0,0,0,0.3,4.3
206,20939,David Sills,NYG,WR,4,0,0,0,0,0,2,17,0,0,0,0,0,0.9,3.7
207,20838,Tyron Billy-Johnson,LV,WR,10,0,0,0,0,0,2,16,0,0,0,1,0,0.4,3.6
208,20886,Stanley Morgan Jr.,CIN,WR,17,0,0,0,3,0,2,11,0,0,0,0,0,0.2,3.4
209,17048,Tyrell Williams,DET,WR,1,0,0,0,0,0,2,14,0,0,0,0,0,3.4,3.4
210,23090,C.J. Saunders,CAR,WR,1,0,0,0,0,0,2,11,0,0,0,0,0,3.1,3.1
211,18673,Jaydon Mickens,JAX,WR,11,0,0,0,0,0,2,10,0,0,0,0,0,0.3,3.0
212,21311,Davion Davis,HOU,WR,2,0,0,0,0,0,1,17,0,0,0,0,0,1.4,2.7
213,11565,Andre Roberts,LAC,WR,16,0,0,0,19,0,1,35,0,0,0,0,0,0.1,2.4
214,22594,Frank Darby,ATL,WR,10,0,0,0,0,0,1,14,0,0,0,1,0,0.2,2.4
215,20820,Andy Isabella,ARI,WR,8,0,0,0,0,0,1,13,0,0,0,0,0,0.3,2.3
216,22339,Kirk Merritt,MIA,WR,2,0,0,0,0,0,1,13,0,0,0,0,0,1.1,2.3
217,18717,Marvin Hall,ATL,WR,2,0,0,0,0,0,1,10,0,0,0,0,0,1.0,2.0
218,21746,Tarik Black,NYJ,WR,1,0,0,0,0,0,1,10,0,0,0,0,0,2.0,2.0
219,18401,Tommylee Lewis,MIA,WR,2,0,0,0,0,0,1,7,0,0,0,0,0,0.8,1.7
220,21037,Miles Boykin,BAL,WR,8,0,0,0,0,0,1,6,0,0,0,0,0,0.2,1.6
221,21724,Easop Winston Jr.,NO,WR,3,0,0,0,0,0,1,5,0,0,0,0,0,0.5,1.5
222,19937,Keke Coutee,IND,WR,2,0,0,0,0,0,1,5,0,0,0,0,0,0.8,1.5
223,21169,Malik Taylor,GB,WR,10,0,0,0,0,0,2,14,0,0,0,0,0,0.1,1.4
224,22622,Racey McMath,TEN,WR,9,0,0,0,0,0,2,8,0,0,0,0,0,0.1,0.8
225,22235,Maurice Ffrench,LAC,WR,3,0,0,0,3,0,0,0,0,0,0,0,0,0.1,0.3
226,22340,Matt Cole,CAR,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
227,22311,Jeff Cotton,JAX,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
228,21295,Nsimba Webster,CHI,WR,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
229,22276,DeMichael Harris,IND,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
230,22415,Mason Kinsey,TEN,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
231,22635,Jalen Camp,HOU,WR,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
232,22638,Dillon Stoner,LV,WR,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
233,22645,Simi Fehoko,DAL,WR,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
234,22683,Jacob Harris,LAR,WR,9,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
235,22973,Austin Trammell,ATL,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
236,21737,Tyrie Cleveland,DEN,WR,7,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
237,22991,Landen Akers,LAR,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
238,19811,Marcell Ateman,LV,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
239,23099,Michael Bandy,LAC,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
240,21731,John Hightower,PHI,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
241,19120,David Moore,GB,WR,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
242,20487,Brandon Powell,LAR,WR,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
243,21751,Aaron Fuller,SEA,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
244,18269,Geronimo Allison,DET,WR,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
245,21760,Isaiah Hodgins,BUF,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
246,21967,Isaiah Coulter,CHI,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
