rank,id,player,team,pos,Targets,Receptions,ReceivingYards,ReceivingTDs,AverageCushion,TargetSeparation,TrueCatchRate,ContestedTargets,ContestedCatches,ReceiverContestedCatchRate,YardsPerReception,YardsPerTarget,YardsPerRouteRun,Drops,DropRate
1,21679,CeeDee Lamb,DAL,WR,181,135,1749,12,4.9,1.6,92.5,29,12,0.4,12.9,9.7,2.9,5.0,2.8
2,16470,Davante Adams,LV,WR,175,103,1144,8,4.1,1.5,88.0,39,14,0.4,11.1,6.5,2.0,7.0,4.0
3,18082,Tyreek Hill,MIA,WR,171,119,1799,13,4.2,2.0,88.8,29,10,0.3,15.1,10.5,3.9,7.0,4.1
4,23122,Garrett Wilson,NYJ,WR,168,95,1042,3,4.5,1.4,83.3,41,15,0.4,11.0,6.2,1.6,5.0,3.0
5,22587,Amon-Ra St. Brown,DET,WR,164,119,1515,10,5.1,1.8,95.2,25,16,0.6,12.7,9.2,2.7,4.0,2.4
6,16906,Stefon Diggs,BUF,WR,160,107,1183,8,4.3,1.6,88.4,23,10,0.4,11.1,7.4,2.0,6.0,3.8
7,24172,Puka Nacua,LAR,WR,159,105,1486,6,5.3,1.8,86.1,29,13,0.4,14.2,9.3,2.7,10.0,6.3
8,21042,A.J. Brown,PHI,WR,158,106,1456,7,5.2,1.5,92.2,30,15,0.5,13.7,9.2,2.6,4.0,2.5
9,21744,Michael Pittman Jr.,IND,WR,156,109,1152,4,5.3,1.8,92.4,26,15,0.6,10.6,7.4,2.1,2.0,1.3
10,15076,Keenan Allen,LAC,WR,150,108,1243,7,5.0,2.0,94.7,18,7,0.4,11.5,8.3,2.5,5.0,3.3
11,22564,Ja'Marr Chase,CIN,WR,145,100,1216,7,4.4,2.1,88.5,20,8,0.4,12.2,8.4,2.1,4.0,2.8
12,22565,Chris Olave,NO,WR,138,87,1123,5,5.2,1.7,87.9,22,7,0.3,12.9,8.1,2.1,4.0,2.9
13,15534,Adam Thielen,CAR,WR,137,103,1014,4,5.2,1.6,92.0,17,8,0.5,9.8,7.4,1.6,5.0,3.6
14,19802,Calvin Ridley,JAX,WR,136,76,1016,8,4.8,1.3,86.4,24,8,0.3,13.4,7.5,1.6,6.0,4.4
15,14986,DeAndre Hopkins,TEN,WR,136,75,1057,7,5.8,1.2,81.5,36,11,0.3,14.1,7.8,2.2,4.0,2.9
16,19844,DJ Moore,CHI,WR,136,96,1364,8,5.2,1.6,92.3,27,16,0.6,14.2,10.0,2.3,3.0,2.2
17,16597,Mike Evans,TB,WR,135,79,1255,13,5.5,1.3,88.8,35,16,0.5,15.9,9.3,2.4,7.0,5.2
18,18880,Chris Godwin,TB,WR,131,83,1024,2,6.1,1.7,91.2,27,15,0.6,12.3,7.8,1.8,3.0,2.3
19,20873,Terry McLaurin,WAS,WR,130,79,1002,4,5.0,1.4,92.9,32,16,0.5,12.7,7.7,1.6,1.0,0.8
20,16765,Amari Cooper,CLE,WR,128,72,1250,5,4.2,1.0,88.9,29,16,0.6,17.4,9.8,2.4,5.0,3.9
21,16830,Tyler Lockett,SEA,WR,122,79,894,5,6.6,1.6,90.8,24,9,0.4,11.3,7.3,1.6,2.0,1.6
22,20875,DK Metcalf,SEA,WR,120,66,1114,8,5.8,1.3,95.7,27,7,0.3,16.9,9.3,2.1,2.0,1.7
23,21687,DeVonta Smith,PHI,WR,112,81,1066,7,5.5,1.6,95.3,22,9,0.4,13.2,9.5,1.8,3.0,2.7
24,21756,Nico Collins,HOU,WR,109,80,1297,8,5.5,1.7,94.1,14,5,0.4,16.2,11.9,3.2,3.0,2.8
25,23151,Drake London,ATL,WR,109,69,905,2,6.8,1.3,86.2,23,11,0.5,13.1,8.3,1.9,2.0,1.8
26,23120,Zay Flowers,BAL,WR,108,77,858,5,5.6,2.3,90.6,7,1,0.1,11.1,7.9,1.7,6.0,5.5
27,23162,Jordan Addison,MIN,WR,108,70,911,10,5.1,1.6,92.1,27,11,0.4,13.0,8.4,1.6,4.0,3.7
28,20876,Jakobi Meyers,LV,WR,106,71,807,8,5.4,1.7,93.4,19,6,0.3,11.4,7.6,1.6,3.0,2.8
29,23153,George Pickens,PIT,WR,106,63,1140,5,5.0,1.3,86.3,26,9,0.3,18.1,10.8,2.2,3.0,2.8
30,21747,Brandon Aiyuk,SF,WR,105,75,1342,7,5.0,1.8,96.2,17,9,0.5,17.9,12.8,3.2,2.0,1.9
31,22592,Elijah Moore,CLE,WR,104,59,640,2,5.3,1.6,86.8,7,2,0.3,10.8,6.2,1.2,4.0,3.8
32,22598,Jaylen Waddle,MIA,WR,104,72,1014,4,4.5,2.1,92.3,14,7,0.5,14.1,9.8,2.7,4.0,3.8
33,24120,Rashee Rice,KC,WR,102,79,938,7,4.9,2.5,88.8,8,2,0.2,11.9,9.2,2.5,7.0,6.9
34,21045,Marquise Brown,ARI,WR,101,51,574,4,5.4,1.6,89.5,26,4,0.2,11.2,5.7,1.3,1.0,1.0
35,21685,Justin Jefferson,MIN,WR,100,68,1074,5,5.3,1.7,89.5,24,11,0.5,15.8,10.7,3.0,1.0,1.0
36,24145,Josh Downs,IND,WR,98,68,771,2,4.9,1.8,87.2,12,7,0.6,11.3,7.9,1.6,3.0,3.1
37,17986,Tyler Boyd,CIN,WR,98,67,667,2,4.8,1.5,85.9,11,5,0.5,9.9,6.8,1.2,2.0,2.0
38,23167,Romeo Doubs,GB,WR,96,59,674,8,5.0,1.5,80.8,21,10,0.5,11.4,7.0,1.3,3.0,3.1
39,18882,Cooper Kupp,LAR,WR,95,59,737,5,5.7,1.9,95.2,8,2,0.2,12.5,7.8,2.0,3.0,3.1
40,23233,Jayden Reed,GB,WR,94,64,793,8,4.5,2.1,90.1,11,4,0.4,12.4,8.4,2.0,2.0,2.1
41,23157,Jaxon Smith-Njigba,SEA,WR,93,63,628,4,6.3,2.3,88.7,12,3,0.2,10.0,6.8,1.3,6.0,6.5
42,18928,Curtis Samuel,WAS,WR,91,62,613,4,5.2,1.9,96.9,20,11,0.6,9.9,6.7,1.5,1.0,1.1
43,19800,Courtland Sutton,DEN,WR,90,59,772,10,4.9,1.5,79.7,24,12,0.5,13.1,8.6,1.7,6.0,6.7
44,20932,Deebo Samuel Sr.,SF,WR,89,60,892,7,4.9,2.2,96.8,6,2,0.3,14.9,10.0,2.5,2.0,2.2
45,21077,Diontae Johnson,PIT,WR,87,51,717,5,5.7,1.6,87.9,16,7,0.4,14.1,8.2,2.0,3.0,3.4
46,21692,Jerry Jeudy,DEN,WR,87,54,758,2,5.6,2.1,93.1,10,3,0.3,14.0,8.7,1.7,2.0,2.3
47,19815,Christian Kirk,JAX,WR,85,57,787,3,4.5,1.8,95.0,12,5,0.4,13.8,9.2,2.1,2.0,2.4
48,23161,Jonathan Mingo,CAR,WR,85,43,418,0,5.0,1.5,91.5,9,3,0.3,9.7,4.9,0.8,2.0,2.4
49,23155,Jahan Dotson,WAS,WR,83,49,518,4,5.0,1.6,87.5,17,8,0.5,10.6,6.2,0.8,5.0,6.0
50,16568,Brandin Cooks,DAL,WR,81,54,657,8,5.3,1.6,94.7,17,10,0.6,12.2,8.1,1.3,0.0,0.0
51,21735,Gabe Davis,BUF,WR,81,45,746,7,5.2,1.4,90.0,14,5,0.4,16.6,9.2,1.3,2.0,2.5
52,20943,Darius Slayton,NYG,WR,79,50,770,4,7.1,1.8,87.7,16,3,0.2,15.4,9.7,1.4,3.0,3.8
53,23170,Wan'Dale Robinson,NYG,WR,78,60,525,1,6.3,2.5,98.4,3,2,0.7,8.8,6.7,1.4,2.0,2.6
54,24180,Demario Douglas,NE,WR,78,49,561,0,5.1,2.0,90.7,15,4,0.3,11.4,7.2,1.8,3.0,3.8
55,21690,Tee Higgins,CIN,WR,76,42,656,5,4.6,1.3,76.4,15,6,0.4,15.6,8.6,1.7,6.0,7.9
56,23729,Rashid Shaheed,NO,WR,75,46,719,5,5.2,1.6,93.9,10,4,0.4,15.6,9.6,1.7,1.0,1.3
57,14871,Robert Woods,HOU,WR,75,40,426,1,5.6,1.2,85.1,20,10,0.5,10.7,5.7,1.1,2.0,2.7
58,24176,Tank Dell,HOU,WR,75,47,709,7,5.9,1.7,94.0,15,9,0.6,15.1,9.4,2.4,2.0,2.7
59,21714,K.J. Osborn,MIN,WR,75,48,540,3,4.8,1.9,84.2,15,5,0.3,11.2,7.2,1.0,5.0,6.7
60,24217,Trey Palmer,TB,WR,68,39,385,3,6.2,1.8,83.0,19,6,0.3,9.9,5.7,0.9,4.0,5.9
61,24226,Quentin Johnston,LAC,WR,67,38,431,2,4.4,1.3,88.4,24,8,0.3,11.3,6.4,0.9,3.0,4.5
62,22602,Tutu Atwell,LAR,WR,67,39,483,3,6.3,1.6,86.7,14,6,0.4,12.4,7.2,1.2,3.0,4.5
63,19816,DJ Chark,CAR,WR,66,35,525,5,5.2,1.3,81.4,10,5,0.5,15.0,8.0,1.1,5.0,7.6
64,23232,Alec Pierce,IND,WR,65,32,514,2,5.3,1.0,84.2,19,8,0.4,16.1,7.9,0.9,1.0,1.5
65,18926,Zay Jones,JAX,WR,64,34,321,2,5.0,1.2,85.0,9,3,0.3,9.4,5.0,1.1,2.0,3.1
66,16389,Odell Beckham Jr.,BAL,WR,64,35,565,3,5.7,1.3,94.6,9,2,0.2,16.1,8.8,2.1,1.0,1.6
67,19017,Josh Reynolds,DET,WR,64,40,604,5,4.9,1.1,88.9,12,5,0.4,15.1,9.4,1.3,1.0,1.6
68,17960,Michael Thomas,NO,WR,64,39,448,1,4.6,1.2,88.6,18,10,0.6,11.5,7.0,1.4,2.0,3.1
69,22626,Rondale Moore,ARI,WR,62,40,352,1,5.3,2.7,87.0,6,1,0.2,8.8,5.7,0.8,5.0,8.1
70,22613,Joshua Palmer,LAC,WR,61,38,581,2,5.2,1.4,86.4,21,9,0.4,15.3,9.5,1.8,3.0,4.9
71,21961,Darnell Mooney,CHI,WR,60,31,414,1,5.6,1.4,96.9,11,4,0.4,13.3,6.9,0.9,1.0,1.7
