rank,id,player,team,pos,gp,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,def_sck,def_int,fum_forced,fum_recovered,fpts_ppr_per_gp,fpts_ppr
1,17960,Michael Thomas,NO,WR,16,0,0,0,-9,0,149,1725,9,0,0,0,0,23.4,374.6
2,18880,Chris Godwin,TB,WR,14,0,0,0,8,0,86,1333,9,0,0,0,0,19.7,276.1
3,13291,Julio Jones,ATL,WR,15,0,0,0,-3,0,99,1394,6,0,0,0,0,18.3,274.1
4,18882,Cooper Kupp,LAR,WR,16,0,0,0,4,0,94,1161,10,0,0,0,0,16.9,270.5
5,14986,DeAndre Hopkins,HOU,WR,15,6,1,1,18,0,104,1165,7,0,0,0,0,17.9,268.5
6,15076,Keenan Allen,LAC,WR,16,0,0,0,16,0,104,1199,6,0,0,0,0,16.3,261.5
7,8355,Julian Edelman,NE,WR,16,47,1,0,27,0,100,1117,6,0,0,0,0,16.0,256.3
8,16263,Allen Robinson II,CHI,WR,16,0,0,0,2,0,98,1147,7,0,0,0,0,15.9,254.9
9,18977,Kenny Golladay,DET,WR,16,0,0,0,0,0,65,1190,11,0,0,0,0,15.5,248.0
10,16765,Amari Cooper,DAL,WR,16,0,0,0,6,0,79,1189,8,0,0,0,0,15.4,246.5
11,16775,DeVante Parker,MIA,WR,16,0,0,0,0,0,72,1202,9,0,0,0,0,15.4,246.2
12,16020,Jarvis Landry,CLE,WR,16,0,0,0,10,0,83,1174,6,0,0,0,0,14.8,237.4
13,16830,Tyler Lockett,SEA,WR,16,0,0,0,-5,0,82,1057,8,0,0,0,0,14.7,235.2
14,14871,Robert Woods,LAR,WR,15,0,0,0,115,1,90,1134,2,0,0,0,0,15.5,232.9
15,16597,Mike Evans,TB,WR,13,0,0,0,0,0,67,1157,8,0,0,0,0,17.9,232.7
16,19844,DJ Moore,CAR,WR,15,0,0,0,40,0,87,1175,4,0,0,0,0,15.4,230.5
17,19816,DJ Chark,JAX,WR,15,0,0,0,20,0,73,1008,8,0,0,0,0,15.1,225.8
18,17986,Tyler Boyd,CIN,WR,16,0,0,0,23,0,90,1046,5,0,0,0,0,13.9,222.9
19,19800,Courtland Sutton,DEN,WR,16,38,0,0,17,0,72,1112,6,0,0,0,0,13.9,222.4
20,16640,John Brown,BUF,WR,15,28,1,0,7,0,72,1060,6,0,0,0,0,14.7,219.8
21,21042,A.J. Brown,TEN,WR,16,0,0,0,60,1,52,1051,8,0,0,0,0,13.6,217.1
22,16470,Davante Adams,GB,WR,12,0,0,0,0,0,83,997,5,0,0,0,0,17.7,212.7
23,19867,Michael Gallup,DAL,WR,14,0,0,0,0,0,66,1107,6,0,0,0,0,15.2,212.7
24,16906,Stefon Diggs,MIN,WR,15,0,0,0,61,0,63,1130,6,0,0,0,0,14.1,212.1
25,16389,Odell Beckham Jr.,CLE,WR,16,20,0,0,10,0,74,1035,4,0,0,0,0,12.6,201.3
26,16866,Jamison Crowder,NYJ,WR,16,0,0,0,4,0,78,833,6,0,0,0,0,12.4,197.7
27,19802,Calvin Ridley,ATL,WR,13,0,0,0,34,0,63,866,7,0,0,0,0,15.2,197.0
28,13870,Marvin Jones Jr.,DET,WR,13,0,0,0,0,0,62,779,9,0,0,0,0,14.9,193.9
29,20873,Terry McLaurin,WAS,WR,14,0,0,0,0,0,58,919,7,0,0,0,0,13.7,191.9
30,11063,Emmanuel Sanders,SF,WR,17,35,1,0,0,0,66,869,5,0,0,0,0,11.2,190.3
31,20932,Deebo Samuel Sr.,SF,WR,15,0,0,0,159,3,57,802,3,0,0,0,0,12.6,189.1
32,18082,Tyreek Hill,KC,WR,12,0,0,0,23,0,58,860,7,0,0,0,0,15.7,188.3
33,20875,DK Metcalf,SEA,WR,16,0,0,0,11,0,58,900,7,0,0,0,0,11.7,187.1
34,14141,Cole Beasley,BUF,WR,15,0,0,0,0,0,67,778,6,0,0,0,0,12.3,184.8
35,5571,Larry Fitzgerald,ARI,WR,16,0,0,0,0,0,75,804,4,0,0,0,0,11.1,177.4
36,18928,Curtis Samuel,CAR,WR,16,0,0,0,130,1,54,627,6,0,0,0,0,10.7,171.7
37,20943,Darius Slayton,NYG,WR,14,0,0,0,0,0,48,740,8,0,0,0,0,12.1,170.0
38,19815,Christian Kirk,ARI,WR,13,0,0,0,93,0,68,709,3,0,0,0,0,12.9,168.2
39,18187,Robbie Chosen,NYJ,WR,16,0,0,0,4,0,52,779,5,0,0,0,0,10.1,162.3
40,18914,Mike Williams,LAC,WR,15,0,0,0,2,0,49,1001,2,0,0,0,0,10.8,161.3
41,21077,Diontae Johnson,PIT,WR,16,0,0,0,41,0,59,680,5,0,0,0,0,9.8,157.1
42,18992,Dede Westbrook,JAX,WR,15,0,0,0,27,0,66,660,3,0,0,0,0,10.4,156.7
43,16837,Chris Conley,JAX,WR,16,0,0,0,0,0,47,775,5,0,0,0,0,9.8,156.5
44,13227,Randall Cobb,DAL,WR,15,0,0,0,11,0,55,828,3,0,0,1,0,10.3,154.9
45,11611,Golden Tate,NYG,WR,11,0,0,0,16,0,49,676,6,0,0,0,0,13.8,152.2
