rank,id,player,team,pos,gp,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,def_sck,def_int,fum_forced,fum_recovered,fpts_ppr_per_gp,fpts_ppr
1,21685,Justin Jefferson,MIN,WR,17,34,0,0,24,1,128,1809,8,0,0,0,0,21.7,368.7
2,18082,Tyreek Hill,MIA,WR,17,0,0,0,32,2,119,1710,7,0,0,0,0,20.4,347.2
3,16470,Davante Adams,LV,WR,17,0,0,0,-1,0,100,1516,14,0,0,0,0,19.7,335.5
4,16906,Stefon Diggs,BUF,WR,16,0,0,0,-3,0,108,1429,11,0,0,0,0,19.8,316.6
5,21679,CeeDee Lamb,DAL,WR,17,0,0,0,47,0,107,1359,9,0,0,0,0,17.7,301.6
6,21042,A.J. Brown,PHI,WR,17,0,0,0,0,0,88,1496,11,0,0,0,0,17.6,299.6
7,22587,Amon-Ra St. Brown,DET,WR,16,0,0,0,95,0,106,1161,6,0,0,0,0,16.7,267.6
8,22598,Jaylen Waddle,MIA,WR,17,0,0,0,26,0,75,1356,8,0,0,0,0,15.2,259.2
9,21687,DeVonta Smith,PHI,WR,17,0,0,0,0,0,95,1196,7,0,0,0,0,15.0,254.6
10,16765,Amari Cooper,CLE,WR,17,0,0,1,0,0,78,1160,9,0,0,0,0,14.5,246.0
11,22564,Ja'Marr Chase,CIN,WR,12,0,0,0,8,0,87,1046,9,0,0,0,0,20.2,242.4
12,19815,Christian Kirk,JAX,WR,17,0,0,0,11,0,84,1108,8,0,0,0,0,14.2,241.9
13,16830,Tyler Lockett,SEA,WR,16,0,0,0,0,0,84,1033,9,0,0,0,0,14.8,237.3
14,20873,Terry McLaurin,WAS,WR,17,0,0,0,29,0,77,1191,5,0,0,0,0,13.5,229.0
15,21747,Brandon Aiyuk,SF,WR,17,0,0,0,23,0,78,1015,8,0,0,0,0,13.4,227.8
16,20875,DK Metcalf,SEA,WR,17,0,0,0,0,0,90,1048,6,0,0,0,0,13.3,226.8
17,16597,Mike Evans,TB,WR,15,0,0,0,0,0,77,1124,6,0,0,0,0,15.0,225.4
18,18880,Chris Godwin,TB,WR,15,0,0,0,5,0,104,1023,3,0,0,0,0,14.9,222.8
19,21690,Tee Higgins,CIN,WR,16,0,0,0,0,0,74,1029,7,0,0,0,0,13.8,220.9
20,21744,Michael Pittman Jr.,IND,WR,16,0,0,0,30,0,99,925,4,0,0,0,0,13.5,216.5
