rank,id,player,team,pos,gp,redzone5_pass_yds,redzone5_pass_td,redzone5_pass_int,redzone5_rush_yds,redzone5_rush_td,redzone5_rec,redzone5_rec_yds,redzone5_rec_td,redzone5_fpts_ppr
1,16597,Mike Evans,TB,WR,16,0,0,0,0,0,7,18,6,44.8
2,18882,Cooper Kupp,LAR,WR,17,0,0,0,0,0,6,20,6,44.0
3,16470,Davante Adams,GB,WR,16,0,0,0,0,0,6,7,5,36.7
4,15534,Adam Thielen,MIN,WR,13,0,0,0,0,0,5,15,4,30.5
5,20145,Allen Lazard,GB,WR,15,0,0,0,0,0,4,14,4,29.4
6,22598,Jaylen Waddle,MIA,WR,16,0,0,0,1,1,3,6,3,27.7
7,15076,Keenan Allen,LAC,WR,16,0,0,0,0,0,4,14,3,25.4
8,21077,Diontae Johnson,PIT,WR,16,0,0,0,0,0,3,15,3,24.5
9,21735,Gabe Davis,BUF,WR,16,0,0,0,0,0,4,13,3,23.3
10,16765,Amari Cooper,DAL,WR,15,0,0,0,0,0,3,14,3,22.4
11,19023,Mack Hollins,MIA,WR,17,0,0,0,0,0,3,14,3,22.4
12,21734,Nick Westbrook-Ikhine,TEN,WR,16,0,0,0,0,0,3,10,3,22.0
13,20924,Hunter Renfrow,LV,WR,17,0,0,0,0,0,3,8,3,21.8
14,18082,Tyreek Hill,KC,WR,17,0,0,0,0,0,3,4,3,21.4
15,18880,Chris Godwin,TB,WR,14,0,0,0,2,1,2,9,2,21.1
16,16866,Jamison Crowder,NYJ,WR,12,0,0,0,0,0,2,5,2,18.5
17,21961,Darnell Mooney,CHI,WR,17,0,0,0,0,0,3,26,2,17.6
18,21687,DeVonta Smith,PHI,WR,17,0,0,0,0,0,2,9,2,16.9
19,21729,Quintez Cephus,DET,WR,5,0,0,0,0,0,2,7,2,16.7
20,18914,Mike Williams,LAC,WR,16,0,0,0,0,0,2,7,2,16.7
21,16830,Tyler Lockett,SEA,WR,16,0,0,0,0,0,2,6,2,16.6
22,14871,Robert Woods,LAR,WR,9,0,0,0,0,0,2,4,2,16.4
23,20013,Cedrick Wilson Jr.,DAL,WR,16,0,0,0,0,0,2,4,2,16.4
24,21690,Tee Higgins,CIN,WR,14,0,0,0,0,0,2,3,2,16.3
25,21717,Jauan Jennings,SF,WR,16,0,0,0,0,0,3,11,2,16.1
26,13870,Marvin Jones Jr.,JAX,WR,17,0,0,0,0,0,3,11,2,16.1
27,16906,Stefon Diggs,BUF,WR,17,0,0,0,0,0,2,10,2,15.0
28,20150,Byron Pringle,KC,WR,17,0,0,0,0,0,2,10,2,15.0
29,20684,Malik Turner,DAL,WR,14,0,0,0,0,0,2,9,2,14.9
30,19802,Calvin Ridley,ATL,WR,5,0,0,0,0,0,2,8,2,14.8
31,18187,Robbie Chosen,CAR,WR,17,0,0,0,0,0,2,7,2,14.7
32,21142,Olamide Zaccheaus,ATL,WR,17,0,0,0,0,0,2,7,2,14.7
33,20875,DK Metcalf,SEA,WR,17,0,0,0,0,0,2,6,2,14.6
34,14986,DeAndre Hopkins,ARI,WR,10,0,0,0,0,0,2,6,2,14.6
35,21736,Bryan Edwards,LV,WR,16,0,0,0,0,0,2,6,2,14.6
36,21685,Justin Jefferson,MIN,WR,17,0,0,0,0,0,2,6,2,14.6
37,14005,T.Y. Hilton,IND,WR,10,0,0,0,0,0,2,5,2,14.5
38,21383,Jody Fortson Jr.,KC,WR,6,0,0,0,0,0,2,4,2,14.4
39,13227,Randall Cobb,GB,WR,12,0,0,0,0,0,2,3,2,14.3
40,16389,Odell Beckham Jr.,LAR,WR,14,0,0,0,0,0,2,3,2,14.3
41,22587,Amon-Ra St. Brown,DET,WR,17,0,0,0,0,0,2,4,1,12.4
42,20038,Braxton Berrios,NYJ,WR,16,0,0,0,3,2,0,0,0,12.3
43,20876,Jakobi Meyers,NE,WR,17,0,0,0,0,0,1,4,1,11.4
44,21747,Brandon Aiyuk,SF,WR,17,0,0,0,0,0,1,2,1,9.2
45,21744,Michael Pittman Jr.,IND,WR,17,0,0,0,0,0,1,2,1,9.2
46,19043,Isaiah McKenzie,BUF,WR,15,0,0,0,0,0,2,9,1,8.9
47,21045,Marquise Brown,BAL,WR,16,0,0,0,0,0,2,8,1,8.8
48,22613,Joshua Palmer,LAC,WR,17,0,0,0,0,0,2,6,1,8.6
49,21721,Devin Duvernay,BAL,WR,16,0,0,0,0,0,1,5,1,7.5
50,11063,Emmanuel Sanders,BUF,WR,14,0,0,0,0,0,1,5,1,7.5
51,22588,Anthony Schwartz,CLE,WR,14,0,0,0,0,0,1,5,1,7.5
52,21750,Marquez Callaway,NO,WR,17,0,0,0,0,0,1,5,1,7.5
53,20081,Trent Sherfield Sr.,SF,WR,17,0,0,0,0,0,1,5,1,7.5
54,19815,Christian Kirk,ARI,WR,17,0,0,0,0,0,1,5,1,7.5
55,21714,K.J. Osborn,MIN,WR,17,0,0,0,0,0,1,5,1,7.5
56,19854,Dante Pettis,NYG,WR,3,0,0,0,0,0,1,5,1,7.5
57,18422,Kalif Raymond,DET,WR,16,0,0,0,0,0,1,4,1,7.4
58,21448,Jalen Guyton,LAC,WR,16,0,0,0,0,0,1,4,1,7.4
59,19318,Kendrick Bourne,NE,WR,17,0,0,0,0,0,1,4,1,7.4
60,22623,Rashod Bateman,BAL,WR,12,0,0,0,0,0,1,4,1,7.4
61,20816,Lil'Jordan Humphrey,NO,WR,10,0,0,0,0,0,1,4,1,7.4
62,11056,Antonio Brown,TB,WR,7,0,0,0,0,0,1,4,1,7.4
63,17218,DeAndre Carter,WAS,WR,17,0,0,0,0,0,1,4,1,7.4
64,16775,DeVante Parker,MIA,WR,10,0,0,0,0,0,1,3,1,7.3
65,18879,Corey Davis,NYJ,WR,9,0,0,0,0,0,1,3,1,7.3
66,13291,Julio Jones,TEN,WR,10,0,0,0,0,0,1,3,1,7.3
67,22592,Elijah Moore,NYJ,WR,11,0,0,0,0,0,1,3,1,7.3
68,22213,Kendall Hinton,DEN,WR,16,1,0,0,0,0,1,2,1,7.2
69,20372,Cameron Batson,TEN,WR,4,0,0,0,0,0,1,2,1,7.2
70,21349,Ashton Dulin,IND,WR,17,0,0,0,0,0,1,2,1,7.2
71,21739,Van Jefferson,LAR,WR,17,0,0,0,0,0,1,2,1,7.2
72,19207,Tim Patrick,DEN,WR,16,0,0,0,0,0,1,2,1,7.2
73,19098,Isaiah Ford,MIA,WR,13,0,0,0,0,0,1,2,1,7.2
74,19844,DJ Moore,CAR,WR,17,0,0,0,0,0,1,2,1,7.2
75,17914,Laquon Treadwell,JAX,WR,12,0,0,0,0,0,1,2,1,7.2
76,22564,Ja'Marr Chase,CIN,WR,17,0,0,0,0,0,1,2,1,7.2
77,16568,Brandin Cooks,HOU,WR,16,0,0,0,0,0,1,2,1,7.2
78,20006,Russell Gage,ATL,WR,14,0,0,0,0,0,1,1,1,7.1
79,20979,Antoine Wesley,ARI,WR,15,0,0,0,0,0,1,1,1,7.1
80,19867,Michael Gallup,DAL,WR,9,0,0,0,0,0,1,1,1,7.1
81,19864,Anthony Miller,PIT,WR,3,0,0,0,0,0,1,1,1,7.1
82,14587,Josh Gordon,KC,WR,12,0,0,0,0,0,1,1,1,7.1
83,21679,CeeDee Lamb,DAL,WR,16,0,0,0,-1,0,1,1,1,7.0
84,16020,Jarvis Landry,CLE,WR,12,0,0,0,5,1,0,0,0,6.5
85,18883,JuJu Smith-Schuster,PIT,WR,5,0,0,0,3,1,0,0,0,6.3
86,20932,Deebo Samuel Sr.,SF,WR,16,0,0,0,3,1,0,0,0,6.3
87,19800,Courtland Sutton,DEN,WR,17,0,0,0,0,0,1,4,0,3.4
88,14141,Cole Beasley,BUF,WR,16,0,0,0,0,0,1,4,0,3.4
89,21957,Quez Watkins,PHI,WR,17,0,0,0,0,0,1,1,0,3.1
90,17916,William Fuller V,MIA,WR,2,0,0,0,0,0,0,0,0,2.0
91,9906,Danny Amendola,HOU,WR,8,0,0,0,0,0,0,0,0,2.0
92,20679,KhaDarel Hodge,DET,WR,16,0,0,0,0,0,0,0,0,2.0
93,16263,Allen Robinson II,CHI,WR,12,0,0,0,0,0,0,0,0,2.0
94,17141,Damiere Byrd,CHI,WR,17,0,0,0,0,0,0,0,0,2.0
95,22685,Terrace Marshall Jr.,CAR,WR,13,0,0,0,0,0,0,0,0,2.0
96,22626,Rondale Moore,ARI,WR,14,0,0,0,3,0,1,3,0,1.6
97,17961,Sterling Shepard,NYG,WR,7,0,0,0,0,0,1,3,0,1.3
98,16855,Ty Montgomery II,NO,WR,14,0,0,0,0,0,1,3,0,1.3
99,19897,Tre'Quan Smith,NO,WR,11,0,0,0,0,0,1,2,0,1.2
100,21686,Jalen Reagor,PHI,WR,17,0,0,0,0,0,1,0,0,1.0
101,19172,Zach Pascal,IND,WR,16,0,0,0,0,0,1,-2,0,0.8
102,20788,Mecole Hardman Jr.,KC,WR,17,0,0,0,3,0,0,0,0,0.3
103,21752,Chase Claypool,PIT,WR,15,0,0,0,1,0,0,0,0,0.1
104,14865,Marquise Goodwin,CHI,WR,14,0,0,0,1,0,0,0,0,0.1
105,19705,Greg Ward,PHI,WR,17,2,0,0,0,0,0,0,0,0.1
106,16781,Nelson Agholor,NE,WR,15,0,0,0,0,0,0,0,0,0.0
107,22596,Jaelon Darden,TB,WR,9,0,0,0,0,0,0,0,0,0.0
108,16837,Chris Conley,HOU,WR,16,0,0,0,0,0,0,0,0,0.0
109,22595,Ihmir Smith-Marsette,MIN,WR,8,0,0,0,0,0,0,0,0,0.0
110,22594,Frank Darby,ATL,WR,10,0,0,0,0,0,0,0,0,0.0
111,3943,DeSean Jackson,LV,WR,16,0,0,0,0,0,0,0,0,0.0
112,7651,Matthew Slater,NE,WR,17,0,0,0,0,0,0,0,0,0.0
113,22340,Matt Cole,CAR,WR,1,0,0,0,0,0,0,0,0,0.0
114,16308,Albert Wilson,MIA,WR,14,0,0,0,0,0,0,0,0,0.0
115,18361,Chester Rogers,TEN,WR,16,0,0,0,0,0,0,0,0,0.0
116,18926,Zay Jones,LV,WR,17,0,0,0,0,0,0,0,0,0.0
117,16790,Phillip Dorsett,HOU,WR,6,0,0,0,0,0,0,0,0,0.0
118,21969,Aaron Parker,CAR,WR,1,0,0,0,0,0,0,0,0,0.0
119,18977,Kenny Golladay,NYG,WR,14,0,0,0,0,0,0,0,0,0.0
120,17289,Jake Kumerow,BUF,WR,15,0,0,0,0,0,0,0,0,0.0
121,17290,Adam Humphries,WAS,WR,17,0,0,0,0,0,0,0,0,0.0
122,19080,Noah Brown,DAL,WR,13,0,0,0,0,0,0,0,0,0.0
123,19120,David Moore,GB,WR,3,0,0,0,0,0,0,0,0,0.0
124,21967,Isaiah Coulter,CHI,WR,2,0,0,0,0,0,0,0,0,0.0
125,18673,Jaydon Mickens,JAX,WR,11,0,0,0,0,0,0,0,0,0.0
126,21964,Cody White,PIT,WR,15,0,0,0,0,0,0,0,0,0.0
127,19361,Marcus Kemp,KC,WR,16,0,0,0,0,0,0,0,0,0.0
128,19755,River Cracraft,SF,WR,4,0,0,0,0,0,0,0,0,0.0
129,19779,Brandon Zylstra,CAR,WR,13,0,0,0,0,0,0,0,0,0.0
130,21960,Freddie Swain,SEA,WR,17,0,0,0,0,0,0,0,0,0.0
131,18881,John Ross,NYG,WR,10,0,0,0,0,0,0,0,0,0.0
132,21959,Dezmon Patmon,IND,WR,8,0,0,0,0,0,0,0,0,0.0
133,21760,Isaiah Hodgins,BUF,WR,1,0,0,0,0,0,0,0,0,0.0
134,19961,Ray-Ray McCloud,PIT,WR,16,0,0,0,0,0,0,0,0,0.0
135,21759,KJ Hamler,DEN,WR,3,0,0,0,0,0,0,0,0,0.0
136,18058,Tajae Sharpe,ATL,WR,15,0,0,0,0,0,0,0,0,0.0
137,20295,Vyncint Smith,NYJ,WR,2,0,0,0,0,0,0,0,0,0.0
138,18103,Jakeem Grant Sr.,CHI,WR,15,0,0,0,0,0,0,0,0,0.0
139,21756,Nico Collins,HOU,WR,14,0,0,0,0,0,0,0,0,0.0
140,19044,Jamal Agnew,JAX,WR,10,0,0,0,0,0,0,0,0,0.0
141,18445,Mike Thomas,CIN,WR,12,0,0,0,0,0,0,0,0,0.0
142,21754,Donovan Peoples-Jones,CLE,WR,14,0,0,0,0,0,0,0,0,0.0
143,20398,Equanimeous St. Brown,GB,WR,13,0,0,0,0,0,0,0,0,0.0
144,20838,Tyron Billy-Johnson,LV,WR,10,0,0,0,0,0,0,0,0,0.0
145,18992,Dede Westbrook,MIN,WR,15,0,0,0,0,0,0,0,0,0.0
146,19200,C.J. Board,NYG,WR,6,0,0,0,0,0,0,0,0,0.0
147,21751,Aaron Fuller,SEA,WR,1,0,0,0,0,0,0,0,0,0.0
148,21741,Denzel Mims,NYJ,WR,11,0,0,0,0,0,0,0,0,0.0
149,21737,Tyrie Cleveland,DEN,WR,7,0,0,0,0,0,0,0,0,0.0
150,20939,David Sills,NYG,WR,4,0,0,0,0,0,0,0,0,0.0
151,20943,Darius Slayton,NYG,WR,13,0,0,0,0,0,0,0,0,0.0
152,21071,Greg Dortch,ARI,WR,5,0,0,0,0,0,0,0,0,0.0
153,19280,Cody Hollister,TEN,WR,3,0,0,0,0,0,0,0,0,0.0
154,21601,Gunner Olszewski,NE,WR,16,0,0,0,0,0,0,0,0,0.0
155,19017,Josh Reynolds,DET,WR,12,0,0,0,0,0,0,0,0,0.0
156,21556,Tom Kennedy,DET,WR,12,0,0,0,0,0,0,0,0,0.0
157,21295,Nsimba Webster,CHI,WR,6,0,0,0,0,0,0,0,0,0.0
158,21311,Davion Davis,HOU,WR,2,0,0,0,0,0,0,0,0,0.0
159,21294,Alex Bachman,NYG,WR,3,0,0,0,0,0,0,0,0,0.0
160,19064,Trent Taylor,CIN,WR,4,0,0,0,0,0,0,0,0,0.0
161,21178,Jason Moore,LAC,WR,2,0,0,0,0,0,0,0,0,0.0
162,21400,Steven Sims,PIT,WR,1,0,0,0,0,0,0,0,0,0.0
163,21169,Malik Taylor,GB,WR,10,0,0,0,0,0,0,0,0,0.0
164,21473,D.J. Montgomery,NYJ,WR,3,0,0,0,0,0,0,0,0,0.0
165,19514,Keelan Cole Sr.,NYJ,WR,15,0,0,0,0,0,0,0,0,0.0
166,20487,Brandon Powell,LAR,WR,6,0,0,0,0,0,0,0,0,0.0
167,19981,Daurice Fountain,KC,WR,2,0,0,0,0,0,0,0,0,0.0
168,19811,Marcell Ateman,LV,WR,1,0,0,0,0,0,0,0,0,0.0
169,21163,Deonte Harty,NO,WR,13,0,0,0,0,0,0,0,0,0.0
170,19816,DJ Chark,JAX,WR,4,0,0,0,0,0,0,0,0,0.0
171,21005,Parris Campbell,IND,WR,6,0,0,0,0,0,0,0,0,0.0
172,19937,Keke Coutee,IND,WR,2,0,0,0,0,0,0,0,0,0.0
173,20071,Keith Kirkwood,CAR,WR,3,0,0,0,0,0,0,0,0,0.0
174,20886,Stanley Morgan Jr.,CIN,WR,17,0,0,0,0,0,0,0,0,0.0
175,20057,Auden Tate,CIN,WR,7,0,0,0,0,0,0,0,0,0.0
176,20793,Penny Hart,SEA,WR,17,0,0,0,0,0,0,0,0,0.0
177,20792,N'Keal Harry,NE,WR,12,0,0,0,0,0,0,0,0,0.0
178,20529,Cam Sims,WAS,WR,14,0,0,0,0,0,0,0,0,0.0
179,20742,J.J. Arcega-Whiteside,PHI,WR,16,0,0,0,0,0,0,0,0,0.0
180,20224,Christian Blake,ATL,WR,16,0,0,0,0,0,0,0,0,0.0
181,22283,Josh Hammond,JAX,WR,2,0,0,0,0,0,0,0,0,0.0
182,22327,J.J. Koski,LAR,WR,5,0,0,0,0,0,0,0,0,0.0
183,20988,Preston Williams,MIA,WR,8,0,0,0,0,0,0,0,0,0.0
184,21078,Jeff Smith,NYJ,WR,12,0,0,0,0,0,0,0,0,0.0
185,21042,A.J. Brown,TEN,WR,13,0,0,0,0,0,0,0,0,0.0
186,16003,Sammy Watkins,BAL,WR,13,0,0,0,0,0,0,0,0,0.0
187,20762,Travis Fulgham,DEN,WR,1,0,0,0,0,0,0,0,0,0.0
188,20963,Cody Thompson,SEA,WR,5,0,0,0,0,0,0,0,0,0.0
189,21138,Scotty Miller,TB,WR,9,0,0,0,0,0,0,0,0,0.0
190,22609,Shi Smith,CAR,WR,6,0,0,0,0,0,0,0,0,0.0
191,22615,Kawaan Baker,NO,WR,2,0,0,0,0,0,0,0,0,0.0
192,22618,Marquez Stevenson,BUF,WR,5,0,0,0,0,0,0,0,0,0.0
