rank,id,player,team,pos,gp,snaps,snaps_per_gp,snap_pct,rush_per_snap,rush_share,tgt_per_snap,tgt_share,touch_per_snap,util_per_snap,fpts_ppr,fpts_ppr_per_snap
1,18082,Tyreek Hill,MIA,WR,16,695,43.4,.63,0.9,.01,24.6,.30,18.0,25.5,376.4,54.2
2,21679,CeeDee Lamb,DAL,WR,17,991,58.3,.84,1.4,.03,18.3,.30,15.0,19.7,403.2,40.7
3,21756,Nico Collins,HOU,WR,15,668,44.5,.59,0.1,.00,16.3,.19,12.1,16.5,260.4,39.0
4,23233,Jayden Reed,GB,WR,16,578,36.1,.53,1.9,.02,16.3,.17,13.0,18.2,217.2,37.6
5,21685,Justin Jefferson,MIN,WR,10,550,55.0,.85,0.2,.00,18.2,.17,12.7,18.5,202.2,36.8
6,15076,Keenan Allen,LAC,WR,13,779,59.9,.67,0.3,.00,19.3,.24,14.4,19.8,278.9,35.8
7,20932,Deebo Samuel Sr.,SF,WR,15,708,47.2,.66,5.2,.07,12.6,.19,13.8,17.9,243.7,34.4
8,24120,Rashee Rice,KC,WR,16,622,38.9,.55,0.2,.00,16.4,.17,12.9,16.6,212.5,34.2
9,24176,Tank Dell,HOU,WR,11,494,44.9,.61,2.2,.02,15.2,.13,11.7,17.4,165.0,33.4
10,23482,Bo Melton,GB,WR,5,139,27.8,.44,2.2,.01,17.3,.04,13.7,19.4,45.9,33.0
11,22587,Amon-Ra St. Brown,DET,WR,16,1010,63.1,.86,0.4,.01,16.2,.28,12.2,16.6,330.9,32.8
12,16597,Mike Evans,TB,WR,17,863,50.8,.78,0.0,.00,15.8,.25,9.2,15.8,282.5,32.7
13,22598,Jaylen Waddle,MIA,WR,14,611,43.6,.56,0.5,.01,17.0,.18,12.3,17.5,198.6,32.5
14,21747,Brandon Aiyuk,SF,WR,16,803,50.2,.75,0.0,.00,13.1,.22,9.3,13.1,249.2,31.0
15,18914,Mike Williams,LAC,WR,3,167,55.7,.78,0.6,.00,15.6,.04,12.0,16.2,50.2,30.1
16,24172,Puka Nacua,LAR,WR,17,1000,58.8,.87,1.2,.03,16.0,.30,11.7,17.2,298.5,29.9
17,22564,Ja'Marr Chase,CIN,WR,16,890,55.6,.82,0.3,.01,16.3,.24,11.7,16.7,262.7,29.5
18,14986,DeAndre Hopkins,TEN,WR,17,758,44.6,.72,0.3,.00,18.1,.29,10.3,18.5,223.6,29.5
19,16906,Stefon Diggs,BUF,WR,17,949,55.8,.82,0.1,.00,16.9,.29,11.4,17.0,273.8,28.9
20,21042,A.J. Brown,PHI,WR,17,1019,59.9,.89,0.0,.00,15.5,.30,10.4,15.5,289.6,28.4
21,22565,Chris Olave,NO,WR,16,814,50.9,.70,0.0,.00,17.0,.24,10.7,17.0,231.3,28.4
22,18422,Kalif Raymond,DET,WR,17,348,20.5,.30,2.0,.01,12.6,.07,12.1,14.7,97.4,28.0
23,19844,DJ Moore,CHI,WR,17,1029,60.5,.90,0.4,.01,13.2,.30,9.7,13.6,286.5,27.8
24,16470,Davante Adams,LV,WR,17,963,56.6,.92,0.0,.00,18.2,.33,10.7,18.2,265.4,27.6
25,18928,Curtis Samuel,WAS,WR,16,571,35.7,.52,1.2,.02,15.9,.15,12.1,17.2,157.2,27.5
26,20875,DK Metcalf,SEA,WR,16,831,51.9,.79,0.0,.00,14.3,.22,7.9,14.3,225.4,27.1
27,19318,Kendrick Bourne,NE,WR,8,371,46.4,.73,0.3,.00,14.8,.10,10.2,15.1,100.0,27.0
28,23253,Dontayvion Wicks,GB,WR,15,458,30.5,.42,0.2,.00,12.7,.10,9.0,13.1,119.8,26.1
29,21077,Diontae Johnson,PIT,WR,13,590,45.4,.71,0.0,.00,14.7,.18,8.6,14.7,152.7,25.9
30,16765,Amari Cooper,CLE,WR,15,883,58.9,.71,0.0,.00,14.5,.22,8.2,14.5,227.0,25.7
31,19815,Christian Kirk,JAX,WR,12,585,48.8,.65,0.2,.00,14.5,.14,10.3,15.0,150.3,25.7
32,21744,Michael Pittman Jr.,IND,WR,16,991,61.9,.86,0.0,.00,15.7,.29,11.0,15.7,250.2,25.2
33,23729,Rashid Shaheed,NO,WR,15,604,40.3,.52,1.2,.02,12.4,.13,8.8,13.6,149.6,24.8
34,21675,Tyler Johnson,LAR,WR,1,36,36.0,.25,0.0,.00,8.3,.01,5.6,8.3,8.8,24.4
35,19800,Courtland Sutton,DEN,WR,16,782,48.9,.73,0.0,.00,11.5,.19,7.5,11.5,190.2,24.3
36,20876,Jakobi Meyers,LV,WR,16,903,56.4,.86,0.4,.01,11.7,.20,8.6,12.5,218.6,24.2
37,16830,Tyler Lockett,SEA,WR,17,838,49.3,.80,0.0,.00,14.6,.22,9.4,14.6,202.4,24.2
38,23162,Jordan Addison,MIN,WR,17,921,54.2,.82,0.1,.00,11.7,.18,7.7,11.8,221.3,24.0
39,21690,Tee Higgins,CIN,WR,12,573,47.8,.53,0.0,.00,13.3,.13,7.3,13.3,137.6,24.0
40,18880,Chris Godwin,TB,WR,17,892,52.5,.81,0.4,.01,14.6,.24,9.9,15.1,209.2,23.5
41,16389,Odell Beckham Jr.,BAL,WR,14,464,33.1,.41,0.0,.00,13.8,.14,7.5,13.8,107.5,23.2
42,18882,Cooper Kupp,LAR,WR,12,710,59.2,.84,0.1,.00,13.4,.18,8.5,13.5,164.4,23.2
43,19802,Calvin Ridley,JAX,WR,17,993,58.4,.85,0.9,.02,13.7,.22,8.6,14.6,229.9,23.2
44,23120,Zay Flowers,BAL,WR,16,905,56.6,.80,0.9,.01,11.9,.23,9.4,12.8,206.4,22.8
45,23395,Christian Watson,GB,WR,9,446,49.6,.41,0.9,.01,11.9,.09,7.2,12.8,101.3,22.7
46,23153,George Pickens,PIT,WR,17,929,54.6,.87,0.3,.01,11.4,.22,7.1,11.7,208.8,22.5
47,24180,Demario Douglas,NE,WR,14,481,34.4,.46,1.7,.02,16.2,.14,11.9,17.9,107.2,22.3
48,20873,Terry McLaurin,WAS,WR,17,941,55.4,.85,0.0,.00,14.0,.22,8.4,14.0,209.2,22.2
49,23157,Jaxon Smith-Njigba,SEA,WR,17,675,39.7,.64,0.0,.00,13.8,.17,9.3,13.8,149.8,22.2
50,15534,Adam Thielen,CAR,WR,17,1046,61.5,.91,0.1,.00,13.1,.26,9.9,13.2,231.0,22.1
51,18047,Demarcus Robinson,LAR,WR,16,396,24.8,.34,0.3,.00,9.8,.07,6.8,10.1,87.4,22.1
52,19080,Noah Brown,HOU,WR,10,463,46.3,.54,0.2,.00,11.9,.10,7.3,12.1,101.6,21.9
53,21687,DeVonta Smith,PHI,WR,16,1043,65.2,.91,0.0,.00,10.7,.21,7.8,10.7,227.6,21.8
54,24177,Tre Tucker,LV,WR,16,334,20.9,.32,3.0,.02,10.2,.06,8.7,13.2,71.8,21.5
55,21692,Jerry Jeudy,DEN,WR,16,662,41.4,.62,0.0,.00,13.1,.18,8.2,13.1,141.8,21.4
56,16568,Brandin Cooks,DAL,WR,16,809,50.6,.68,0.6,.01,10.0,.13,7.3,10.6,173.2,21.4
57,23763,Brandon Johnson,DEN,WR,13,343,26.4,.43,0.0,.00,8.7,.06,5.5,8.7,73.4,21.4
58,23122,Garrett Wilson,NYJ,WR,17,1008,59.3,.92,0.4,.01,16.7,.31,9.9,17.2,213.2,21.2
59,23170,Wan'Dale Robinson,NYG,WR,15,641,42.7,.58,1.4,.02,12.2,.16,10.8,13.6,133.2,20.8
60,23167,Romeo Doubs,GB,WR,17,845,49.7,.77,0.0,.00,11.4,.17,7.0,11.4,174.4,20.6
61,22613,Joshua Palmer,LAC,WR,10,525,52.5,.68,0.2,.00,11.6,.10,7.4,11.8,106.7,20.3
62,23151,Drake London,ATL,WR,16,860,53.8,.76,0.0,.00,12.8,.21,8.1,12.9,174.4,20.3
63,24145,Josh Downs,IND,WR,17,788,46.4,.69,0.0,.00,12.4,.18,8.6,12.4,157.1,19.9
64,23227,Khalil Shakir,BUF,WR,17,604,35.5,.52,0.2,.00,7.5,.08,6.6,7.6,113.1,18.7
65,17960,Michael Thomas,NO,WR,10,490,49.0,.69,0.0,.00,13.1,.11,8.0,13.1,89.8,18.3
66,23234,Jameson Williams,DET,WR,12,444,37.0,.49,0.7,.01,9.5,.07,6.1,10.1,80.3,18.1
67,24349,A.T. Perry,NO,WR,10,343,34.3,.30,0.0,.00,5.2,.03,3.5,5.2,60.6,17.7
68,17986,Tyler Boyd,CIN,WR,17,824,48.5,.76,0.2,.01,11.9,.17,8.5,12.3,144.8,17.6
69,21045,Marquise Brown,ARI,WR,14,784,56.0,.79,0.3,.00,12.9,.18,6.8,13.1,134.7,17.2
70,20943,Darius Slayton,NYG,WR,17,896,52.7,.81,0.0,.00,8.8,.16,5.6,8.8,151.0,16.9
71,23165,Marvin Mims Jr.,DEN,WR,16,384,24.0,.36,2.3,.02,8.6,.07,8.1,10.9,64.7,16.8
72,21735,Gabe Davis,BUF,WR,17,966,56.8,.83,0.1,.00,8.4,.15,4.8,8.5,161.4,16.7
73,16781,Nelson Agholor,BAL,WR,17,583,34.3,.52,0.0,.00,7.7,.10,6.0,7.7,97.1,16.7
74,19922,Justin Watson,KC,WR,16,536,33.5,.47,0.0,.00,9.9,.09,5.0,9.9,89.0,16.6
75,20487,Brandon Powell,MIN,WR,17,407,23.9,.36,1.2,.01,10.8,.07,8.4,12.0,67.1,16.5
76,18926,Zay Jones,JAX,WR,9,475,52.8,.41,0.0,.00,13.5,.11,7.2,13.5,78.1,16.4
77,24143,Parker Washington,JAX,WR,9,239,26.6,.29,0.0,.00,8.8,.03,6.7,8.8,39.2,16.4
78,22602,Tutu Atwell,LAR,WR,16,687,42.9,.60,0.7,.01,9.8,.12,6.4,10.5,112.4,16.4
79,21071,Greg Dortch,ARI,WR,16,397,24.8,.35,0.3,.00,10.3,.07,6.3,10.6,64.5,16.2
80,24173,Michael Wilson,ARI,WR,13,709,54.5,.63,0.0,.00,8.2,.10,5.4,8.2,114.5,16.1
81,13291,Julio Jones,PHI,WR,11,231,21.0,.33,0.0,.00,8.2,.04,4.8,8.2,36.4,15.8
82,19017,Josh Reynolds,DET,WR,17,832,48.9,.71,0.0,.00,7.7,.11,4.8,7.7,128.8,15.5
83,19816,DJ Chark,CAR,WR,15,771,51.4,.67,0.0,.00,8.6,.12,4.5,8.6,115.5,15.0
84,22592,Elijah Moore,CLE,WR,17,903,53.1,.73,1.0,.02,11.5,.18,7.5,12.5,132.1,14.6
85,21714,K.J. Osborn,MIN,WR,16,821,51.3,.73,0.0,.00,9.1,.12,5.8,9.1,120.0,14.6
86,21263,Trenton Irwin,CIN,WR,16,429,26.8,.39,0.0,.00,7.5,.05,5.8,7.5,62.6,14.6
87,19867,Michael Gallup,DAL,WR,17,612,36.0,.52,0.0,.00,9.3,.09,5.6,9.3,87.8,14.3
88,21717,Jauan Jennings,SF,WR,13,361,27.8,.34,0.0,.00,9.1,.07,5.3,9.1,51.5,14.3
89,22566,Calvin Austin III,PIT,WR,17,374,22.0,.35,2.9,.02,8.0,.06,7.5,11.0,52.7,14.1
90,21734,Nick Westbrook-Ikhine,TEN,WR,14,611,43.6,.70,0.0,.00,7.4,.09,4.6,7.4,85.0,13.9
91,22626,Rondale Moore,ARI,WR,17,757,44.5,.67,3.7,.07,8.2,.11,9.0,11.9,105.0,13.9
92,18197,Alex Erickson,LAC,WR,8,329,41.1,.54,0.0,.00,8.8,.05,4.9,8.8,45.2,13.7
93,23155,Jahan Dotson,WAS,WR,17,910,53.5,.82,0.0,.00,9.1,.14,5.4,9.1,124.8,13.7
94,14871,Robert Woods,HOU,WR,14,666,47.6,.59,0.2,.00,11.3,.13,6.2,11.4,89.3,13.4
95,20924,Hunter Renfrow,LV,WR,17,363,21.4,.35,0.0,.00,10.2,.07,6.9,10.2,48.5,13.4
96,24217,Trey Palmer,TB,WR,17,718,42.2,.65,0.4,.01,9.5,.12,5.8,9.9,95.7,13.3
97,18883,JuJu Smith-Schuster,NE,WR,11,461,41.9,.49,0.0,.00,10.2,.09,6.3,10.2,61.0,13.2
98,24362,Malik Heath,GB,WR,13,260,20.0,.24,0.0,.00,9.2,.04,5.8,9.2,33.5,12.9
99,20013,Cedrick Wilson Jr.,MIA,WR,15,545,36.3,.50,0.0,.00,7.0,.07,4.0,7.0,69.6,12.8
100,20038,Braxton Berrios,MIA,WR,16,456,28.5,.42,0.2,.00,7.2,.06,6.1,7.5,57.9,12.7
101,24226,Quentin Johnston,LAC,WR,17,748,44.0,.65,0.4,.01,9.0,.11,5.5,9.4,94.0,12.6
102,22623,Rashod Bateman,BAL,WR,16,611,38.2,.54,0.2,.00,9.2,.12,5.4,9.3,76.5,12.5
103,19023,Mack Hollins,ATL,WR,13,345,26.5,.31,0.0,.00,8.7,.06,5.2,8.7,43.1,12.5
104,16775,DeVante Parker,NE,WR,13,581,44.7,.55,0.0,.00,9.5,.10,5.7,9.5,72.4,12.5
105,22597,Jalen Tolbert,DAL,WR,17,477,28.1,.40,0.0,.00,7.5,.06,4.6,7.5,58.8,12.3
106,23469,Tyquan Thornton,NE,WR,9,224,24.9,.31,1.3,.01,10.3,.04,7.1,11.6,27.2,12.1
107,21760,Isaiah Hodgins,NYG,WR,17,511,30.1,.46,0.0,.00,6.5,.07,4.1,6.5,60.0,11.7
108,21957,Quez Watkins,PHI,WR,9,304,33.8,.37,0.0,.00,6.9,.04,4.9,6.9,35.2,11.6
109,18030,Chris Moore,TEN,WR,17,596,35.1,.57,0.3,.00,5.9,.07,4.0,6.2,68.3,11.5
110,20816,Lil'Jordan Humphrey,DEN,WR,17,428,25.2,.40,0.0,.00,4.4,.04,3.0,4.4,47.2,11.0
111,23168,Skyy Moore,KC,WR,14,495,35.4,.53,0.6,.01,7.7,.06,4.8,8.3,53.7,10.8
112,24125,Jalin Hyatt,NYG,WR,17,557,32.8,.50,0.0,.00,7.2,.08,4.1,7.2,60.3,10.8
113,24472,Xavier Gipson,NYJ,WR,17,496,29.2,.45,1.6,.02,7.7,.07,5.8,9.3,52.7,10.6
114,21961,Darnell Mooney,CHI,WR,15,766,51.1,.67,0.3,.00,8.0,.14,4.3,8.2,78.9,10.3
115,20679,KhaDarel Hodge,ATL,WR,17,370,21.8,.33,0.3,.00,6.2,.04,4.1,6.5,37.2,10.1
116,22685,Terrace Marshall Jr.,CAR,WR,9,335,37.2,.29,0.0,.00,9.9,.06,5.7,9.9,32.9,9.8
117,21448,Jalen Guyton,LAC,WR,8,255,31.9,.38,0.0,.00,8.2,.03,3.9,8.2,24.9,9.8
118,23161,Jonathan Mingo,CAR,WR,15,910,60.7,.83,0.0,.00,9.3,.16,4.7,9.3,84.8,9.3
119,19976,Marquez Valdes-Scantling,KC,WR,16,618,38.6,.55,0.0,.00,6.8,.07,3.4,6.8,56.5,9.1
120,23119,Treylon Burks,TEN,WR,11,443,40.3,.42,1.1,.01,6.8,.06,4.7,7.9,39.9,9.0
121,20145,Allen Lazard,NYJ,WR,14,685,48.9,.62,0.0,.00,7.2,.09,3.4,7.2,60.1,8.8
122,23232,Alec Pierce,IND,WR,17,1090,64.1,.95,0.0,.00,6.0,.12,2.9,6.0,95.4,8.8
123,24220,Tyler Scott,CHI,WR,17,439,25.8,.39,1.6,.01,7.3,.07,5.5,8.9,35.9,8.2
124,21142,Olamide Zaccheaus,PHI,WR,17,471,27.7,.41,0.0,.00,4.2,.04,2.1,4.2,38.4,8.2
125,16263,Allen Robinson II,PIT,WR,17,771,45.4,.72,0.0,.00,6.4,.10,4.4,6.4,62.0,8.0
126,21686,Jalen Reagor,NE,WR,11,308,28.0,.39,0.3,.00,7.8,.04,2.6,8.1,22.5,7.3
127,24348,Cedric Tillman,CLE,WR,14,609,43.5,.49,0.2,.00,7.2,.08,3.6,7.4,44.2,7.3
128,21743,Lynn Bowden Jr.,NO,WR,15,326,21.7,.30,1.5,.01,4.9,.03,4.9,6.4,22.5,6.9
129,21739,Van Jefferson,ATL,WR,17,621,36.5,.54,0.2,.00,6.9,.08,3.4,7.1,41.3,6.7
130,20081,Trent Sherfield Sr.,BUF,WR,17,392,23.1,.34,0.0,.00,5.6,.04,2.8,5.6,25.6,6.5
131,21754,Donovan Peoples-Jones,DET,WR,15,511,34.1,.45,0.0,.00,4.9,.04,2.5,4.9,28.5,5.6
132,24345,Jason Brownlee,NYJ,WR,7,311,44.4,.28,0.0,.00,2.6,.01,1.6,2.6,16.6,5.3
133,20398,Equanimeous St. Brown,CHI,WR,7,213,30.4,.25,0.0,.00,2.8,.01,2.3,2.8,11.2,5.3
134,13870,Marvin Jones Jr.,DET,WR,6,178,29.7,.37,0.0,.00,5.6,.02,2.8,5.6,6.5,3.7
135,23121,Kayshon Boutte,NE,WR,5,116,23.2,.11,0.0,.00,6.0,.01,1.7,6.0,3.9,3.4
136,22417,Kristian Wilkerson,LV,WR,2,42,21.0,.09,0.0,.00,0.0,.00,0.0,0.0,0.0,0.0
137,7651,Matthew Slater,NE,WR,16,,65.7,,0.0,.00,,.00,0.0,0.0,0.0,0.0
