rank,id,player,team,pos,Receptions,ReceivingYards,ReceivingTDs,RouteParticipation,SnapShare,AverageTargetDistance,AirYards,AirYardsPerGame,AirYardsPerReception,Targets,RedZoneTargets,EndzoneTargets,TargetAccuracy,TargetShare,FantasyPointsPerTarget
1,18082,Tyreek Hill,MIA,WR,119,1799,13,85.8,68.4,10.8,1847,115.4,16,171,25,12,7.6,33.7,2.2
2,21679,CeeDee Lamb,DAL,WR,135,1749,12,98.7,84.9,9.5,1722,101.3,13,181,31,23,7.5,29.9,2.2
3,22587,Amon-Ra St. Brown,DET,WR,119,1515,10,97.2,91.0,7.9,1301,81.3,11,164,25,4,7.5,30.2,2.0
4,24172,Puka Nacua,LAR,WR,105,1486,6,93.8,87.9,9.1,1446,85.0,14,159,16,10,6.9,28.7,1.9
5,21042,A.J. Brown,PHI,WR,106,1456,7,100.0,89.5,11.7,1853,109.0,17,158,17,14,7.4,30.1,1.8
6,19844,DJ Moore,CHI,WR,96,1364,8,100.0,92.4,10.9,1479,87.0,15,136,12,14,6.8,28.9,2.1
7,21747,Brandon Aiyuk,SF,WR,75,1342,7,93.0,83.8,13.8,1447,90.4,19,105,10,7,7.3,25.0,2.4
8,21756,Nico Collins,HOU,WR,80,1297,8,77.2,68.2,10.9,1186,79.1,15,109,15,10,7.2,22.7,2.4
9,16597,Mike Evans,TB,WR,79,1255,13,92.8,79.9,14.1,1906,112.1,24,135,17,20,6.6,24.5,2.1
10,16765,Amari Cooper,CLE,WR,72,1250,5,93.3,84.5,14.2,1820,121.3,25,128,13,7,5.9,23.6,1.8
11,15076,Keenan Allen,LAC,WR,108,1243,7,100.0,90.1,9.6,1446,111.2,13,150,14,8,7.0,32.0,1.9
12,22564,Ja'Marr Chase,CIN,WR,100,1216,7,100.0,88.2,8.4,1220,76.2,12,145,20,10,6.8,26.3,1.8
13,16906,Stefon Diggs,BUF,WR,107,1183,8,100.0,83.5,10.3,1653,97.2,15,160,16,10,7.5,29.5,1.7
14,21744,Michael Pittman Jr.,IND,WR,109,1152,4,100.0,92.9,7.9,1232,77.0,11,156,19,5,7.3,30.5,1.6
15,16470,Davante Adams,LV,WR,103,1144,8,100.0,93.4,10.8,1896,111.5,18,175,29,9,6.7,33.1,1.5
16,23153,George Pickens,PIT,WR,63,1140,5,100.0,88.3,13.5,1428,84.0,23,106,8,5,6.3,21.9,2.0
17,22565,Chris Olave,NO,WR,87,1123,5,93.4,59.3,13.3,1834,114.6,21,138,12,10,6.5,25.2,1.7
18,20875,DK Metcalf,SEA,WR,66,1114,8,97.1,84.2,12.7,1521,95.1,23,120,24,18,6.6,22.9,1.9
19,21685,Justin Jefferson,MIN,WR,68,1074,5,94.3,85.5,12.6,1258,125.8,19,100,10,10,6.5,27.2,2.0
20,21687,DeVonta Smith,PHI,WR,81,1066,7,100.0,97.2,12.1,1350,84.4,17,112,7,9,7.4,22.8,2.0
21,14986,DeAndre Hopkins,TEN,WR,75,1057,7,99.0,72.7,14.0,1905,112.0,25,136,18,14,6.5,28.6,1.6
22,23122,Garrett Wilson,NYJ,WR,95,1042,3,100.0,91.9,10.2,1707,100.4,18,168,19,8,6.4,30.1,1.3
23,18880,Chris Godwin,TB,WR,83,1024,2,97.9,84.4,8.9,1171,68.9,14,131,15,10,6.4,23.8,1.6
24,19802,Calvin Ridley,JAX,WR,76,1016,8,100.0,86.8,13.2,1792,105.4,24,136,25,24,6.7,22.6,1.7
25,22598,Jaylen Waddle,MIA,WR,72,1014,4,79.7,68.8,10.1,1051,75.1,15,104,8,6,7.6,23.4,1.9
26,15534,Adam Thielen,CAR,WR,103,1014,4,100.0,90.8,7.5,1029,60.5,10,137,15,5,7.3,25.6,1.7
