rank,id,player,team,pos,gp,snaps,snaps_per_gp,snap_pct,rush_per_snap,rush_share,tgt_per_snap,tgt_share,touch_per_snap,util_per_snap,fpts_ppr,fpts_ppr_per_snap
147,22685,Terrace Marshall Jr.,CAR,WR,13,422,32.5,.39,0.0,.00,7.1,.05,4.0,7.1,32.8,7.8
148,21741,Denzel Mims,NYJ,WR,11,279,25.4,.25,0.0,.00,8.2,.04,2.9,8.2,21.3,7.6
149,21368,Trinity Benson,DET,WR,8,279,34.9,.25,0.0,.00,7.9,.04,3.6,7.9,20.3,7.3
150,15196,Kenny Stills,NO,WR,13,274,21.1,.28,0.4,.00,8.4,.05,2.6,8.8,18.9,6.9
151,20398,Equanimeous St. Brown,GB,WR,13,292,22.5,.29,1.0,.01,5.8,.03,4.1,6.8,20.2,6.7
152,20071,Keith Kirkwood,CAR,WR,3,74,24.7,.35,0.0,.00,9.5,.01,4.1,9.5,4.7,6.4
153,19280,Cody Hollister,TEN,WR,3,147,49.0,.69,0.0,.00,4.8,.01,2.7,4.8,7.3,5.0
154,22573,Dazz Newsome,CHI,WR,3,103,34.3,.45,0.0,.00,4.9,.01,1.9,4.9,4.3,4.2
155,20939,David Sills,NYG,WR,4,98,24.5,.37,0.0,.00,6.1,.01,2.0,6.1,3.7,3.8
156,22635,Jalen Camp,HOU,WR,3,65,21.7,.34,0.0,.00,0.0,.00,0.0,0.0,0.0,0.0
