rank,id,player,team,pos,Targets,Receptions,ReceivingYards,ReceivingTDs,AverageCushion,TargetSeparation,TrueCatchRate,ContestedTargets,ContestedCatches,ReceiverContestedCatchRate,YardsPerReception,YardsPerTarget,YardsPerRouteRun,Drops,DropRate
1,18882,Cooper Kupp,LAR,WR,191,145,1947,16,4.4,1.7,93.5,62,13,0.2,13.4,10.2,3.3,4.0,2.1
2,21077,Diontae Johnson,PIT,WR,169,107,1161,8,3.7,1.9,81.7,28,12,0.4,10.8,6.9,1.9,9.0,5.3
3,16470,Davante Adams,GB,WR,169,123,1553,11,4.2,1.6,91.1,42,9,0.2,12.6,9.2,3.2,6.0,3.5
4,21685,Justin Jefferson,MIN,WR,167,108,1616,10,4.4,1.5,81.2,30,10,0.3,15.0,9.7,2.8,11.0,6.6
5,16906,Stefon Diggs,BUF,WR,164,103,1225,10,4.0,1.6,87.3,35,14,0.4,11.9,7.5,2.2,4.0,2.4
6,19844,DJ Moore,CAR,WR,162,93,1157,4,4.5,1.6,80.2,41,12,0.3,12.4,7.1,2.0,11.0,6.8
7,18082,Tyreek Hill,KC,WR,159,111,1239,9,4.3,1.7,88.1,30,6,0.2,11.2,7.8,2.3,6.0,3.8
8,15076,Keenan Allen,LAC,WR,157,106,1138,6,4.4,1.6,80.9,20,12,0.6,10.7,7.2,1.9,11.0,7.0
9,21045,Marquise Brown,BAL,WR,145,91,1008,6,5.7,1.7,85.8,30,5,0.2,11.1,7.0,1.9,7.0,4.8
10,22598,Jaylen Waddle,MIA,WR,142,104,1015,6,4.3,1.9,110.6,28,10,0.4,9.8,7.1,1.9,5.0,3.5
11,21961,Darnell Mooney,CHI,WR,140,81,1055,4,5.5,1.9,77.1,36,7,0.2,13.0,7.5,2.0,4.0,2.9
12,16568,Brandin Cooks,HOU,WR,133,90,1037,6,4.8,1.8,96.8,17,9,0.5,11.5,7.8,2.1,5.0,3.8
13,20873,Terry McLaurin,WAS,WR,131,77,1053,5,4.2,1.2,81.9,34,15,0.4,13.7,8.0,2.0,5.0,3.8
14,21744,Michael Pittman Jr.,IND,WR,129,88,1082,6,4.5,1.8,88.9,42,17,0.4,12.3,8.4,2.1,4.0,3.1
15,20875,DK Metcalf,SEA,WR,129,75,967,12,5.1,1.2,76.5,31,11,0.4,12.9,7.5,2.1,7.0,5.4
16,18914,Mike Williams,LAC,WR,129,76,1146,9,4.0,1.4,80.8,30,16,0.5,15.1,8.9,2.1,8.0,6.2
17,20924,Hunter Renfrow,LV,WR,128,103,1038,9,4.0,2.1,92.0,26,7,0.3,10.1,8.1,2.1,4.0,3.1
18,18880,Chris Godwin,TB,WR,128,98,1103,5,4.1,1.6,92.5,25,10,0.4,11.2,8.6,2.1,7.0,5.5
19,22564,Ja'Marr Chase,CIN,WR,128,81,1455,13,3.9,1.5,80.2,36,9,0.2,18.0,11.4,2.7,8.0,6.2
20,20876,Jakobi Meyers,NE,WR,126,83,867,2,4.6,1.6,89.2,41,15,0.4,10.4,6.9,1.8,2.0,1.6
21,21679,CeeDee Lamb,DAL,WR,120,79,1102,6,4.5,1.6,84.9,19,6,0.3,13.9,9.2,2.3,9.0,7.5
22,20932,Deebo Samuel Sr.,SF,WR,120,77,1405,6,4.7,1.6,81.9,23,10,0.4,18.2,11.7,3.2,10.0,8.3
23,22587,Amon-Ra St. Brown,DET,WR,119,90,912,5,4.9,1.6,89.1,18,11,0.6,10.1,7.7,1.9,3.0,2.5
24,16597,Mike Evans,TB,WR,113,74,1035,14,3.9,1.7,90.2,44,18,0.4,14.0,9.2,1.8,5.0,4.4
25,21690,Tee Higgins,CIN,WR,110,74,1091,6,4.3,1.7,78.7,40,10,0.2,14.7,9.9,2.4,5.0,4.5
26,18187,Robbie Chosen,CAR,WR,110,53,519,5,5.0,1.6,69.7,31,8,0.3,9.8,4.7,0.9,5.0,4.5
27,16830,Tyler Lockett,SEA,WR,107,73,1175,8,5.1,1.7,97.3,20,8,0.4,16.1,11.0,2.6,0.0,0.0
28,21752,Chase Claypool,PIT,WR,105,59,860,2,4.2,1.3,71.1,34,17,0.5,14.6,8.2,1.8,7.0,6.7
29,21042,A.J. Brown,TEN,WR,105,63,869,5,4.5,1.5,82.9,23,12,0.5,13.8,8.3,2.7,6.0,5.7
30,21687,DeVonta Smith,PHI,WR,103,64,916,5,4.5,1.8,81.0,34,11,0.3,14.3,8.9,2.1,5.0,4.8
31,16765,Amari Cooper,DAL,WR,103,68,865,8,5.0,1.7,82.9,18,8,0.4,12.7,8.4,1.9,6.0,5.8
32,19815,Christian Kirk,ARI,WR,103,77,982,5,4.7,1.8,87.5,20,12,0.6,12.8,9.5,2.0,6.0,5.8
