rank,id,player,team,pos,gp,redzone10_pass_yds,redzone10_pass_td,redzone10_pass_int,redzone10_rush_yds,redzone10_rush_td,redzone10_rec,redzone10_rec_yds,redzone10_rec_td,redzone10_fpts_ppr
1,16568,Brandin Cooks,DAL,WR,16,0,0,0,0,0,6,40,6,48.0
2,23167,Romeo Doubs,GB,WR,17,0,0,0,0,0,6,34,6,45.4
3,20876,Jakobi Meyers,LV,WR,16,3,1,0,5,1,6,39,4,44.5
4,24120,Rashee Rice,KC,WR,16,0,0,0,0,0,9,51,5,44.1
5,16470,Davante Adams,LV,WR,17,0,0,0,0,0,10,38,5,43.8
6,21679,CeeDee Lamb,DAL,WR,17,0,0,0,3,1,8,31,4,43.4
7,20875,DK Metcalf,SEA,WR,16,0,0,0,0,0,5,28,5,37.8
8,15076,Keenan Allen,LAC,WR,13,0,0,0,4,0,6,34,4,33.8
9,18082,Tyreek Hill,MIA,WR,16,0,0,0,0,0,8,17,4,33.7
10,23233,Jayden Reed,GB,WR,16,0,0,0,0,0,4,33,4,33.3
11,19802,Calvin Ridley,JAX,WR,17,0,0,0,0,0,5,20,4,33.0
12,21756,Nico Collins,HOU,WR,15,0,0,0,0,0,5,19,4,32.9
13,18928,Curtis Samuel,WAS,WR,16,0,0,0,1,1,4,22,3,30.3
14,24119,Andrei Iosivas,CIN,WR,16,0,0,0,0,0,4,15,4,29.5
15,23120,Zay Flowers,BAL,WR,16,0,0,0,6,0,6,25,3,29.1
16,16597,Mike Evans,TB,WR,17,0,0,0,0,0,4,6,4,28.6
17,22587,Amon-Ra St. Brown,DET,WR,16,0,0,0,0,0,7,35,3,28.5
18,15534,Adam Thielen,CAR,WR,17,0,0,0,0,0,5,27,3,27.7
19,16830,Tyler Lockett,SEA,WR,17,0,0,0,0,0,3,14,3,26.4
20,18882,Cooper Kupp,LAR,WR,12,0,0,0,0,0,4,11,3,25.1
21,22565,Chris Olave,NO,WR,16,0,0,0,0,0,3,20,3,25.0
22,14986,DeAndre Hopkins,TEN,WR,17,0,0,0,4,0,4,19,3,24.3
23,22564,Ja'Marr Chase,CIN,WR,16,0,0,0,0,0,5,13,3,24.3
24,23162,Jordan Addison,MIN,WR,17,0,0,0,0,0,4,20,3,24.0
25,18047,Demarcus Robinson,LAR,WR,16,0,0,0,0,0,4,17,3,23.7
26,19800,Courtland Sutton,DEN,WR,16,0,0,0,0,0,3,18,3,22.8
27,19922,Justin Watson,KC,WR,16,0,0,0,0,0,3,13,3,22.3
28,19017,Josh Reynolds,DET,WR,17,0,0,0,0,0,3,13,3,22.3
29,21735,Gabe Davis,BUF,WR,17,0,0,0,0,0,3,13,3,22.3
30,21077,Diontae Johnson,PIT,WR,13,0,0,0,0,0,3,9,3,21.9
31,21045,Marquise Brown,ARI,WR,14,0,0,0,0,0,3,6,3,21.6
32,20932,Deebo Samuel Sr.,SF,WR,15,0,0,0,3,2,2,11,1,21.4
33,23122,Garrett Wilson,NYJ,WR,17,0,0,0,0,0,5,18,2,18.8
34,22602,Tutu Atwell,LAR,WR,16,0,0,0,0,0,2,4,2,18.4
35,24172,Puka Nacua,LAR,WR,17,0,0,0,0,0,4,17,2,17.7
36,19844,DJ Moore,CHI,WR,17,0,0,0,0,0,4,16,2,17.6
37,21744,Michael Pittman Jr.,IND,WR,16,0,0,0,0,0,2,14,2,17.4
38,24173,Michael Wilson,ARI,WR,13,0,0,0,0,0,2,13,2,17.3
39,17986,Tyler Boyd,CIN,WR,17,0,0,0,0,0,3,21,2,17.1
40,24068,KaVontae Turpin,DAL,WR,16,0,0,0,7,1,3,14,1,17.1
41,21714,K.J. Osborn,MIN,WR,16,0,0,0,0,0,3,20,2,17.0
42,22592,Elijah Moore,CLE,WR,17,0,0,0,0,0,2,18,2,15.8
43,23155,Jahan Dotson,WAS,WR,17,0,0,0,0,0,2,18,2,15.8
44,21042,A.J. Brown,PHI,WR,17,0,0,0,0,0,3,8,2,15.8
45,19816,DJ Chark,CAR,WR,15,0,0,0,0,0,2,15,2,15.5
46,22627,Ronnie Bell,SF,WR,17,0,0,0,0,0,2,14,2,15.4
47,24176,Tank Dell,HOU,WR,11,0,0,0,0,0,2,13,2,15.3
48,21747,Brandon Aiyuk,SF,WR,16,0,0,0,0,0,2,10,2,15.0
49,21138,Scotty Miller,ATL,WR,17,0,0,0,0,0,2,10,2,15.0
50,22597,Jalen Tolbert,DAL,WR,17,0,0,0,0,0,2,10,2,15.0
51,23395,Christian Watson,GB,WR,9,0,0,0,0,0,2,10,2,15.0
52,20013,Cedrick Wilson Jr.,MIA,WR,15,0,0,0,0,0,2,9,2,14.9
53,20816,Lil'Jordan Humphrey,DEN,WR,17,0,0,0,0,0,2,8,2,14.8
54,24217,Trey Palmer,TB,WR,17,0,0,0,0,0,2,8,2,14.8
55,24226,Quentin Johnston,LAC,WR,17,0,0,0,0,0,2,7,2,14.7
56,21690,Tee Higgins,CIN,WR,12,0,0,0,0,0,2,7,2,14.7
57,21687,DeVonta Smith,PHI,WR,16,0,0,0,0,0,2,7,2,14.7
58,22598,Jaylen Waddle,MIA,WR,14,0,0,0,0,0,2,6,2,14.6
59,24339,Jake Bobo,SEA,WR,17,0,0,0,3,1,1,5,1,13.8
60,23151,Drake London,ATL,WR,16,0,0,0,0,0,4,13,1,13.3
61,16906,Stefon Diggs,BUF,WR,17,0,0,0,5,0,3,10,1,12.5
62,16765,Amari Cooper,CLE,WR,15,0,0,0,0,0,2,13,1,11.3
63,18880,Chris Godwin,TB,WR,17,0,0,0,0,0,2,10,1,11.0
64,24472,Xavier Gipson,NYJ,WR,17,0,0,0,9,1,2,9,0,9.8
65,19318,Kendrick Bourne,NE,WR,8,0,0,0,0,0,3,8,1,9.8
66,22614,Kadarius Toney,KC,WR,13,0,0,0,0,0,3,6,1,9.6
67,16389,Odell Beckham Jr.,BAL,WR,14,0,0,0,0,0,2,15,1,9.5
68,23763,Brandon Johnson,DEN,WR,13,0,0,0,0,0,1,4,1,9.4
69,21734,Nick Westbrook-Ikhine,TEN,WR,14,0,0,0,0,0,1,4,1,9.4
70,18926,Zay Jones,JAX,WR,9,0,0,0,0,0,2,12,1,9.2
71,20487,Brandon Powell,MIN,WR,17,0,0,0,0,0,2,7,1,8.7
72,24145,Josh Downs,IND,WR,17,0,0,0,0,0,2,5,1,8.5
73,19755,River Cracraft,MIA,WR,10,0,0,0,0,0,2,4,1,8.4
74,20145,Allen Lazard,NYJ,WR,14,0,0,0,0,0,1,10,1,8.0
75,22623,Rashod Bateman,BAL,WR,16,0,0,0,0,0,1,10,1,8.0
76,23253,Dontayvion Wicks,GB,WR,15,0,0,0,0,0,1,10,1,8.0
77,22645,Simi Fehoko,LAC,WR,6,0,0,0,0,0,1,9,1,7.9
78,23482,Bo Melton,GB,WR,5,0,0,0,0,0,1,9,1,7.9
79,23170,Wan'Dale Robinson,NYG,WR,15,0,0,0,0,0,1,9,1,7.9
80,23168,Skyy Moore,KC,WR,14,0,0,0,0,0,1,9,1,7.9
81,23157,Jaxon Smith-Njigba,SEA,WR,17,0,0,0,0,0,1,9,1,7.9
82,21675,Tyler Johnson,LAR,WR,1,0,0,0,0,0,1,8,1,7.8
83,24345,Jason Brownlee,NYJ,WR,7,0,0,0,0,0,1,8,1,7.8
84,13291,Julio Jones,PHI,WR,11,0,0,0,0,0,1,8,1,7.8
85,17961,Sterling Shepard,NYG,WR,15,0,0,0,6,0,1,2,1,7.8
86,21760,Isaiah Hodgins,NYG,WR,17,0,0,0,0,0,1,8,1,7.8
87,20071,Keith Kirkwood,NO,WR,13,0,0,0,0,0,1,7,1,7.7
88,20081,Trent Sherfield Sr.,BUF,WR,17,0,0,0,0,0,1,6,1,7.6
89,24349,A.T. Perry,NO,WR,10,0,0,0,0,0,1,6,1,7.6
90,24362,Malik Heath,GB,WR,13,0,0,0,0,0,1,6,1,7.6
91,16781,Nelson Agholor,BAL,WR,17,0,0,0,0,0,1,6,1,7.6
92,21071,Greg Dortch,ARI,WR,16,0,0,0,0,0,1,6,1,7.6
93,14871,Robert Woods,HOU,WR,14,0,0,0,0,0,1,6,1,7.6
94,23746,Deven Thompkins,TB,WR,17,0,0,0,0,0,1,5,1,7.5
95,20873,Terry McLaurin,WAS,WR,17,0,0,0,0,0,1,3,1,7.3
96,18883,JuJu Smith-Schuster,NE,WR,11,0,0,0,0,0,1,3,1,7.3
97,19080,Noah Brown,HOU,WR,10,0,0,0,0,0,1,3,1,7.3
98,19867,Michael Gallup,DAL,WR,17,0,0,0,0,0,1,1,1,7.1
99,21163,Deonte Harty,BUF,WR,16,0,0,0,-3,0,1,3,1,7.0
100,22566,Calvin Austin III,PIT,WR,17,0,0,0,7,1,0,0,0,6.7
101,21685,Justin Jefferson,MIN,WR,10,0,0,0,-12,0,1,4,1,6.2
102,23634,Samori Toure,GB,WR,11,0,0,0,0,0,0,0,0,2.0
103,21263,Trenton Irwin,CIN,WR,16,0,0,0,0,0,2,0,0,2.0
104,21725,Trishton Jackson,MIN,WR,7,0,0,0,0,0,0,0,0,2.0
105,13227,Randall Cobb,NYJ,WR,11,0,0,0,0,0,0,0,0,2.0
106,21692,Jerry Jeudy,DEN,WR,16,0,0,0,0,0,2,-5,0,1.5
107,23165,Marvin Mims Jr.,DEN,WR,16,0,0,0,0,0,1,4,0,1.4
108,24347,Xavier Hutchinson,HOU,WR,16,0,0,0,3,0,1,0,0,1.3
109,22613,Joshua Palmer,LAC,WR,10,0,0,0,0,0,1,3,0,1.3
110,23153,George Pickens,PIT,WR,17,0,0,0,0,0,1,2,0,1.2
111,22686,Dyami Brown,WAS,WR,17,4,0,0,0,0,1,0,0,1.2
