rank,id,player,team,pos,gp,redzone10_pass_yds,redzone10_pass_td,redzone10_pass_int,redzone10_rush_yds,redzone10_rush_td,redzone10_rec,redzone10_rec_yds,redzone10_rec_td,redzone10_fpts_ppr
112,24143,Parker Washington,JAX,WR,9,0,0,0,0,0,1,1,0,1.1
113,23227,Khalil Shakir,BUF,WR,17,0,0,0,0,0,1,1,0,1.1
114,16263,Allen Robinson II,PIT,WR,17,0,0,0,0,0,1,-1,0,0.9
115,24220,Tyler Scott,CHI,WR,17,0,0,0,0,0,1,-1,0,0.9
116,21961,Darnell Mooney,CHI,WR,15,0,0,0,0,0,1,-1,0,0.9
117,24121,Derius Davis,LAC,WR,17,0,0,0,0,0,1,-3,0,0.7
118,21697,Laviska Shenault Jr.,CAR,WR,8,0,0,0,7,0,0,0,0,0.7
119,24177,Tre Tucker,LV,WR,16,0,0,0,0,0,0,0,0,0.0
120,24125,Jalin Hyatt,NYG,WR,17,0,0,0,0,0,0,0,0,0.0
121,24122,Charlie Jones,CIN,WR,11,0,0,0,0,0,0,0,0,0.0
122,17141,Damiere Byrd,ATL,WR,1,0,0,0,0,0,0,0,0,0.0
123,19897,Tre'Quan Smith,DEN,WR,1,0,0,0,0,0,0,0,0,0.0
124,23909,Kwamie Lassiter II,CIN,WR,1,0,0,0,0,0,0,0,0,0.0
125,19120,David Moore,TB,WR,7,0,0,0,0,0,0,0,0,0.0
126,23729,Rashid Shaheed,NO,WR,15,0,0,0,0,0,0,0,0,0.0
127,19172,Zach Pascal,ARI,WR,14,0,0,0,0,0,0,0,0,0.0
128,20038,Braxton Berrios,MIA,WR,16,0,0,0,0,0,0,0,0,0.0
129,18422,Kalif Raymond,DET,WR,17,0,0,0,0,0,0,0,0,0.0
130,23604,Montrell Washington,KC,WR,6,0,0,0,0,0,0,0,0,0.0
131,23587,Devon Allen,PHI,WR,2,0,0,0,0,0,0,0,0,0.0
132,23481,Velus Jones Jr.,CHI,WR,14,0,0,0,0,0,0,0,0,0.0
133,21072,Keelan Doss,LAC,WR,5,0,0,0,0,0,0,0,0,0.0
134,23463,Kyle Philips,TEN,WR,9,0,0,0,0,0,0,0,0,0.0
135,23368,Jalen Nailor,MIN,WR,6,0,0,0,0,0,0,0,0,0.0
136,23302,Britain Covey,PHI,WR,16,0,0,0,0,0,0,0,0,0.0
137,23232,Alec Pierce,IND,WR,17,0,0,0,0,0,0,0,0,0.0
138,21739,Van Jefferson,ATL,WR,17,0,0,0,0,0,0,0,0,0.0
139,23121,Kayshon Boutte,NE,WR,5,0,0,0,0,0,0,0,0,0.0
140,20886,Stanley Morgan Jr.,CIN,WR,3,0,0,0,0,0,0,0,0,0.0
141,21142,Olamide Zaccheaus,PHI,WR,17,0,0,0,0,0,0,0,0,0.0
142,22973,Austin Trammell,LAR,WR,16,0,0,0,0,0,0,0,0,0.0
143,20943,Darius Slayton,NYG,WR,17,0,0,0,0,0,0,0,0,0.0
144,21957,Quez Watkins,PHI,WR,9,0,0,0,0,0,0,0,0,0.0
145,20924,Hunter Renfrow,LV,WR,17,0,0,0,0,0,0,0,0,0.0
146,22685,Terrace Marshall Jr.,CAR,WR,9,0,0,0,0,0,0,0,0,0.0
147,20939,David Sills,DEN,WR,3,0,0,0,0,0,0,0,0,0.0
148,22683,Jacob Harris,JAX,WR,2,0,0,0,0,0,0,0,0,0.0
149,22644,DJ Turner,LV,WR,10,0,0,0,0,0,0,0,0,0.0
150,21743,Lynn Bowden Jr.,NO,WR,15,0,0,0,0,0,0,0,0,0.0
151,21169,Malik Taylor,NYJ,WR,3,0,0,0,0,0,0,0,0,0.0
152,21473,D.J. Montgomery,IND,WR,7,0,0,0,0,0,0,0,0,0.0
153,22234,Andre Baccellia,ARI,WR,5,0,0,0,0,0,0,0,0,0.0
154,22604,Tylan Wallace,BAL,WR,11,0,0,0,0,0,0,0,0,0.0
155,22488,Chris Blair,ATL,WR,1,0,0,0,0,0,0,0,0,0.0
156,22600,Johnny Johnson III,HOU,WR,1,0,0,0,0,0,0,0,0,0.0
157,21717,Jauan Jennings,SF,WR,13,0,0,0,0,0,0,0,0,0.0
158,21721,Devin Duvernay,BAL,WR,13,0,0,0,0,0,0,0,0,0.0
159,21723,James Proche II,CLE,WR,10,0,0,0,0,0,0,0,0,0.0
160,21724,Easop Winston Jr.,SEA,WR,1,0,0,0,0,0,0,0,0,0.0
161,21730,Collin Johnson,CHI,WR,3,0,0,0,0,0,0,0,0,0.0
162,22620,Mike Strachan,CAR,WR,4,0,0,0,0,0,0,0,0,0.0
163,22596,Jaelon Darden,CLE,WR,1,0,0,0,0,0,0,0,0,0.0
164,22626,Rondale Moore,ARI,WR,17,0,0,0,0,0,0,0,0,0.0
165,22595,Ihmir Smith-Marsette,CAR,WR,17,0,0,0,0,0,0,0,0,0.0
166,22594,Frank Darby,ATL,WR,1,0,0,0,0,0,0,0,0,0.0
167,23148,David Bell,CLE,WR,15,0,0,0,0,0,0,0,0,0.0
168,22345,Dan Chisena,ARI,WR,4,0,0,0,0,0,0,0,0,0.0
169,23160,John Metchie III,HOU,WR,16,0,0,0,0,0,0,0,0,0.0
170,23164,Kearis Jackson,TEN,WR,2,0,0,0,0,0,0,0,0,0.0
171,23234,Jameson Williams,DET,WR,12,0,0,0,0,0,0,0,0,0.0
172,22415,Mason Kinsey,TEN,WR,6,0,0,0,0,0,0,0,0,0.0
173,22417,Kristian Wilkerson,LV,WR,2,0,0,0,0,0,0,0,0,0.0
174,22892,Tim Jones,JAX,WR,17,0,0,0,0,0,0,0,0,0.0
175,23119,Treylon Burks,TEN,WR,11,0,0,0,0,0,0,0,0,0.0
176,22339,Kirk Merritt,NO,WR,1,0,0,0,0,0,0,0,0,0.0
177,21754,Donovan Peoples-Jones,DET,WR,15,0,0,0,0,0,0,0,0,0.0
178,21752,Chase Claypool,MIA,WR,12,0,0,0,0,0,0,0,0,0.0
179,23166,Rakim Jarrett,TB,WR,10,0,0,0,0,0,0,0,0,0.0
180,21750,Marquez Callaway,NO,WR,3,0,0,0,0,0,0,0,0,0.0
181,21601,Gunner Olszewski,NYG,WR,12,0,0,0,0,0,0,0,0,0.0
182,21037,Miles Boykin,PIT,WR,17,0,0,0,0,0,0,0,0,0.0
183,23469,Tyquan Thornton,NE,WR,9,0,0,0,0,0,0,0,0,0.0
184,23099,Michael Bandy,DEN,WR,1,0,0,0,0,0,0,0,0,0.0
185,21448,Jalen Guyton,LAC,WR,8,0,0,0,0,0,0,0,0,0.0
186,23161,Jonathan Mingo,CAR,WR,15,0,0,0,0,0,0,0,0,0.0
187,21400,Steven Sims,HOU,WR,3,0,0,0,0,0,0,0,0,0.0
188,23163,Justyn Ross,KC,WR,10,0,0,0,0,0,0,0,0,0.0
189,23624,Dareke Young,SEA,WR,6,0,0,0,0,0,0,0,0,0.0
190,21115,Juwann Winfree,IND,WR,8,0,0,0,0,0,0,0,0,0.0
191,21686,Jalen Reagor,NE,WR,11,0,0,0,0,0,0,0,0,0.0
192,21005,Parris Campbell,NYG,WR,12,0,0,0,0,0,0,0,0,0.0
193,20963,Cody Thompson,SEA,WR,7,0,0,0,0,0,0,0,0,0.0
194,20820,Andy Isabella,BUF,WR,2,0,0,0,0,0,0,0,0,0.0
195,23659,Tay Martin,SF,WR,1,0,0,0,0,0,0,0,0,0.0
196,20792,N'Keal Harry,MIN,WR,9,0,0,0,0,0,0,0,0,0.0
197,20788,Mecole Hardman Jr.,KC,WR,11,0,0,0,0,0,0,0,0,0.0
198,23962,Irvin Charles,NYJ,WR,12,0,0,0,0,0,0,0,0,0.0
199,23998,Ethan Fernea,IND,WR,3,0,0,0,0,0,0,0,0,0.0
200,20679,KhaDarel Hodge,ATL,WR,17,0,0,0,0,0,0,0,0,0.0
201,24348,Cedric Tillman,CLE,WR,14,0,0,0,0,0,0,0,0,0.0
202,20398,Equanimeous St. Brown,CHI,WR,7,0,0,0,0,0,0,0,0,0.0
203,20150,Byron Pringle,WAS,WR,17,0,0,0,0,0,0,0,0,0.0
204,20077,Richie James,KC,WR,9,0,0,0,0,0,0,0,0,0.0
205,19976,Marquez Valdes-Scantling,KC,WR,16,0,0,0,0,0,0,0,0,0.0
206,19961,Ray-Ray McCloud,SF,WR,12,0,0,0,0,0,0,0,0,0.0
207,22569,Dee Eskridge,SEA,WR,4,0,0,0,0,0,0,0,0,0.0
208,16141,Willie Snead IV,SF,WR,4,0,0,0,0,0,0,0,0,0.0
209,22590,Ben Skowronek,LAR,WR,17,0,0,0,0,0,0,0,0,0.0
210,22591,Dez Fitzpatrick,PIT,WR,1,0,0,0,0,0,0,0,0,0.0
211,19064,Trent Taylor,CHI,WR,17,0,0,0,0,0,0,0,0,0.0
212,19044,Jamal Agnew,JAX,WR,11,0,0,0,0,0,0,0,0,0.0
213,19043,Isaiah McKenzie,IND,WR,13,0,0,0,0,0,0,0,0,0.0
214,19023,Mack Hollins,ATL,WR,13,0,0,0,0,0,0,0,0,0.0
215,17914,Laquon Treadwell,BAL,WR,5,0,0,0,0,0,0,0,0,0.0
216,16790,Phillip Dorsett,DEN,WR,2,0,0,0,0,0,0,0,0,0.0
217,24629,Terrell Bynum,LAC,WR,1,0,0,0,0,0,0,0,0,0.0
218,24293,Antoine Green,DET,WR,9,0,0,0,0,0,0,0,0,0.0
219,24571,Cephus Johnson III,TB,WR,1,0,0,0,0,0,0,0,0,0.0
220,24875,Dylan Drummond,DET,WR,1,0,0,0,0,0,0,0,0,0.0
221,24755,Elijah Cooks,JAX,WR,9,0,0,0,0,0,0,0,0,0.0
222,16775,DeVante Parker,NE,WR,13,0,0,0,0,0,0,0,0,0.0
223,22575,Amari Rodgers,IND,WR,3,0,0,0,0,0,0,0,0,0.0
224,13870,Marvin Jones Jr.,DET,WR,6,0,0,0,0,0,0,0,0,0.0
225,7651,Matthew Slater,NE,WR,16,0,0,0,0,0,0,0,0,0.0
226,24749,Shedrick Jackson,CIN,WR,3,0,0,0,0,0,0,0,0,0.0
227,16837,Chris Conley,SF,WR,8,0,0,0,0,0,0,0,0,0.0
228,16855,Ty Montgomery II,NE,WR,13,0,0,0,0,0,0,0,0,0.0
229,16866,Jamison Crowder,WAS,WR,17,0,0,0,0,0,0,0,0,0.0
230,17960,Michael Thomas,NO,WR,10,0,0,0,0,0,0,0,0,0.0
231,24577,Chase Cota,HOU,WR,1,0,0,0,0,0,0,0,0,0.0
232,18187,Robbie Chosen,MIA,WR,9,0,0,0,0,0,0,0,0,0.0
233,18197,Alex Erickson,LAC,WR,8,0,0,0,0,0,0,0,0,0.0
234,24494,Colton Dowell,TEN,WR,10,0,0,0,0,0,0,0,0,0.0
235,24471,Ryan Miller,TB,WR,1,0,0,0,0,0,0,0,0,0.0
236,24397,Jalen Brooks,DAL,WR,7,0,0,0,0,0,0,0,0,0.0
237,18914,Mike Williams,LAC,WR,3,0,0,0,0,0,0,0,0,0.0
238,24342,Mitchell Tinsley,WAS,WR,2,0,0,0,0,0,0,0,0,0.0
239,14865,Marquise Goodwin,CLE,WR,12,0,0,0,0,0,0,0,0,0.0
240,17218,DeAndre Carter,LV,WR,17,0,0,0,0,0,0,0,0,0.0
241,18030,Chris Moore,TEN,WR,17,0,0,0,0,0,0,0,0,0.0
242,24180,Demario Douglas,NE,WR,14,0,0,0,0,0,0,0,0,0.0
243,24894,Lucky Jackson,MIN,WR,3,0,0,0,0,0,0,0,0,0.0
244,23325,Erik Ezukanma,MIA,WR,2,0,0,0,-1,0,0,0,0,-0.1
245,19815,Christian Kirk,JAX,WR,12,0,0,0,0,0,1,2,0,-0.8
