rank,id,player,team,pos,Receptions,ReceivingYards,ReceivingTDs,RouteParticipation,SnapShare,AverageTargetDistance,AirYards,AirYardsPerGame,AirYardsPerReception,Targets,RedZoneTargets,EndzoneTargets,TargetAccuracy,TargetShare,FantasyPointsPerTarget
1,21685,Justin Jefferson,MIN,WR,128,1809,8,96.7,91.5,10.5,1935,113.8,15,184,28,14,7.5,29.2,2.0
2,18082,Tyreek Hill,MIA,WR,119,1710,7,86.5,76.1,12.2,2080,122.3,17,170,11,7,7.8,31.6,2.0
3,16470,Davante Adams,LV,WR,100,1516,14,99.7,94.6,11.8,2130,125.3,21,180,22,18,7.0,32.6,1.9
4,21042,A.J. Brown,PHI,WR,88,1496,11,92.7,86.0,12.1,1772,104.2,20,146,16,12,7.2,29.0,2.0
5,16906,Stefon Diggs,BUF,WR,110,1455,11,87.4,78.2,11.2,1735,102.0,16,155,23,14,7.7,28.4,2.1
6,21679,CeeDee Lamb,DAL,WR,107,1359,9,93.3,87.2,10.2,1594,93.8,15,156,15,6,7.7,28.7,1.9
7,22598,Jaylen Waddle,MIA,WR,75,1356,8,82.6,74.5,12.1,1398,82.2,19,116,8,5,7.8,21.6,2.2
8,21687,DeVonta Smith,PHI,WR,95,1196,7,97.0,91.5,9.9,1345,79.1,14,136,13,7,7.5,27.0,1.9
9,20873,Terry McLaurin,WAS,WR,77,1191,5,98.9,90.0,13.0,1556,91.5,20,120,14,7,7.1,22.6,1.9
10,22587,Amon-Ra St. Brown,DET,WR,106,1161,6,82.5,77.6,6.2,905,56.6,9,146,21,5,8.0,28.1,1.8
11,16765,Amari Cooper,CLE,WR,78,1160,9,93.5,85.0,13.4,1765,103.8,23,132,16,17,6.8,26.1,1.9
12,16597,Mike Evans,TB,WR,77,1124,6,85.6,84.8,13.4,1717,114.5,22,128,14,10,6.9,19.7,1.8
13,19815,Christian Kirk,JAX,WR,84,1108,8,86.9,89.1,9.4,1251,73.6,15,133,22,11,7.4,23.2,1.8
14,23122,Garrett Wilson,NYJ,WR,83,1103,4,87.5,78.8,10.7,1575,92.6,19,147,19,11,6.6,24.9,1.5
15,20875,DK Metcalf,SEA,WR,90,1048,6,94.6,83.3,11.8,1657,97.5,18,141,27,24,7.6,25.5,1.6
16,22564,Ja'Marr Chase,CIN,WR,87,1046,9,100.0,93.1,9.2,1230,102.5,14,134,26,17,8.1,29.3,1.8
17,21690,Tee Higgins,CIN,WR,75,1042,7,80.8,69.4,10.7,1193,70.2,16,111,12,7,8.0,18.6,2.0
18,22565,Chris Olave,NO,WR,72,1042,4,88.1,74.1,14.0,1670,111.3,23,119,11,5,7.2,26.7,1.7
19,16830,Tyler Lockett,SEA,WR,84,1033,9,93.8,79.5,11.1,1300,81.2,15,117,9,10,7.9,22.8,2.0
20,18880,Chris Godwin,TB,WR,104,1023,3,82.5,81.6,5.6,792,52.8,8,142,15,5,7.8,21.8,1.6
21,21747,Brandon Aiyuk,SF,WR,78,1015,8,94.7,91.1,10.1,1137,66.9,15,113,13,3,6.9,23.5,2.0
22,21692,Jerry Jeudy,DEN,WR,67,972,6,84.2,71.3,11.8,1180,78.7,18,100,11,8,7.8,20.8,2.0
23,18883,JuJu Smith-Schuster,KC,WR,78,933,3,76.3,70.2,7.5,763,47.7,10,101,16,4,8.2,17.4,1.8
24,21744,Michael Pittman Jr.,IND,WR,99,925,4,100.0,97.1,6.9,974,60.9,10,141,15,9,8.0,25.6,1.5
25,18914,Mike Williams,LAC,WR,63,895,4,83.0,75.8,12.0,1118,86.0,18,93,14,7,7.2,18.2,1.9
26,19844,DJ Moore,CAR,WR,63,888,7,96.3,96.3,13.2,1564,92.0,25,118,11,10,6.3,27.7,1.7
27,21077,Diontae Johnson,PIT,WR,86,882,0,98.1,89.5,10.6,1555,91.5,18,147,18,10,7.2,27.0,1.2
28,23151,Drake London,ATL,WR,72,866,4,87.0,78.8,10.7,1251,73.6,17,117,15,11,7.5,29.4,1.5
29,21754,Donovan Peoples-Jones,CLE,WR,61,839,3,91.8,88.5,12.2,1175,69.1,19,96,13,9,7.0,19.0,1.7
30,21735,Gabe Davis,BUF,WR,48,836,7,94.2,91.5,15.2,1395,93.0,29,92,14,9,7.2,18.2,1.9
31,19800,Courtland Sutton,DEN,WR,64,829,2,100.0,88.1,12.8,1390,92.7,22,109,14,12,7.0,23.1,1.5
32,18926,Zay Jones,JAX,WR,82,823,5,85.5,85.8,8.2,994,62.1,12,121,16,11,7.9,22.0,1.6
33,18882,Cooper Kupp,LAR,WR,75,812,6,96.3,95.2,7.6,748,83.1,10,98,11,7,7.8,31.0,2.0
34,20876,Jakobi Meyers,NE,WR,67,803,6,81.4,79.2,10.0,947,67.6,14,95,8,5,7.4,22.0,1.9
35,23153,George Pickens,PIT,WR,52,801,4,91.2,76.5,15.6,1323,77.8,25,85,7,7,7.1,15.6,1.9
36,20145,Allen Lazard,GB,WR,60,788,6,89.3,89.7,12.4,1242,82.8,21,100,16,12,7.3,21.1,1.7
37,17986,Tyler Boyd,CIN,WR,59,776,6,84.9,72.7,9.2,760,44.7,13,83,10,5,7.6,13.9,2.1
38,22613,Joshua Palmer,LAC,WR,72,769,3,88.2,81.3,8.5,912,57.0,13,107,8,7,7.0,17.0,1.6
39,15076,Keenan Allen,LAC,WR,66,752,4,78.4,73.7,8.5,757,75.7,11,89,16,8,6.9,22.5,1.8
40,20943,Darius Slayton,NYG,WR,46,724,2,74.9,69.5,12.5,888,59.2,19,71,3,2,7.7,16.8,1.8
41,14986,DeAndre Hopkins,ARI,WR,64,717,3,95.3,87.6,10.4,1000,111.1,16,96,5,4,7.0,29.4,1.6
42,15534,Adam Thielen,MIN,WR,70,716,6,92.7,88.2,9.9,1058,62.2,15,107,22,8,7.9,17.0,1.7
43,21045,Marquise Brown,ARI,WR,67,709,3,95.6,91.0,9.9,1060,88.3,16,107,12,4,6.8,23.7,1.4
44,16568,Brandin Cooks,HOU,WR,57,699,3,85.5,81.6,11.4,1057,81.3,19,93,9,6,6.8,21.0,1.6
45,19023,Mack Hollins,LV,WR,57,690,4,97.6,92.8,13.0,1208,71.0,21,93,10,8,7.4,16.8,1.6
46,19976,Marquez Valdes-Scantling,KC,WR,42,687,2,76.8,66.6,14.6,1185,69.7,28,81,10,7,6.6,13.2,1.5
47,18928,Curtis Samuel,WAS,WR,64,656,4,86.1,71.8,6.5,596,35.0,9,92,11,3,7.4,17.3,1.9
48,21714,K.J. Osborn,MIN,WR,60,650,5,81.3,74.2,8.4,757,44.5,13,90,11,7,7.6,14.3,1.7
49,20932,Deebo Samuel Sr.,SF,WR,56,632,2,83.6,77.7,4.2,396,30.5,7,95,12,3,6.4,25.4,1.8
50,21005,Parris Campbell,IND,WR,63,623,3,92.9,84.8,6.3,576,33.9,9,92,8,1,7.7,15.9,1.6
51,18422,Kalif Raymond,DET,WR,47,616,0,51.6,48.7,9.8,631,37.1,13,64,8,2,7.5,11.4,1.8
52,23395,Christian Watson,GB,WR,41,611,7,56.9,57.3,13.8,896,64.0,22,65,14,5,7.4,15.2,2.5
53,23232,Alec Pierce,IND,WR,41,593,2,76.5,66.1,11.4,881,55.1,21,77,6,4,6.9,14.0,1.4
54,20077,Richie James,NYG,WR,57,569,4,62.1,48.3,6.8,486,30.4,9,71,7,1,8.2,16.0,1.9
55,19080,Noah Brown,DAL,WR,43,555,3,79.2,74.9,11.5,837,52.3,19,73,12,5,7.0,14.1,1.6
56,18030,Chris Moore,HOU,WR,48,548,2,70.3,66.5,8.8,657,41.1,14,75,11,4,6.9,14.3,1.5
57,16775,DeVante Parker,NE,WR,31,539,3,69.2,67.2,15.6,732,56.3,24,47,3,4,7.0,11.9,2.2
58,17218,DeAndre Carter,LAC,WR,46,538,3,64.7,58.4,8.9,576,33.9,13,65,9,5,7.6,9.6,1.7
59,21142,Olamide Zaccheaus,ATL,WR,40,533,3,73.2,70.5,12.1,741,43.6,19,61,6,2,7.1,15.3,1.8
60,14871,Robert Woods,TEN,WR,53,527,2,90.8,78.9,8.1,725,42.6,14,90,14,5,6.8,20.7,1.3
61,23155,Jahan Dotson,WAS,WR,35,523,7,86.6,75.9,13.5,826,68.8,24,61,8,8,6.6,15.9,2.1
62,19816,DJ Chark,DET,WR,30,502,3,81.2,71.9,15.4,799,72.6,27,52,3,4,7.6,13.8,1.9
63,21961,Darnell Mooney,CHI,WR,40,493,2,88.2,82.3,11.7,716,59.7,18,61,7,6,7.2,25.2,1.7
64,22685,Terrace Marshall Jr.,CAR,WR,28,490,1,72.3,75.6,12.6,592,42.3,21,47,6,6,8.5,13.8,1.8
65,23729,Rashid Shaheed,NO,WR,28,488,2,51.2,48.9,12.2,415,34.6,15,34,1,0,7.6,10.4,3.0
66,21756,Nico Collins,HOU,WR,37,481,2,76.6,72.3,11.9,783,78.3,21,66,8,6,6.2,19.1,1.5
67,19017,Josh Reynolds,DET,WR,38,479,3,70.5,65.8,12.1,711,50.8,19,59,13,11,7.7,12.1,1.8
68,21071,Greg Dortch,ARI,WR,52,467,2,50.1,45.0,5.7,364,22.8,7,64,6,1,8.3,10.5,1.8
69,18047,Demarcus Robinson,BAL,WR,48,458,2,66.6,58.6,9.2,689,40.5,14,75,10,8,7.4,16.6,1.4
70,21752,Chase Claypool,CHI,WR,46,451,1,79.7,69.9,11.0,867,57.8,19,79,6,5,6.9,17.9,1.3
71,22592,Elijah Moore,NYJ,WR,37,446,1,78.3,70.0,12.0,794,49.6,21,66,7,4,6.4,11.7,1.3
72,23119,Treylon Burks,TEN,WR,33,444,1,70.7,59.0,12.2,658,59.8,20,54,4,4,7.7,17.6,1.7
73,19318,Kendrick Bourne,NE,WR,35,434,1,51.6,45.7,10.1,486,30.4,14,48,5,1,7.8,9.8,1.8
74,20006,Russell Gage,TB,WR,51,426,5,60.1,57.0,5.5,388,29.8,8,70,18,7,8.2,12.6,1.8
75,23167,Romeo Doubs,GB,WR,42,425,3,62.9,62.5,9.0,602,46.3,14,67,9,1,8.1,15.7,1.5
76,19867,Michael Gallup,DAL,WR,39,424,4,86.9,77.9,11.8,876,62.6,22,74,13,9,7.0,16.7,1.4
77,19043,Isaiah McKenzie,BUF,WR,42,423,4,63.2,54.4,8.5,567,35.4,14,67,13,4,7.3,13.1,1.8
78,13227,Randall Cobb,GB,WR,34,417,1,53.3,44.5,9.6,481,37.0,14,50,7,3,7.9,12.0,1.6
79,20081,Trent Sherfield Sr.,MIA,WR,30,417,2,63.0,56.3,10.2,532,33.2,18,52,8,2,6.9,10.2,1.6
80,21717,Jauan Jennings,SF,WR,35,416,1,56.4,47.9,8.8,491,30.7,14,56,2,3,7.1,12.3,1.5
81,22626,Rondale Moore,ARI,WR,41,414,1,82.7,80.4,5.3,298,37.2,7,56,7,2,8.0,19.5,1.6
82,21721,Devin Duvernay,BAL,WR,37,407,3,79.1,69.6,9.4,459,32.8,12,49,7,7,7.5,13.1,2.4
83,21734,Nick Westbrook-Ikhine,TEN,WR,25,397,3,82.0,74.3,13.8,691,40.6,28,50,7,3,7.0,11.5,1.6
84,21760,Isaiah Hodgins,NYG,WR,37,392,4,65.5,58.5,8.7,410,41.0,11,47,6,3,7.2,15.2,2.1
85,14865,Marquise Goodwin,SEA,WR,27,387,4,55.9,45.8,10.0,412,31.7,15,41,5,5,7.0,9.3,2.2
86,22590,Ben Skowronek,LAR,WR,39,376,0,80.5,83.1,7.1,432,30.9,11,61,3,1,7.1,13.7,1.4
87,21739,Van Jefferson,LAR,WR,24,369,3,89.4,78.6,15.6,704,64.0,29,45,5,3,6.4,15.2,1.8
88,16781,Nelson Agholor,NE,WR,31,362,2,52.8,47.9,12.1,641,40.1,21,53,3,1,6.8,10.9,1.4
89,21957,Quez Watkins,PHI,WR,33,354,3,65.7,58.4,9.1,454,26.7,14,50,4,2,7.5,9.9,1.7
90,16263,Allen Robinson II,LAR,WR,33,339,3,89.7,91.2,10.2,532,53.2,16,52,14,12,6.9,15.2,1.6
91,20924,Hunter Renfrow,LV,WR,36,330,2,81.0,60.8,6.5,324,32.4,9,50,5,1,7.2,15.3,1.6
92,20398,Equanimeous St. Brown,CHI,WR,21,323,1,61.6,58.0,12.5,474,29.6,23,38,4,1,6.9,11.4,1.7
93,19922,Justin Watson,KC,WR,15,315,2,38.5,41.6,19.5,662,38.9,44,34,2,5,6.1,5.6,1.7
94,13291,Julio Jones,TB,WR,24,299,2,47.4,47.0,15.2,654,65.4,27,43,11,5,6.3,9.8,1.6
95,22602,Tutu Atwell,LAR,WR,18,298,1,42.2,39.7,16.9,590,45.4,33,35,2,2,6.5,9.4,1.8
96,20788,Mecole Hardman Jr.,KC,WR,25,297,4,57.6,54.9,9.5,324,40.5,13,34,10,1,7.8,11.0,2.8
97,22609,Shi Smith,CAR,WR,22,296,2,62.6,46.5,8.2,336,19.8,15,41,4,2,6.9,9.6,1.5
98,22623,Rashod Bateman,BAL,WR,15,285,2,64.3,48.5,13.3,374,62.3,25,28,1,2,7.1,17.9,1.9
99,18187,Robbie Chosen,ARI,WR,20,282,1,51.5,47.4,14.3,631,42.1,32,44,3,1,5.9,8.9,1.2
100,19897,Tre'Quan Smith,NO,WR,19,278,1,39.0,48.6,12.6,339,22.6,18,27,2,1,7.7,6.4,1.9
101,21697,Laviska Shenault Jr.,CAR,WR,27,272,1,25.1,27.1,-0.6,-18,-1.4,-1,32,2,0,8.6,10.2,2.3
102,17141,Damiere Byrd,ATL,WR,13,268,2,43.5,35.9,20.3,467,33.4,36,23,0,1,7.0,7.1,2.2
103,16790,Phillip Dorsett,HOU,WR,20,257,1,52.5,49.6,10.9,435,29.0,22,40,2,2,6.2,8.4,1.3
104,23168,Skyy Moore,KC,WR,22,250,0,23.9,28.5,8.5,282,17.6,13,33,1,1,6.8,5.6,1.3
105,23469,Tyquan Thornton,NE,WR,22,247,2,67.5,64.3,13.9,628,48.3,29,45,5,4,5.9,11.3,1.5
