rank,id,player,team,pos,Receptions,ReceivingYards,ReceivingTDs,RouteParticipation,SnapShare,AverageTargetDistance,AirYards,AirYardsPerGame,AirYardsPerReception,Targets,RedZoneTargets,EndzoneTargets,TargetAccuracy,TargetShare,FantasyPointsPerTarget
106,19854,Dante Pettis,CHI,WR,19,245,3,59.9,49.7,9.1,373,21.9,20,41,5,5,7.0,11.4,1.6
107,19961,Ray-Ray McCloud,SF,WR,14,243,1,31.2,26.2,11.9,298,17.5,21,25,1,2,6.3,5.2,2.3
108,21263,Trenton Irwin,CIN,WR,15,231,4,50.4,46.3,11.2,258,28.7,17,23,5,4,7.6,7.0,2.7
109,23170,Wan'Dale Robinson,NYG,WR,23,227,1,65.9,55.2,6.2,193,32.2,8,31,2,0,7.1,19.6,1.7
110,23148,David Bell,CLE,WR,24,214,0,54.3,47.7,7.3,256,16.0,11,35,2,0,7.3,7.3,1.3
111,21349,Ashton Dulin,IND,WR,15,207,1,27.1,29.3,11.9,263,23.9,18,22,4,1,7.4,5.9,1.9
112,20679,KhaDarel Hodge,ATL,WR,13,202,1,15.1,18.0,13.8,277,17.3,21,20,0,2,8.4,5.4,2.1
113,19044,Jamal Agnew,JAX,WR,23,187,3,13.2,13.5,6.1,184,12.3,8,30,6,2,8.0,6.0,2.3
114,21741,Denzel Mims,NYJ,WR,11,186,0,47.2,46.9,12.6,314,34.9,29,25,1,0,6.9,8.1,1.2
115,21138,Scotty Miller,TB,WR,23,185,0,26.0,22.9,13.3,531,35.4,23,40,5,1,7.1,6.2,1.1
116,23368,Jalen Nailor,MIN,WR,9,179,1,4.4,6.3,11.6,151,10.1,17,13,1,0,6.7,2.4,2.5
117,22614,Kadarius Toney,KC,WR,16,171,2,21.3,22.6,4.0,79,8.8,5,20,6,0,8.0,6.4,2.9
118,17960,Michael Thomas,NO,WR,16,171,3,95.7,77.5,10.5,232,77.3,15,22,3,3,7.5,20.0,2.3
119,21759,KJ Hamler,DEN,WR,7,165,0,57.2,48.2,26.3,368,52.6,53,14,0,1,5.7,6.0,1.8
120,23227,Khalil Shakir,BUF,WR,10,161,1,22.9,28.0,9.8,197,14.1,20,20,1,3,6.9,4.4,1.7
121,21750,Marquez Callaway,NO,WR,16,158,1,42.5,50.5,11.4,364,26.0,23,32,4,4,7.0,7.8,1.2
122,20487,Brandon Powell,LAR,WR,24,156,0,23.8,28.6,1.6,53,3.1,2,32,6,1,7.6,6.2,1.5
123,17961,Sterling Shepard,NYG,WR,13,154,1,87.0,80.5,9.5,229,76.3,18,24,1,0,7.2,28.9,1.4
124,19172,Zach Pascal,PHI,WR,15,150,1,22.4,26.2,5.4,102,6.4,7,19,2,0,8.0,4.0,1.9
125,20038,Braxton Berrios,NYJ,WR,18,145,0,27.0,26.3,7.0,224,13.2,12,32,5,2,7.3,5.4,1.8
126,22686,Dyami Brown,WAS,WR,5,143,2,14.5,14.0,24.6,345,23.0,69,14,0,1,5.5,3.0,2.3
127,19514,Keelan Cole Sr.,LV,WR,10,141,1,47.1,39.8,17.8,356,25.4,36,20,3,3,6.8,4.4,1.5
128,21556,Tom Kennedy,DET,WR,8,141,0,54.4,48.6,8.6,137,19.6,17,16,1,1,7.3,7.9,1.4
129,20013,Cedrick Wilson Jr.,MIA,WR,12,136,0,26.1,26.6,10.9,186,12.4,16,17,0,1,9.0,3.6,1.6
130,20150,Byron Pringle,CHI,WR,10,135,2,50.0,44.0,17.9,286,26.0,29,16,1,3,6.2,7.3,2.2
131,21078,Jeff Smith,NYJ,WR,8,134,0,17.4,18.9,12.8,141,12.8,18,11,1,1,7.7,3.1,1.9
132,20792,N'Keal Harry,CHI,WR,7,116,1,38.5,39.6,14.0,126,18.0,18,9,1,1,7.8,5.4,2.7
133,23481,Velus Jones Jr.,CHI,WR,7,107,1,20.4,22.2,16.9,236,19.7,34,14,2,0,6.4,5.2,2.4
134,20939,David Sills,NYG,WR,11,106,0,38.2,43.9,8.0,136,15.1,12,17,2,0,7.6,7.3,1.3
135,21686,Jalen Reagor,MIN,WR,8,104,1,6.7,6.7,14.1,183,10.8,23,13,1,0,6.7,2.1,2.1
136,21400,Steven Sims,PIT,WR,14,104,0,37.4,35.2,4.5,104,8.7,7,23,1,1,6.6,6.1,1.4
137,19755,River Cracraft,MIA,WR,9,102,2,19.1,22.3,8.8,124,11.3,14,14,3,3,7.1,3.7,2.2
138,20529,Cam Sims,WAS,WR,8,89,0,28.7,26.9,12.8,230,13.5,29,18,2,1,5.7,3.4,0.9
139,23099,Michael Bandy,LAC,WR,10,89,0,31.9,28.5,8.3,175,17.5,18,21,1,0,6.2,5.0,0.9
140,23634,Samori Toure,GB,WR,5,82,1,22.6,16.6,17.4,174,17.4,35,10,2,1,6.8,3.3,1.9
141,23463,Kyle Philips,TEN,WR,8,78,0,41.7,24.5,7.7,100,25.0,13,13,0,0,8.1,13.4,0.9
142,23642,Jalen Virgil,DEN,WR,2,75,1,14.8,13.0,14.6,73,8.1,37,5,0,1,5.5,1.8,2.7
143,21960,Freddie Swain,DEN,WR,4,74,0,53.1,43.8,8.8,53,13.2,13,6,0,0,6.7,5.7,1.9
144,21448,Jalen Guyton,LAC,WR,2,64,0,14.2,14.6,28.8,115,38.3,58,4,0,0,6.9,3.4,2.1
145,19064,Trent Taylor,CIN,WR,6,62,0,11.4,12.7,4.5,45,2.8,8,10,0,0,7.5,1.7,1.2
146,21723,James Proche II,BAL,WR,8,62,0,27.7,19.4,9.6,163,10.9,20,17,2,1,6.6,4.3,0.8
147,16866,Jamison Crowder,BUF,WR,6,60,0,33.5,30.8,9.2,119,29.8,20,13,1,0,6.7,8.4,0.9
148,22620,Mike Strachan,IND,WR,3,59,0,15.5,16.1,14.6,131,11.9,44,9,4,2,5.3,2.3,1.0
149,22569,Dee Eskridge,SEA,WR,7,58,0,29.3,28.8,5.1,66,6.6,9,13,2,0,7.5,4.2,1.1
150,21601,Gunner Olszewski,PIT,WR,5,53,0,14.2,20.1,7.8,55,3.4,11,7,1,0,6.4,1.4,1.7
151,22588,Anthony Schwartz,CLE,WR,4,51,0,13.7,12.1,15.1,151,13.7,38,10,0,0,6.2,2.9,1.9
152,16837,Chris Conley,TEN,WR,4,46,0,32.0,28.7,12.6,88,9.8,22,7,0,0,6.4,2.9,1.2
153,23468,Michael Woods II,CLE,WR,5,45,0,25.0,21.9,14.4,130,13.0,26,9,2,2,5.5,3.1,1.0
154,22234,Andre Baccellia,ARI,WR,7,45,0,13.3,13.8,4.3,43,5.4,6,10,1,1,4.0,3.3,1.1
155,23763,Brandon Johnson,DEN,WR,6,42,1,58.6,47.6,13.4,188,26.9,31,14,2,3,5.7,6.7,1.0
156,17914,Laquon Treadwell,SEA,WR,6,42,0,37.6,40.4,3.8,38,7.6,6,10,2,0,6.8,5.7,1.0
157,23234,Jameson Williams,DET,WR,1,41,1,15.2,18.3,16.6,149,24.8,149,9,0,1,5.3,4.3,1.7
158,22622,Racey McMath,TEN,WR,2,40,0,22.6,16.8,23.2,186,37.2,93,8,1,2,4.7,5.4,0.8
159,22572,Dax Milne,WAS,WR,6,37,1,6.5,8.1,5.4,38,2.5,6,7,3,0,7.1,1.5,2.2
160,22604,Tylan Wallace,BAL,WR,4,33,0,12.4,10.9,13.4,94,10.4,24,7,0,0,7.5,2.6,1.0
161,23746,Deven Thompkins,TB,WR,5,32,0,15.5,20.3,7.9,79,15.8,16,10,0,1,7.8,4.6,1.1
162,22892,Tim Jones,JAX,WR,3,30,0,8.4,13.4,1.5,6,0.3,2,4,0,0,8.8,0.7,1.5
163,21737,Tyrie Cleveland,DEN,WR,2,28,0,16.7,15.8,16.0,112,18.7,56,7,0,2,5.0,3.2,0.7
164,22596,Jaelon Darden,CLE,WR,2,26,0,5.8,5.2,5.5,11,0.8,6,2,0,0,10.0,0.4,2.4
165,23624,Dareke Young,SEA,WR,2,24,0,7.0,13.1,0.5,1,0.1,1,2,0,0,8.8,0.5,2.2
166,22645,Simi Fehoko,DAL,WR,3,24,0,12.9,11.0,13.0,52,10.4,17,4,0,0,7.5,2.8,1.4
167,20820,Andy Isabella,BAL,WR,2,21,0,25.9,21.8,13.6,68,13.6,34,5,0,0,5.5,3.2,0.8
168,22567,Cade Johnson,SEA,WR,2,21,0,29.8,25.6,9.5,38,12.7,19,4,0,0,6.9,4.5,1.0
169,20816,Lil'Jordan Humphrey,NE,WR,2,20,0,22.0,34.7,6.8,27,4.5,14,4,0,0,6.9,2.4,1.0
170,20071,Keith Kirkwood,NO,WR,2,18,0,51.0,52.5,3.5,14,3.5,7,4,0,0,8.8,4.3,0.9
171,23441,Braylon Sanders,MIA,WR,2,17,0,20.6,19.3,14.0,42,14.0,21,3,0,0,7.5,3.6,0.6
172,21115,Juwann Winfree,GB,WR,1,17,0,19.3,16.2,13.0,52,17.3,52,4,0,0,5.6,3.5,0.7
173,23725,Dennis Houston,DAL,WR,2,16,0,65.8,46.7,14.3,86,43.0,43,6,0,1,4.6,8.4,0.6
174,21729,Quintez Cephus,DET,WR,2,15,0,11.9,14.0,4.7,14,3.5,7,3,0,0,8.3,2.0,1.2
175,16855,Ty Montgomery II,NE,WR,3,15,1,36.7,34.0,2.2,9,9.0,3,4,1,0,,13.3,2.6
176,22595,Ihmir Smith-Marsette,KC,WR,1,15,0,11.5,12.9,7.0,28,3.5,28,4,1,0,5.6,2.2,0.1
177,22594,Frank Darby,ATL,WR,1,15,0,13.2,16.6,15.0,15,3.0,15,1,0,0,10.0,0.8,2.5
178,21295,Nsimba Webster,CHI,WR,2,14,0,8.0,5.1,7.3,22,11.0,11,3,0,0,9.2,6.5,1.1
179,21163,Deonte Harty,NO,WR,2,13,0,11.8,10.7,3.0,6,1.5,3,2,0,0,10.0,1.6,0.7
180,22973,Austin Trammell,LAR,WR,2,13,0,22.5,15.6,7.5,30,6.0,15,4,0,0,3.8,3.2,0.8
181,22597,Jalen Tolbert,DAL,WR,2,12,0,15.9,16.5,15.0,45,5.6,23,3,1,0,8.3,1.2,1.1
182,21037,Miles Boykin,PIT,WR,2,11,0,3.7,11.7,15.0,45,2.8,23,3,0,0,6.7,0.6,1.0
183,23573,Danny Gray,SF,WR,1,10,0,6.8,7.4,21.6,151,13.7,151,7,0,1,4.3,2.2,0.4
184,24068,KaVontae Turpin,DAL,WR,1,9,0,2.9,4.2,1.0,2,0.1,2,2,0,0,5.0,0.4,-0.2
185,20838,Tyron Billy-Johnson,HOU,WR,1,8,0,12.2,13.0,-2.0,-2,-0.5,-2,1,0,0,10.0,0.9,1.8
186,24073,Maurice Alexander,DET,WR,1,7,0,2.9,1.6,2.0,2,0.5,2,1,0,0,10.0,0.8,1.7
187,22635,Jalen Camp,HOU,WR,1,7,0,10.2,15.0,7.0,7,3.5,7,1,0,0,7.5,2.3,1.7
188,22683,Jacob Harris,LAR,WR,1,6,0,0.0,0.0,0.0,0,0.0,0,1,0,0,0.0,0.5,1.6
189,23325,Erik Ezukanma,MIA,WR,1,3,0,6.2,15.9,-4.0,-4,-4.0,-4,1,0,0,10.0,3.7,1.3
190,21964,Cody White,PIT,WR,1,2,0,7.1,18.2,0.0,0,0.0,0,1,0,0,10.0,3.7,1.2
191,23604,Montrell Washington,DEN,WR,4,2,0,8.2,7.5,17.1,154,10.3,39,9,0,1,7.2,1.9,0.6
192,7651,Matthew Slater,NE,WR,0,0,0,0.2,0.6,0.0,0,0.0,,0,0,0,,0.0,0.0
193,18197,Alex Erickson,WAS,WR,0,0,0,1.6,0.7,0.0,0,0.0,,0,0,0,,0.0,0.0
194,23966,Lance McCutcheon,LAR,WR,0,0,0,7.6,9.7,14.5,58,6.4,,4,1,0,5.6,1.5,0.0
195,20886,Stanley Morgan Jr.,CIN,WR,0,0,0,3.0,7.7,0.0,0,0.0,,1,1,0,7.5,0.2,0.0
196,23302,Britain Covey,PHI,WR,0,0,0,0.7,1.5,0.0,0,0.0,,0,0,0,,0.0,0.0
197,21675,Tyler Johnson,HOU,WR,0,0,0,22.0,24.8,0.0,0,0.0,,0,0,0,,0.0,0.0
198,21743,Lynn Bowden Jr.,NE,WR,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,,0.0,0.0
199,21368,Trinity Benson,DET,WR,0,0,0,11.5,18.6,0.0,0,0.0,,0,0,0,,0.0,0.0
200,22345,Dan Chisena,MIN,WR,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,,0.0,0.0
201,22644,DJ Turner,LV,WR,0,0,0,2.3,3.7,-3.0,-3,-0.3,,1,1,0,7.5,0.3,2.6
202,22568,Cornell Powell,KC,WR,0,0,0,1.9,1.1,0.0,0,0.0,,0,0,0,,0.0,0.0
203,16141,Willie Snead IV,SF,WR,0,0,0,13.9,13.6,0.0,0,0.0,,0,0,0,,0.0,0.0
204,22591,Dez Fitzpatrick,TEN,WR,0,0,0,8.0,6.5,0.0,0,0.0,,0,0,0,,0.0,0.0
205,22339,Kirk Merritt,NO,WR,,,,,,,,,,,,,,,
206,21722,Binjimen Victor,BAL,WR,,,,,,,,,,,,,,,
207,21959,Dezmon Patmon,IND,WR,,,,,,,,,,,,,,,
208,22213,Kendall Hinton,DEN,WR,,,,,,,,,,,,,,,
209,21178,Jason Moore,LAC,WR,,,,,,,,,,,,,,,
210,22616,Kaylon Geiger,TB,WR,,,,,,,,,,,,,,,
211,21736,Bryan Edwards,ATL,WR,,,,,,,,,,,,,,,
212,20988,Preston Williams,CAR,WR,,,,,,,,,,,,,,,
213,16020,Jarvis Landry,NO,WR,,,,,,,,,,,,,,,
214,16003,Sammy Watkins,BAL,WR,,,,,,,,,,,,,,,
215,23909,Kwamie Lassiter II,CIN,WR,,,,,,,,,,,,,,,
216,20793,Penny Hart,SEA,WR,,,,,,,,,,,,,,,
217,20684,Malik Turner,SF,WR,,,,,,,,,,,,,,,
218,23978,Raleigh Webb,NE,WR,,,,,,,,,,,,,,,
