rank,id,player,team,pos,gp,third_pass_yds,third_pass_td,third_pass_int,third_rush_yds,third_rush_td,third_rec,third_rec_yds,third_rec_td,third_def_sck,third_def_int,third_fum_forced,third_fum_recovered,third_fpts_ppr_per_gp,third_fpts_ppr
1,21685,Justin Jefferson,MIN,WR,17,23,0,0,10,0,29,476,5,0,0,0,0,6.4,108.5
2,18082,Tyreek Hill,MIA,WR,17,0,0,0,0,0,30,458,4,0,0,0,0,5.9,99.8
3,16470,Davante Adams,LV,WR,17,0,0,0,-1,0,27,479,3,0,0,0,0,5.5,92.8
4,16765,Amari Cooper,CLE,WR,17,0,0,0,0,0,28,473,2,0,0,0,0,5.1,87.3
5,21679,CeeDee Lamb,DAL,WR,17,0,0,0,14,0,26,397,3,0,0,0,0,5.0,85.1
6,22565,Chris Olave,NO,WR,15,0,0,0,0,0,26,371,3,0,0,0,0,5.4,81.1
7,22598,Jaylen Waddle,MIA,WR,17,0,0,0,0,0,26,429,2,0,0,0,0,4.8,80.9
8,22587,Amon-Ra St. Brown,DET,WR,16,0,0,0,16,0,29,373,2,0,0,0,0,5.0,79.9
9,23122,Garrett Wilson,NYJ,WR,17,0,0,0,0,0,26,307,3,0,0,0,0,4.4,74.7
10,21042,A.J. Brown,PHI,WR,17,0,0,0,0,0,21,370,3,0,0,0,0,4.4,74.0
11,23153,George Pickens,PIT,WR,17,0,0,0,1,1,19,335,2,0,0,0,0,4.2,70.6
12,18883,JuJu Smith-Schuster,KC,WR,16,0,0,0,0,0,20,342,3,0,0,0,0,4.4,70.2
13,20876,Jakobi Meyers,NE,WR,14,0,0,0,-18,0,22,329,2,0,0,0,0,4.5,63.1
14,20875,DK Metcalf,SEA,WR,17,0,0,0,0,0,19,249,3,0,0,0,0,3.6,61.9
15,21687,DeVonta Smith,PHI,WR,17,0,0,0,0,0,21,316,1,0,0,0,0,3.4,58.6
16,16830,Tyler Lockett,SEA,WR,16,0,0,0,0,0,19,211,3,0,0,0,0,3.6,58.1
17,17986,Tyler Boyd,CIN,WR,16,23,0,0,0,0,18,203,3,0,0,0,0,3.6,57.2
18,18928,Curtis Samuel,WAS,WR,17,0,0,0,5,0,22,226,2,0,0,0,0,3.4,57.1
19,22564,Ja'Marr Chase,CIN,WR,12,0,0,0,0,0,24,222,2,0,0,0,0,4.7,56.2
