rank,id,player,team,pos,gp,redzone10_pass_yds,redzone10_pass_td,redzone10_pass_int,redzone10_rush_yds,redzone10_rush_td,redzone10_rec,redzone10_rec_yds,redzone10_rec_td,redzone10_fpts_ppr
1,18882,Cooper Kupp,LAR,WR,17,0,0,0,0,0,11,61,9,73.1
2,16597,Mike Evans,TB,WR,16,0,0,0,0,0,9,35,8,60.5
3,16470,Davante Adams,GB,WR,16,0,0,0,0,0,10,31,7,55.1
4,22598,Jaylen Waddle,MIA,WR,16,0,0,0,1,1,7,28,6,51.9
5,15076,Keenan Allen,LAC,WR,16,0,0,0,0,0,8,44,6,50.4
6,20924,Hunter Renfrow,LV,WR,17,0,0,0,0,0,8,42,6,48.2
7,15534,Adam Thielen,MIN,WR,13,0,0,0,0,0,8,35,6,47.5
8,18082,Tyreek Hill,KC,WR,17,0,0,0,0,0,6,24,6,44.4
9,16906,Stefon Diggs,BUF,WR,17,0,0,0,0,0,8,46,5,42.6
10,21077,Diontae Johnson,PIT,WR,16,0,0,0,0,0,6,31,4,35.1
11,19844,DJ Moore,CAR,WR,17,0,0,0,0,0,5,35,4,32.5
12,21690,Tee Higgins,CIN,WR,14,0,0,0,0,0,4,20,4,32.0
13,16765,Amari Cooper,DAL,WR,15,0,0,0,0,0,5,26,4,31.6
14,20038,Braxton Berrios,NYJ,WR,16,0,0,0,3,2,4,30,2,31.3
15,14986,DeAndre Hopkins,ARI,WR,10,0,0,0,0,0,4,24,4,30.4
16,16389,Odell Beckham Jr.,LAR,WR,14,0,0,0,0,0,4,17,4,29.7
17,13227,Randall Cobb,GB,WR,12,0,0,0,0,0,4,16,4,29.6
18,20932,Deebo Samuel Sr.,SF,WR,16,0,0,0,21,3,2,15,1,29.6
19,20145,Allen Lazard,GB,WR,15,0,0,0,0,0,4,14,4,29.4
20,18880,Chris Godwin,TB,WR,14,0,0,0,2,1,5,23,2,25.5
21,21747,Brandon Aiyuk,SF,WR,17,0,0,0,0,0,3,16,3,24.6
22,21685,Justin Jefferson,MIN,WR,17,0,0,0,0,0,4,22,3,24.2
23,21734,Nick Westbrook-Ikhine,TEN,WR,16,0,0,0,0,0,4,15,3,23.5
24,21735,Gabe Davis,BUF,WR,16,0,0,0,0,0,4,13,3,23.3
25,20684,Malik Turner,DAL,WR,14,0,0,0,0,0,3,18,3,22.8
26,18187,Robbie Chosen,CAR,WR,17,0,0,0,3,0,3,14,3,22.7
27,22564,Ja'Marr Chase,CIN,WR,17,0,0,0,0,0,3,17,3,22.7
28,20875,DK Metcalf,SEA,WR,17,0,0,0,0,0,3,16,3,22.6
29,19023,Mack Hollins,MIA,WR,17,0,0,0,0,0,3,14,3,22.4
