rank,id,player,team,pos,gp,redzone_pass_yds,redzone_pass_td,redzone_pass_int,redzone_rush_yds,redzone_rush_td,redzone_rec,redzone_rec_yds,redzone_rec_td,redzone_fpts_ppr
64,19800,Courtland Sutton,DEN,WR,15,0,0,0,0,0,5,50,2,22.0
65,19023,Mack Hollins,LV,WR,17,0,0,0,0,0,6,39,2,21.9
66,14865,Marquise Goodwin,SEA,WR,13,0,0,0,0,0,4,47,2,20.7
67,18030,Chris Moore,HOU,WR,16,0,0,0,0,0,5,33,2,20.3
68,22613,Joshua Palmer,LAC,WR,16,0,0,0,0,0,4,20,2,20.0
69,18047,Demarcus Robinson,BAL,WR,17,0,0,0,0,0,4,28,2,18.8
70,21071,Greg Dortch,ARI,WR,16,0,0,0,12,0,4,15,2,18.7
71,20924,Hunter Renfrow,LV,WR,10,0,0,0,0,0,3,34,2,18.4
72,21739,Van Jefferson,LAR,WR,11,0,0,0,0,0,4,20,2,18.0
73,19976,Marquez Valdes-Scantling,KC,WR,17,0,0,0,0,0,3,29,2,17.9
74,21734,Nick Westbrook-Ikhine,TEN,WR,17,0,0,0,0,0,3,24,2,17.4
75,21756,Nico Collins,HOU,WR,10,0,0,0,0,0,3,22,2,17.2
76,22609,Shi Smith,CAR,WR,17,0,0,0,0,0,2,32,2,17.2
77,20081,Trent Sherfield Sr.,MIA,WR,17,0,0,0,0,0,6,48,1,16.8
78,21263,Trenton Irwin,CIN,WR,9,0,0,0,0,0,3,18,2,16.8
79,21005,Parris Campbell,IND,WR,17,0,0,0,1,0,3,16,2,16.7
80,21077,Diontae Johnson,PIT,WR,17,0,0,0,5,0,7,48,0,16.3
81,13291,Julio Jones,TB,WR,10,0,0,0,0,0,5,51,1,16.1
82,19755,River Cracraft,MIA,WR,11,0,0,0,0,0,2,13,2,15.3
83,21045,Marquise Brown,ARI,WR,12,0,0,0,0,0,6,29,1,14.9
84,21752,Chase Claypool,CHI,WR,15,1,1,0,0,0,2,10,1,13.0
85,21349,Ashton Dulin,IND,WR,12,0,0,0,0,0,3,34,1,12.4
86,23634,Samori Toure,GB,WR,11,0,0,0,0,0,2,39,1,11.9
87,19318,Kendrick Bourne,NE,WR,16,0,0,0,-8,0,4,24,1,11.6
88,13227,Randall Cobb,GB,WR,13,0,0,0,0,0,3,25,1,11.5
89,16020,Jarvis Landry,NO,WR,9,0,0,0,0,0,2,15,1,11.5
90,22572,Dax Milne,WAS,WR,15,0,0,0,0,0,3,24,1,11.4
91,20398,Equanimeous St. Brown,CHI,WR,16,0,0,0,0,0,2,32,1,11.2
92,14986,DeAndre Hopkins,ARI,WR,9,0,0,0,0,0,3,18,1,10.8
93,20487,Brandon Powell,LAR,WR,17,0,0,0,20,0,5,33,0,10.3
94,16775,DeVante Parker,NE,WR,13,0,0,0,0,0,3,12,1,10.2
95,18422,Kalif Raymond,DET,WR,17,0,0,0,8,0,5,39,0,9.7
96,21750,Marquez Callaway,NO,WR,14,0,0,0,0,0,2,16,1,9.6
97,12845,A.J. Green,ARI,WR,15,0,0,0,0,0,1,6,1,9.6
98,18879,Corey Davis,NYJ,WR,13,0,0,0,0,0,2,10,1,9.0
99,19816,DJ Chark,DET,WR,11,0,0,0,0,0,2,10,1,9.0
100,19897,Tre'Quan Smith,NO,WR,15,0,0,0,0,0,1,18,1,8.8
101,19854,Dante Pettis,CHI,WR,17,0,0,0,0,0,2,8,1,8.8
102,20792,N'Keal Harry,CHI,WR,7,0,0,0,0,0,1,17,1,8.7
103,23481,Velus Jones Jr.,CHI,WR,12,0,0,0,8,0,1,9,1,8.7
104,21717,Jauan Jennings,SF,WR,16,0,0,0,0,0,2,6,1,8.6
105,23232,Alec Pierce,IND,WR,16,0,0,0,0,0,1,15,1,8.5
106,22602,Tutu Atwell,LAR,WR,13,0,0,0,12,1,1,3,0,8.5
107,19961,Ray-Ray McCloud,SF,WR,17,0,0,0,0,0,1,8,1,7.8
108,22590,Ben Skowronek,LAR,WR,14,0,0,0,17,1,0,0,0,7.7
109,21686,Jalen Reagor,MIN,WR,17,0,0,0,5,0,1,1,1,7.6
110,16855,Ty Montgomery II,NE,WR,1,0,0,0,0,0,1,6,1,7.6
111,23170,Wan'Dale Robinson,NYG,WR,6,0,0,0,0,0,1,5,1,7.5
112,20150,Byron Pringle,CHI,WR,11,0,0,0,0,0,1,4,1,7.4
113,19922,Justin Watson,KC,WR,17,0,0,0,0,0,1,4,1,7.4
114,23763,Brandon Johnson,DEN,WR,7,0,0,0,0,0,1,1,1,7.1
115,17218,DeAndre Carter,LAC,WR,17,0,0,0,0,0,4,19,0,5.9
116,22213,Kendall Hinton,DEN,WR,12,0,0,0,0,0,3,22,0,5.2
117,16781,Nelson Agholor,NE,WR,16,0,0,0,0,0,2,24,0,4.4
118,21138,Scotty Miller,TB,WR,15,0,0,0,0,0,3,14,0,4.4
119,22592,Elijah Moore,NYJ,WR,16,0,0,0,0,0,3,12,0,4.2
120,23119,Treylon Burks,TEN,WR,11,0,0,0,0,0,2,19,0,3.9
121,20939,David Sills,NYG,WR,9,0,0,0,0,0,2,18,0,3.8
122,20943,Darius Slayton,NYG,WR,16,0,0,0,0,0,2,16,0,3.6
123,16003,Sammy Watkins,BAL,WR,12,0,0,0,0,0,2,13,0,3.3
124,23148,David Bell,CLE,WR,16,0,0,0,0,0,2,12,0,3.2
125,21697,Laviska Shenault Jr.,CAR,WR,13,0,0,0,0,0,2,11,0,3.1
126,17914,Laquon Treadwell,SEA,WR,6,0,0,0,0,0,2,6,0,2.6
127,19172,Zach Pascal,PHI,WR,17,0,0,0,0,0,2,6,0,2.6
128,21736,Bryan Edwards,ATL,WR,7,0,0,0,0,0,2,5,0,2.5
129,21957,Quez Watkins,PHI,WR,17,0,0,0,4,0,2,1,0,2.5
130,20529,Cam Sims,WAS,WR,17,0,0,0,0,0,1,12,0,2.2
131,21741,Denzel Mims,NYJ,WR,10,0,0,0,0,0,1,12,0,2.2
132,22626,Rondale Moore,ARI,WR,8,0,0,0,-4,0,2,4,0,2.0
133,23227,Khalil Shakir,BUF,WR,14,0,0,0,0,0,0,0,0,2.0
134,20679,KhaDarel Hodge,ATL,WR,17,0,0,0,0,0,0,0,0,2.0
135,18187,Robbie Chosen,ARI,WR,16,0,0,0,0,0,1,9,0,1.9
136,23729,Rashid Shaheed,NO,WR,12,0,0,0,0,0,1,8,0,1.8
137,21601,Gunner Olszewski,PIT,WR,16,0,0,0,0,0,1,8,0,1.8
138,21723,James Proche II,BAL,WR,15,0,0,0,0,0,1,6,0,1.6
139,23368,Jalen Nailor,MIN,WR,15,0,0,0,0,0,1,5,0,1.5
140,23168,Skyy Moore,KC,WR,16,0,0,0,3,0,1,2,0,1.5
141,19280,Cody Hollister,TEN,WR,11,0,0,0,0,0,1,5,0,1.5
142,23099,Michael Bandy,LAC,WR,10,0,0,0,0,0,1,4,0,1.4
143,22597,Jalen Tolbert,DAL,WR,8,0,0,0,0,0,1,4,0,1.4
144,22623,Rashod Bateman,BAL,WR,6,0,0,0,0,0,1,4,0,1.4
145,23468,Michael Woods II,CLE,WR,11,0,0,0,0,0,1,4,0,1.4
146,22569,Dee Eskridge,SEA,WR,10,0,0,0,0,0,1,3,0,1.3
147,21759,KJ Hamler,DEN,WR,7,0,0,0,9,0,0,0,0,0.9
148,19064,Trent Taylor,CIN,WR,16,0,0,0,6,0,0,0,0,0.6
149,22644,DJ Turner,LV,WR,9,0,0,0,6,0,0,0,0,0.6
150,24068,KaVontae Turpin,DAL,WR,17,0,0,0,3,0,0,0,0,0.3
151,18039,Pharoh Cooper,ARI,WR,5,0,0,0,2,0,0,0,0,0.2
152,23604,Montrell Washington,DEN,WR,15,0,0,0,1,0,0,0,0,0.1
153,20820,Andy Isabella,BAL,WR,5,0,0,0,1,0,0,0,0,0.1
154,16640,John Brown,BUF,WR,3,0,0,0,0,0,0,0,0,0.0
155,21743,Lynn Bowden Jr.,NE,WR,1,0,0,0,0,0,0,0,0,0.0
156,21737,Tyrie Cleveland,DEN,WR,6,0,0,0,0,0,0,0,0,0.0
157,21959,Dezmon Patmon,IND,WR,1,0,0,0,0,0,0,0,0,0.0
158,21960,Freddie Swain,DEN,WR,4,0,0,0,0,0,0,0,0,0.0
159,21964,Cody White,PIT,WR,1,0,0,0,0,0,0,0,0,0.0
160,22594,Frank Darby,ATL,WR,5,0,0,0,0,0,0,0,0,0.0
161,22595,Ihmir Smith-Marsette,KC,WR,8,0,0,0,0,0,0,0,0,0.0
162,22596,Jaelon Darden,CLE,WR,14,0,0,0,0,0,0,0,0,0.0
163,22600,Johnny Johnson III,HOU,WR,1,0,0,0,0,0,0,0,0,0.0
164,22604,Tylan Wallace,BAL,WR,9,0,0,0,0,0,0,0,0,0.0
165,23234,Jameson Williams,DET,WR,6,0,0,0,0,0,0,0,0,0.0
166,23292,Stanley Berryhill,DET,WR,4,0,0,0,0,0,0,0,0,0.0
167,23302,Britain Covey,PHI,WR,17,0,0,0,0,0,0,0,0,0.0
168,23325,Erik Ezukanma,MIA,WR,1,0,0,0,0,0,0,0,0,0.0
169,23441,Braylon Sanders,MIA,WR,3,0,0,0,0,0,0,0,0,0.0
170,23463,Kyle Philips,TEN,WR,4,0,0,0,0,0,0,0,0,0.0
171,23573,Danny Gray,SF,WR,13,0,0,0,0,0,0,0,0,0.0
172,23624,Dareke Young,SEA,WR,13,0,0,0,0,0,0,0,0,0.0
173,23725,Dennis Houston,DAL,WR,2,0,0,0,0,0,0,0,0,0.0
174,23746,Deven Thompkins,TB,WR,5,0,0,0,0,0,0,0,0,0.0
175,23838,Daylen Baldwin,CLE,WR,1,0,0,0,0,0,0,0,0,0.0
176,11565,Andre Roberts,CAR,WR,3,0,0,0,0,0,0,0,0,0.0
177,14141,Cole Beasley,BUF,WR,4,0,0,0,0,0,0,0,0,0.0
178,14587,Josh Gordon,TEN,WR,2,0,0,0,0,0,0,0,0,0.0
179,21556,Tom Kennedy,DET,WR,7,0,0,0,0,0,0,0,0,0.0
180,16141,Willie Snead IV,SF,WR,4,0,0,0,0,0,0,0,0,0.0
181,19431,Tanner Gentry,BUF,WR,3,0,0,0,0,0,0,0,0,0.0
182,16837,Chris Conley,TEN,WR,9,0,0,0,0,0,0,0,0,0.0
183,14005,T.Y. Hilton,DAL,WR,3,0,0,0,0,0,0,0,0,0.0
184,17141,Damiere Byrd,ATL,WR,14,0,0,0,0,0,0,0,0,0.0
185,3943,DeSean Jackson,BAL,WR,7,0,0,0,0,0,0,0,0,0.0
186,7651,Matthew Slater,NE,WR,17,0,0,0,0,0,0,0,0,0.0
187,18361,Chester Rogers,CLE,WR,3,0,0,0,0,0,0,0,0,0.0
188,21178,Jason Moore,LAC,WR,6,0,0,0,0,0,0,0,0,0.0
189,16790,Phillip Dorsett,HOU,WR,15,0,0,0,0,0,0,0,0,0.0
190,21163,Deonte Harty,NO,WR,4,0,0,0,0,0,0,0,0,0.0
191,18977,Kenny Golladay,NYG,WR,12,0,0,0,0,0,0,0,0,0.0
192,17289,Jake Kumerow,BUF,WR,6,0,0,0,0,0,0,0,0,0.0
193,17961,Sterling Shepard,NYG,WR,3,0,0,0,0,0,0,0,0,0.0
194,19361,Marcus Kemp,KC,WR,3,0,0,0,0,0,0,0,0,0.0
195,19779,Brandon Zylstra,DET,WR,2,0,0,0,0,0,0,0,0,0.0
196,20886,Stanley Morgan Jr.,CIN,WR,14,0,0,0,0,0,0,0,0,0.0
197,20793,Penny Hart,SEA,WR,9,0,0,0,0,0,0,0,0,0.0
198,18445,Mike Thomas,CIN,WR,10,0,0,0,0,0,0,0,0,0.0
199,20838,Tyron Billy-Johnson,HOU,WR,4,0,0,0,0,0,0,0,0,0.0
200,19200,C.J. Board,TEN,WR,4,0,0,0,0,0,0,0,0,0.0
201,20684,Malik Turner,SF,WR,3,0,0,0,0,0,0,0,0,0.0
202,21295,Nsimba Webster,CHI,WR,2,0,0,0,0,0,0,0,0,0.0
203,21400,Steven Sims,PIT,WR,12,0,0,0,0,0,0,0,0,0.0
204,21448,Jalen Guyton,LAC,WR,3,0,0,0,0,0,0,0,0,0.0
