rank,id,player,team,pos,gp,redzone5_pass_yds,redzone5_pass_td,redzone5_pass_int,redzone5_rush_yds,redzone5_rush_td,redzone5_rec,redzone5_rec_yds,redzone5_rec_td,redzone5_fpts_ppr
1,16470,Davante Adams,LV,WR,17,0,0,0,0,0,6,14,5,37.4
2,24120,Rashee Rice,KC,WR,16,0,0,0,0,0,6,18,4,31.8
3,16597,Mike Evans,TB,WR,17,0,0,0,0,0,4,6,4,28.6
4,21679,CeeDee Lamb,DAL,WR,17,0,0,0,3,1,5,12,2,26.5
5,21756,Nico Collins,HOU,WR,15,0,0,0,0,0,3,10,3,24.0
6,19802,Calvin Ridley,JAX,WR,17,0,0,0,0,0,3,5,3,23.5
7,22564,Ja'Marr Chase,CIN,WR,16,0,0,0,0,0,4,7,3,22.7
8,18082,Tyreek Hill,MIA,WR,16,0,0,0,0,0,4,5,3,22.5
9,23167,Romeo Doubs,GB,WR,17,0,0,0,0,0,3,10,3,22.0
10,21077,Diontae Johnson,PIT,WR,13,0,0,0,0,0,3,9,3,21.9
11,24119,Andrei Iosivas,CIN,WR,16,0,0,0,0,0,3,8,3,21.8
12,21045,Marquise Brown,ARI,WR,14,0,0,0,0,0,3,6,3,21.6
13,18928,Curtis Samuel,WAS,WR,16,0,0,0,1,1,2,6,2,20.7
14,20932,Deebo Samuel Sr.,SF,WR,15,0,0,0,3,2,1,2,1,19.5
15,16830,Tyler Lockett,SEA,WR,17,0,0,0,0,0,2,8,2,18.8
16,22602,Tutu Atwell,LAR,WR,16,0,0,0,0,0,2,4,2,18.4
17,20876,Jakobi Meyers,LV,WR,16,3,1,0,5,1,1,3,1,17.9
18,18882,Cooper Kupp,LAR,WR,12,0,0,0,0,0,3,5,2,17.5
19,15534,Adam Thielen,CAR,WR,17,0,0,0,0,0,2,4,2,16.4
20,18047,Demarcus Robinson,LAR,WR,16,0,0,0,0,0,2,9,2,14.9
21,20816,Lil'Jordan Humphrey,DEN,WR,17,0,0,0,0,0,2,8,2,14.8
22,21042,A.J. Brown,PHI,WR,17,0,0,0,0,0,2,7,2,14.7
23,21690,Tee Higgins,CIN,WR,12,0,0,0,0,0,2,7,2,14.7
24,21687,DeVonta Smith,PHI,WR,16,0,0,0,0,0,2,7,2,14.7
25,19922,Justin Watson,KC,WR,16,0,0,0,0,0,2,6,2,14.6
26,23162,Jordan Addison,MIN,WR,17,0,0,0,0,0,2,6,2,14.6
27,14986,DeAndre Hopkins,TEN,WR,17,0,0,0,0,0,2,6,2,14.6
28,24172,Puka Nacua,LAR,WR,17,0,0,0,0,0,2,6,2,14.6
29,21735,Gabe Davis,BUF,WR,17,0,0,0,0,0,2,6,2,14.6
30,22598,Jaylen Waddle,MIA,WR,14,0,0,0,0,0,2,6,2,14.6
31,19017,Josh Reynolds,DET,WR,17,0,0,0,0,0,2,5,2,14.5
32,20875,DK Metcalf,SEA,WR,16,0,0,0,0,0,2,4,2,14.4
33,23122,Garrett Wilson,NYJ,WR,17,0,0,0,0,0,2,4,2,14.4
34,24339,Jake Bobo,SEA,WR,17,0,0,0,3,1,1,5,1,13.8
35,23120,Zay Flowers,BAL,WR,16,0,0,0,0,0,3,4,1,11.4
36,16906,Stefon Diggs,BUF,WR,17,0,0,0,0,0,2,8,1,10.8
37,23151,Drake London,ATL,WR,16,0,0,0,0,0,2,5,1,10.5
38,24173,Michael Wilson,ARI,WR,13,0,0,0,0,0,1,5,1,9.5
39,22565,Chris Olave,NO,WR,16,0,0,0,0,0,1,5,1,9.5
40,23233,Jayden Reed,GB,WR,16,0,0,0,0,0,1,4,1,9.4
41,21744,Michael Pittman Jr.,IND,WR,16,0,0,0,0,0,1,4,1,9.4
42,21734,Nick Westbrook-Ikhine,TEN,WR,14,0,0,0,0,0,1,4,1,9.4
43,23763,Brandon Johnson,DEN,WR,13,0,0,0,0,0,1,4,1,9.4
44,18880,Chris Godwin,TB,WR,17,0,0,0,0,0,1,3,1,9.3
45,16568,Brandin Cooks,DAL,WR,16,0,0,0,0,0,1,2,1,9.2
46,19318,Kendrick Bourne,NE,WR,8,0,0,0,0,0,2,4,1,8.4
47,22614,Kadarius Toney,KC,WR,13,0,0,0,0,0,2,4,1,8.4
48,19755,River Cracraft,MIA,WR,10,0,0,0,0,0,2,4,1,8.4
49,15076,Keenan Allen,LAC,WR,13,0,0,0,0,0,2,1,1,8.1
