rank,id,player,team,pos,gp,redzone5_pass_yds,redzone5_pass_td,redzone5_pass_int,redzone5_rush_yds,redzone5_rush_td,redzone5_rec,redzone5_rec_yds,redzone5_rec_td,redzone5_fpts_ppr
1,20006,Russell Gage,TB,WR,13,0,0,0,0,0,4,10,4,31.0
2,15534,Adam Thielen,MIN,WR,17,0,0,0,0,0,4,8,4,30.8
3,19815,Christian Kirk,JAX,WR,17,0,0,0,0,0,4,16,4,29.6
4,20876,Jakobi Meyers,NE,WR,14,0,0,0,0,0,3,8,3,23.8
5,22587,Amon-Ra St. Brown,DET,WR,16,0,0,0,4,0,4,10,3,23.4
6,19844,DJ Moore,CAR,WR,17,0,0,0,0,0,3,15,3,22.5
7,16906,Stefon Diggs,BUF,WR,16,0,0,0,0,0,3,14,3,22.4
8,19017,Josh Reynolds,DET,WR,14,0,0,0,0,0,3,11,3,22.1
9,16470,Davante Adams,LV,WR,17,0,0,0,0,0,3,8,3,21.8
10,20788,Mecole Hardman Jr.,KC,WR,8,0,0,0,3,1,2,5,2,20.8
11,18082,Tyreek Hill,MIA,WR,17,0,0,0,2,1,2,5,2,20.7
12,18880,Chris Godwin,TB,WR,15,0,0,0,0,0,3,10,2,18.0
13,17986,Tyler Boyd,CIN,WR,16,0,0,0,0,0,3,7,2,17.7
14,21690,Tee Higgins,CIN,WR,16,0,0,0,0,0,2,10,2,17.0
15,23151,Drake London,ATL,WR,17,0,0,0,0,0,2,6,2,16.6
16,23155,Jahan Dotson,WAS,WR,12,0,0,0,0,0,2,5,2,16.5
17,19044,Jamal Agnew,JAX,WR,15,0,0,0,0,0,2,5,2,16.5
18,21685,Justin Jefferson,MIN,WR,17,0,0,0,3,1,1,5,1,15.8
19,20145,Allen Lazard,GB,WR,15,0,0,0,0,0,3,4,2,15.4
20,21071,Greg Dortch,ARI,WR,16,0,0,0,3,0,2,10,2,15.3
21,18926,Zay Jones,JAX,WR,16,0,0,0,0,0,2,8,2,14.8
22,21005,Parris Campbell,IND,WR,17,0,0,0,0,0,2,8,2,14.8
23,21714,K.J. Osborn,MIN,WR,17,0,0,0,0,0,2,7,2,14.7
24,18882,Cooper Kupp,LAR,WR,9,0,0,0,0,0,2,7,2,14.7
25,20875,DK Metcalf,SEA,WR,17,0,0,0,0,0,2,7,2,14.7
26,16597,Mike Evans,TB,WR,15,0,0,0,0,0,2,6,2,14.6
27,16263,Allen Robinson II,LAR,WR,10,0,0,0,0,0,2,6,2,14.6
28,21263,Trenton Irwin,CIN,WR,9,0,0,0,0,0,2,5,2,14.5
29,15076,Keenan Allen,LAC,WR,10,0,0,0,0,0,2,5,2,14.5
30,21754,Donovan Peoples-Jones,CLE,WR,17,0,0,0,0,0,2,5,2,14.5
31,21747,Brandon Aiyuk,SF,WR,17,0,0,0,0,0,2,5,2,14.5
32,21679,CeeDee Lamb,DAL,WR,17,0,0,0,0,0,2,4,2,14.4
33,22565,Chris Olave,NO,WR,15,0,0,0,0,0,1,4,1,9.4
34,21760,Isaiah Hodgins,NYG,WR,10,0,0,0,0,0,1,2,1,9.2
35,21717,Jauan Jennings,SF,WR,16,0,0,0,0,0,2,6,1,8.6
36,19080,Noah Brown,DAL,WR,16,0,0,0,0,0,2,5,1,8.5
37,18928,Curtis Samuel,WAS,WR,17,0,0,0,0,0,2,4,1,8.4
38,21744,Michael Pittman Jr.,IND,WR,16,0,0,0,0,0,2,3,1,8.3
39,18883,JuJu Smith-Schuster,KC,WR,16,0,0,0,0,0,2,2,1,8.2
40,23153,George Pickens,PIT,WR,17,0,0,0,1,1,0,0,0,8.1
41,22598,Jaylen Waddle,MIA,WR,17,0,0,0,0,0,1,5,1,7.5
42,19023,Mack Hollins,LV,WR,17,0,0,0,0,0,1,5,1,7.5
43,18879,Corey Davis,NYJ,WR,13,0,0,0,0,0,1,5,1,7.5
44,23167,Romeo Doubs,GB,WR,13,0,0,0,0,0,1,5,1,7.5
45,21692,Jerry Jeudy,DEN,WR,15,0,0,0,0,0,1,5,1,7.5
46,22564,Ja'Marr Chase,CIN,WR,12,0,0,0,0,0,1,5,1,7.5
47,19318,Kendrick Bourne,NE,WR,16,0,0,0,0,0,1,5,1,7.5
48,19800,Courtland Sutton,DEN,WR,15,0,0,0,0,0,1,5,1,7.5
49,23170,Wan'Dale Robinson,NYG,WR,6,0,0,0,0,0,1,5,1,7.5
50,21750,Marquez Callaway,NO,WR,14,0,0,0,0,0,1,4,1,7.4
51,16765,Amari Cooper,CLE,WR,17,0,0,0,0,0,1,4,1,7.4
52,21721,Devin Duvernay,BAL,WR,14,0,0,0,0,0,1,4,1,7.4
53,19922,Justin Watson,KC,WR,17,0,0,0,0,0,1,4,1,7.4
54,19976,Marquez Valdes-Scantling,KC,WR,17,0,0,0,0,0,1,4,1,7.4
55,20150,Byron Pringle,CHI,WR,11,0,0,0,0,0,1,4,1,7.4
56,19043,Isaiah McKenzie,BUF,WR,15,0,0,0,0,0,1,4,1,7.4
57,16830,Tyler Lockett,SEA,WR,16,0,0,0,0,0,1,4,1,7.4
58,21739,Van Jefferson,LAR,WR,11,0,0,0,0,0,1,3,1,7.3
59,19867,Michael Gallup,DAL,WR,14,0,0,0,0,0,1,3,1,7.3
60,21142,Olamide Zaccheaus,ATL,WR,17,0,0,0,0,0,1,3,1,7.3
61,20873,Terry McLaurin,WAS,WR,17,0,0,0,0,0,1,3,1,7.3
62,17960,Michael Thomas,NO,WR,3,0,0,0,0,0,1,3,1,7.3
63,21687,DeVonta Smith,PHI,WR,17,0,0,0,0,0,1,2,1,7.2
64,21734,Nick Westbrook-Ikhine,TEN,WR,17,0,0,0,0,0,1,2,1,7.2
65,16775,DeVante Parker,NE,WR,13,0,0,0,0,0,1,2,1,7.2
66,19755,River Cracraft,MIA,WR,11,0,0,0,0,0,1,2,1,7.2
67,20932,Deebo Samuel Sr.,SF,WR,13,0,0,0,-2,0,1,4,1,7.2
68,23122,Garrett Wilson,NYJ,WR,17,0,0,0,0,0,1,2,1,7.2
69,21686,Jalen Reagor,MIN,WR,17,0,0,0,0,0,1,1,1,7.1
70,19816,DJ Chark,DET,WR,11,0,0,0,0,0,1,1,1,7.1
71,23763,Brandon Johnson,DEN,WR,7,0,0,0,0,0,1,1,1,7.1
72,20077,Richie James,NYG,WR,17,0,0,0,0,0,1,1,1,7.1
73,23469,Tyquan Thornton,NE,WR,13,0,0,0,-1,0,1,2,1,7.1
74,20038,Braxton Berrios,NYJ,WR,17,2,1,0,0,0,0,0,0,4.1
75,21752,Chase Claypool,CHI,WR,15,1,1,0,0,0,0,0,0,4.0
76,21077,Diontae Johnson,PIT,WR,17,0,0,0,0,0,0,0,0,4.0
77,23395,Christian Watson,GB,WR,14,0,0,0,0,0,2,2,0,2.2
78,20679,KhaDarel Hodge,ATL,WR,17,0,0,0,0,0,0,0,0,2.0
79,16020,Jarvis Landry,NO,WR,9,0,0,0,0,0,0,0,0,2.0
80,22613,Joshua Palmer,LAC,WR,16,0,0,0,0,0,0,0,0,2.0
81,23227,Khalil Shakir,BUF,WR,14,0,0,0,0,0,0,0,0,2.0
82,22213,Kendall Hinton,DEN,WR,12,0,0,0,0,0,1,8,0,1.8
83,18030,Chris Moore,HOU,WR,16,0,0,0,0,0,1,4,0,1.4
84,22623,Rashod Bateman,BAL,WR,6,0,0,0,0,0,1,4,0,1.4
85,21961,Darnell Mooney,CHI,WR,12,0,0,0,0,0,1,3,0,1.3
86,20487,Brandon Powell,LAR,WR,17,0,0,0,0,0,1,0,0,1.0
87,17218,DeAndre Carter,LAC,WR,17,0,0,0,0,0,1,0,0,1.0
88,14141,Cole Beasley,BUF,WR,4,0,0,0,0,0,0,0,0,0.0
89,14587,Josh Gordon,TEN,WR,2,0,0,0,0,0,0,0,0,0.0
90,22597,Jalen Tolbert,DAL,WR,8,0,0,0,0,0,0,0,0,0.0
91,16141,Willie Snead IV,SF,WR,4,0,0,0,0,0,0,0,0,0.0
92,19431,Tanner Gentry,BUF,WR,3,0,0,0,0,0,0,0,0,0.0
93,22596,Jaelon Darden,CLE,WR,14,0,0,0,0,0,0,0,0,0.0
94,16568,Brandin Cooks,HOU,WR,13,0,0,0,0,0,0,0,0,0.0
95,22595,Ihmir Smith-Marsette,KC,WR,8,0,0,0,0,0,0,0,0,0.0
96,22614,Kadarius Toney,KC,WR,9,0,0,0,0,0,0,0,0,0.0
97,16781,Nelson Agholor,NE,WR,16,0,0,0,0,0,0,0,0,0.0
98,22594,Frank Darby,ATL,WR,5,0,0,0,0,0,0,0,0,0.0
99,16837,Chris Conley,TEN,WR,9,0,0,0,0,0,0,0,0,0.0
100,16855,Ty Montgomery II,NE,WR,1,0,0,0,0,0,0,0,0,0.0
101,14005,T.Y. Hilton,DAL,WR,3,0,0,0,0,0,0,0,0,0.0
102,14986,DeAndre Hopkins,ARI,WR,9,0,0,0,0,0,0,0,0,0.0
103,17141,Damiere Byrd,ATL,WR,14,0,0,0,0,0,0,0,0,0.0
104,3943,DeSean Jackson,BAL,WR,7,0,0,0,0,0,0,0,0,0.0
105,7651,Matthew Slater,NE,WR,17,0,0,0,0,0,0,0,0,0.0
106,17914,Laquon Treadwell,SEA,WR,6,0,0,0,0,0,0,0,0,0.0
107,18361,Chester Rogers,CLE,WR,3,0,0,0,0,0,0,0,0,0.0
108,21964,Cody White,PIT,WR,1,0,0,0,0,0,0,0,0,0.0
109,16790,Phillip Dorsett,HOU,WR,15,0,0,0,0,0,0,0,0,0.0
110,18977,Kenny Golladay,NYG,WR,12,0,0,0,0,0,0,0,0,0.0
111,17289,Jake Kumerow,BUF,WR,6,0,0,0,0,0,0,0,0,0.0
112,21960,Freddie Swain,DEN,WR,4,0,0,0,0,0,0,0,0,0.0
113,14865,Marquise Goodwin,SEA,WR,13,0,0,0,0,0,0,0,0,0.0
114,14871,Robert Woods,TEN,WR,17,0,0,0,0,0,0,0,0,0.0
115,21959,Dezmon Patmon,IND,WR,1,0,0,0,0,0,0,0,0,0.0
116,17961,Sterling Shepard,NYG,WR,3,0,0,0,0,0,0,0,0,0.0
117,21957,Quez Watkins,PHI,WR,17,0,0,0,0,0,0,0,0,0.0
118,19361,Marcus Kemp,KC,WR,3,0,0,0,0,0,0,0,0,0.0
119,22686,Dyami Brown,WAS,WR,15,0,0,0,0,0,0,0,0,0.0
120,19779,Brandon Zylstra,DET,WR,2,0,0,0,0,0,0,0,0,0.0
