rank,id,player,team,pos,Receptions,ReceivingYards,ReceivingTDs,RouteParticipation,SnapShare,AverageTargetDistance,AirYards,AirYardsPerGame,AirYardsPerReception,Targets,RedZoneTargets,EndzoneTargets,TargetAccuracy,TargetShare,FantasyPointsPerTarget
179,18881,John Ross,NYG,WR,,,,,,,,,,,,,,,
180,20886,Stanley Morgan Jr.,CIN,WR,,,,,,,,,,,,,,,
181,18717,Marvin Hall,ATL,WR,,,,,,,,,,,,,,,
182,18673,Jaydon Mickens,JAX,WR,,,,,,,,,,,,,,,
183,16003,Sammy Watkins,BAL,WR,,,,,,,,,,,,,,,
184,16020,Jarvis Landry,CLE,WR,,,,,,,,,,,,,,,
185,20988,Preston Williams,MIA,WR,,,,,,,,,,,,,,,
186,18445,Mike Thomas,CIN,WR,,,,,,,,,,,,,,,
187,18361,Chester Rogers,TEN,WR,,,,,,,,,,,,,,,
188,16640,John Brown,JAX,WR,,,,,,,,,,,,,,,
189,18089,Rashard Higgins,CLE,WR,,,,,,,,,,,,,,,
190,18058,Tajae Sharpe,ATL,WR,,,,,,,,,,,,,,,
191,18039,Pharoh Cooper,NYG,WR,,,,,,,,,,,,,,,
192,16787,Breshad Perriman,TB,WR,,,,,,,,,,,,,,,
193,15215,Tavon Austin,JAX,WR,,,,,,,,,,,,,,,
194,14587,Josh Gordon,KC,WR,,,,,,,,,,,,,,,
195,21731,John Hightower,PHI,WR,,,,,,,,,,,,,,,
196,13878,Mohamed Sanu,SF,WR,,,,,,,,,,,,,,,
197,13870,Marvin Jones Jr.,JAX,WR,,,,,,,,,,,,,,,
198,21736,Bryan Edwards,LV,WR,,,,,,,,,,,,,,,
199,9906,Danny Amendola,HOU,WR,,,,,,,,,,,,,,,
200,12845,A.J. Green,ARI,WR,,,,,,,,,,,,,,,
201,11565,Andre Roberts,LAC,WR,,,,,,,,,,,,,,,
202,11063,Emmanuel Sanders,BUF,WR,,,,,,,,,,,,,,,
203,16798,Devin Smith,JAX,WR,,,,,,,,,,,,,,,
204,21750,Marquez Callaway,NO,WR,,,,,,,,,,,,,,,
205,21751,Aaron Fuller,SEA,WR,,,,,,,,,,,,,,,
206,19184,JoJo Natson,CLE,WR,,,,,,,,,,,,,,,
207,13887,Travis Benjamin,SF,WR,,,,,,,,,,,,,,,
208,11056,Antonio Brown,TB,WR,,,,,,,,,,,,,,,
209,21178,Jason Moore,LAC,WR,,,,,,,,,,,,,,,
210,21368,Trinity Benson,DET,WR,,,,,,,,,,,,,,,
211,15196,Kenny Stills,NO,WR,,,,,,,,,,,,,,,
212,17916,William Fuller V,MIA,WR,,,,,,,,,,,,,,,
213,21742,Antonio Gandy-Golden,WAS,WR,,,,,,,,,,,,,,,
214,14828,Chris Hogan,NO,WR,,,,,,,,,,,,,,,
215,21964,Cody White,PIT,WR,,,,,,,,,,,,,,,
216,21967,Isaiah Coulter,CHI,WR,,,,,,,,,,,,,,,
217,21969,Aaron Parker,CAR,WR,,,,,,,,,,,,,,,
218,18401,Tommylee Lewis,MIA,WR,,,,,,,,,,,,,,,
219,21694,Henry Ruggs III,LV,WR,,,,,,,,,,,,,,,
220,21758,KJ Hill Jr.,LAC,WR,,,,,,,,,,,,,,,
221,19054,Rodney Adams,CHI,WR,,,,,,,,,,,,,,,
222,21724,Easop Winston Jr.,NO,WR,,,,,,,,,,,,,,,
223,19865,James Washington,PIT,WR,,,,,,,,,,,,,,,
224,21729,Quintez Cephus,DET,WR,,,,,,,,,,,,,,,
225,22618,Marquez Stevenson,BUF,WR,,,,,,,,,,,,,,,
226,22615,Kawaan Baker,NO,WR,,,,,,,,,,,,,,,
227,22235,Maurice Ffrench,LAC,WR,,,,,,,,,,,,,,,
228,22244,Ja'Marcus Bradley,CLE,WR,,,,,,,,,,,,,,,
229,22311,Jeff Cotton,JAX,WR,,,,,,,,,,,,,,,
230,22327,J.J. Koski,LAR,WR,,,,,,,,,,,,,,,
231,22339,Kirk Merritt,MIA,WR,,,,,,,,,,,,,,,
232,22340,Matt Cole,CAR,WR,,,,,,,,,,,,,,,
233,22609,Shi Smith,CAR,WR,,,,,,,,,,,,,,,
234,22345,Dan Chisena,MIN,WR,,,,,,,,,,,,,,,
235,14005,T.Y. Hilton,IND,WR,,,,,,,,,,,,,,,
236,22283,Josh Hammond,JAX,WR,,,,,,,,,,,,,,,
237,22638,Dillon Stoner,LV,WR,,,,,,,,,,,,,,,
238,3943,DeSean Jackson,LV,WR,,,,,,,,,,,,,,,
239,22594,Frank Darby,ATL,WR,,,,,,,,,,,,,,,
