rank,id,player,team,pos,gp,third_pass_yds,third_pass_td,third_pass_int,third_rush_yds,third_rush_td,third_rec,third_rec_yds,third_rec_td,third_def_sck,third_def_int,third_fum_forced,third_fum_recovered,third_fpts_ppr_per_gp,third_fpts_ppr
1,18082,Tyreek Hill,MIA,WR,16,0,0,0,0,0,31,597,7,0,0,0,0,8.3,132.7
2,21679,CeeDee Lamb,DAL,WR,17,0,0,0,0,0,36,627,5,0,0,0,0,7.5,126.7
3,19844,DJ Moore,CHI,WR,17,0,0,0,0,0,33,531,5,0,0,0,0,6.8,116.1
4,21756,Nico Collins,HOU,WR,15,0,0,0,0,0,31,545,4,0,0,0,0,7.3,109.5
5,24172,Puka Nacua,LAR,WR,17,0,0,0,0,0,27,445,3,0,0,0,0,5.3,89.5
6,23162,Jordan Addison,MIN,WR,17,0,0,0,0,0,20,378,5,0,0,0,0,5.2,87.8
7,22587,Amon-Ra St. Brown,DET,WR,16,0,0,0,4,0,29,320,4,0,0,0,0,5.3,85.4
8,18880,Chris Godwin,TB,WR,17,0,0,0,19,1,32,445,0,0,0,0,0,5.0,84.4
9,16597,Mike Evans,TB,WR,17,0,0,0,0,0,22,355,4,0,0,0,0,4.8,81.5
10,21042,A.J. Brown,PHI,WR,17,0,0,0,0,0,30,437,1,0,0,0,0,4.7,79.7
11,15076,Keenan Allen,LAC,WR,13,0,0,0,0,0,27,321,3,0,0,0,0,5.9,77.1
12,20876,Jakobi Meyers,LV,WR,16,0,0,0,7,1,22,241,3,0,0,0,0,4.4,70.8
13,22565,Chris Olave,NO,WR,16,0,0,0,0,0,25,360,1,0,0,0,0,4.2,67.0
14,23157,Jaxon Smith-Njigba,SEA,WR,17,0,0,0,0,0,24,298,2,0,0,0,0,3.9,65.8
15,16906,Stefon Diggs,BUF,WR,17,0,0,0,0,0,23,234,3,0,0,0,0,3.8,64.4
16,24145,Josh Downs,IND,WR,17,0,0,0,0,0,21,367,1,0,0,0,0,3.7,63.7
17,15534,Adam Thielen,CAR,WR,17,0,0,0,0,0,30,323,0,0,0,0,0,3.7,62.3
18,22564,Ja'Marr Chase,CIN,WR,16,0,0,0,0,0,22,281,2,0,0,0,0,3.9,62.1
19,23153,George Pickens,PIT,WR,17,0,0,0,3,0,16,388,1,0,0,0,0,3.6,61.1
20,16470,Davante Adams,LV,WR,17,0,0,0,0,0,22,263,2,0,0,0,0,3.5,60.3
21,24120,Rashee Rice,KC,WR,16,0,0,0,-3,0,17,195,4,0,0,0,0,3.8,60.2
22,18882,Cooper Kupp,LAR,WR,12,0,0,0,0,0,18,222,3,0,0,0,0,4.9,58.2
23,19802,Calvin Ridley,JAX,WR,17,0,0,0,0,0,19,207,3,0,0,0,0,3.4,57.7
24,23167,Romeo Doubs,GB,WR,17,0,0,0,0,0,16,174,4,0,0,0,0,3.4,57.4
25,21077,Diontae Johnson,PIT,WR,13,0,0,0,0,0,18,333,1,0,0,0,0,4.4,57.3
26,16830,Tyler Lockett,SEA,WR,17,0,0,0,0,0,21,239,2,0,0,0,0,3.3,56.9
27,19922,Justin Watson,KC,WR,16,0,0,0,0,0,14,269,3,0,0,0,0,3.6,56.9
28,21747,Brandon Aiyuk,SF,WR,16,0,0,0,0,0,18,267,2,0,0,0,0,3.5,56.7
29,22598,Jaylen Waddle,MIA,WR,14,0,0,0,0,0,18,325,1,0,0,0,0,4.0,56.5
