rank,id,player,team,pos,gp,third_pass_yds,third_pass_td,third_pass_int,third_rush_yds,third_rush_td,third_rec,third_rec_yds,third_rec_td,third_def_sck,third_def_int,third_fum_forced,third_fum_recovered,third_fpts_ppr_per_gp,third_fpts_ppr
30,19800,Courtland Sutton,DEN,WR,16,0,0,0,0,0,17,240,3,0,0,0,0,3.4,55.0
31,23233,Jayden Reed,GB,WR,16,0,0,0,-1,0,18,229,2,0,0,0,0,3.3,52.8
32,23253,Dontayvion Wicks,GB,WR,15,0,0,0,0,0,14,198,3,0,0,0,0,3.5,51.8
33,21687,DeVonta Smith,PHI,WR,16,0,0,0,0,0,19,255,1,0,0,0,0,3.2,50.5
34,23120,Zay Flowers,BAL,WR,16,0,0,0,39,1,16,186,1,0,0,0,0,3.2,50.5
35,21045,Marquise Brown,ARI,WR,14,0,0,0,0,0,17,212,2,0,0,0,0,3.6,50.2
36,24068,KaVontae Turpin,DAL,WR,16,0,0,0,29,1,10,119,3,0,0,0,0,3.0,48.8
37,23151,Drake London,ATL,WR,16,0,0,0,0,0,18,246,1,0,0,0,0,3.0,48.6
38,16568,Brandin Cooks,DAL,WR,16,0,0,0,0,0,16,197,2,0,0,0,0,3.0,47.7
39,20875,DK Metcalf,SEA,WR,16,0,0,0,0,0,14,271,1,0,0,0,0,2.9,47.1
40,16765,Amari Cooper,CLE,WR,15,0,0,0,0,0,17,299,0,0,0,0,0,3.1,46.9
41,19815,Christian Kirk,JAX,WR,12,0,0,0,0,0,15,257,1,0,0,0,0,3.9,46.7
42,21744,Michael Pittman Jr.,IND,WR,16,0,0,0,0,0,23,226,0,0,0,0,0,2.9,45.6
43,20873,Terry McLaurin,WAS,WR,17,0,0,0,0,0,15,242,1,0,0,0,0,2.7,45.2
44,19816,DJ Chark,CAR,WR,15,0,0,0,0,0,12,218,2,0,0,0,0,2.9,43.8
45,22592,Elijah Moore,CLE,WR,17,0,0,0,0,0,16,198,1,0,0,0,0,2.5,41.8
46,20943,Darius Slayton,NYG,WR,17,0,0,0,0,0,14,217,1,0,0,0,0,2.5,41.7
47,21690,Tee Higgins,CIN,WR,12,0,0,0,0,0,13,163,2,0,0,0,0,3.4,41.3
48,23729,Rashid Shaheed,NO,WR,15,0,0,0,0,0,11,180,2,0,0,0,0,2.7,41.0
49,18928,Curtis Samuel,WAS,WR,16,0,0,0,0,0,13,155,2,0,0,0,0,2.5,40.5
50,20932,Deebo Samuel Sr.,SF,WR,15,0,0,0,5,0,12,217,1,0,0,0,0,2.7,40.2
51,16389,Odell Beckham Jr.,BAL,WR,14,0,0,0,0,0,10,180,2,0,0,0,0,2.9,40.0
52,21685,Justin Jefferson,MIN,WR,10,0,0,0,0,0,14,195,1,0,0,0,0,4.0,39.5
53,24176,Tank Dell,HOU,WR,11,0,0,0,0,0,12,210,1,0,0,0,0,3.5,39.0
54,23122,Garrett Wilson,NYJ,WR,17,0,0,0,0,0,19,188,0,0,0,0,0,2.2,37.8
55,22602,Tutu Atwell,LAR,WR,16,0,0,0,0,0,11,145,2,0,0,0,0,2.3,37.5
56,17986,Tyler Boyd,CIN,WR,17,0,0,0,0,0,18,189,0,0,0,0,0,2.2,36.9
57,20038,Braxton Berrios,MIA,WR,16,0,0,0,0,0,15,149,1,0,0,0,0,2.2,35.9
58,21692,Jerry Jeudy,DEN,WR,16,0,0,0,0,0,15,197,0,0,0,0,0,2.2,34.7
59,14871,Robert Woods,HOU,WR,14,0,0,0,0,0,15,136,1,0,0,0,0,2.5,34.6
60,16781,Nelson Agholor,BAL,WR,17,0,0,0,0,0,11,109,2,0,0,0,0,2.0,33.9
61,14986,DeAndre Hopkins,TEN,WR,17,0,0,0,0,0,14,193,0,0,0,0,0,2.0,33.3
62,24217,Trey Palmer,TB,WR,17,0,0,0,0,0,13,138,1,0,0,0,0,1.9,32.8
63,19080,Noah Brown,HOU,WR,10,0,0,0,-1,0,11,143,1,0,0,0,0,3.1,31.2
64,23395,Christian Watson,GB,WR,9,0,0,0,0,0,8,111,2,0,0,0,0,3.5,31.1
65,22626,Rondale Moore,ARI,WR,17,0,0,0,8,0,15,131,0,0,0,0,0,1.7,28.9
66,24180,Demario Douglas,NE,WR,14,0,0,0,6,0,13,172,0,0,0,0,0,2.1,28.8
67,21717,Jauan Jennings,SF,WR,13,0,0,0,0,0,10,121,1,0,0,0,0,2.2,28.1
68,20816,Lil'Jordan Humphrey,DEN,WR,17,0,0,0,0,0,6,100,2,0,0,0,0,1.6,28.0
69,21714,K.J. Osborn,MIN,WR,16,0,0,0,0,0,13,150,0,0,0,0,0,1.8,28.0
70,23232,Alec Pierce,IND,WR,17,0,0,0,0,0,7,145,1,0,0,0,0,1.6,27.5
71,20487,Brandon Powell,MIN,WR,17,0,0,0,2,0,11,97,1,0,0,0,0,1.6,26.9
72,22627,Ronnie Bell,SF,WR,17,0,0,0,0,0,4,46,3,0,0,0,0,1.6,26.6
73,24226,Quentin Johnston,LAC,WR,17,0,0,0,0,0,9,115,1,0,0,0,0,1.6,26.5
74,19017,Josh Reynolds,DET,WR,17,0,0,0,0,0,11,146,0,0,0,0,0,1.5,25.6
75,17960,Michael Thomas,NO,WR,10,0,0,0,0,0,10,150,0,0,0,0,0,2.5,25.0
76,23227,Khalil Shakir,BUF,WR,17,0,0,0,0,0,10,149,0,0,0,0,0,1.5,24.9
77,23170,Wan'Dale Robinson,NYG,WR,15,0,0,0,0,0,13,117,0,0,0,0,0,1.6,24.7
78,22613,Joshua Palmer,LAC,WR,10,0,0,0,0,0,11,137,0,0,0,0,0,2.5,24.7
79,21142,Olamide Zaccheaus,PHI,WR,17,0,0,0,0,0,4,82,2,0,0,0,0,1.4,24.2
80,21263,Trenton Irwin,CIN,WR,16,0,0,0,0,0,6,122,1,0,0,0,0,1.5,24.2
81,23161,Jonathan Mingo,CAR,WR,15,0,0,0,0,0,12,120,0,0,0,0,0,1.6,24.0
82,22566,Calvin Austin III,PIT,WR,17,0,0,0,0,0,6,114,1,0,0,0,0,1.4,23.4
83,24173,Michael Wilson,ARI,WR,13,0,0,0,0,0,9,144,0,0,0,0,0,1.8,23.4
84,21735,Gabe Davis,BUF,WR,17,0,0,0,0,0,6,107,1,0,0,0,0,1.3,22.7
85,19318,Kendrick Bourne,NE,WR,8,0,0,0,4,0,7,92,1,0,0,0,0,2.8,22.6
86,18926,Zay Jones,JAX,WR,9,0,0,0,0,0,9,72,1,0,0,0,0,2.5,22.2
87,23155,Jahan Dotson,WAS,WR,17,0,0,0,0,0,11,112,0,0,0,0,0,1.3,22.2
88,21734,Nick Westbrook-Ikhine,TEN,WR,14,0,0,0,0,0,6,102,1,0,0,0,0,1.6,22.2
89,24143,Parker Washington,JAX,WR,9,0,0,0,0,0,6,60,2,0,0,0,0,2.4,22.0
90,20013,Cedrick Wilson Jr.,MIA,WR,15,0,0,0,0,0,5,102,1,0,0,0,0,1.4,21.2
91,20145,Allen Lazard,NYJ,WR,14,0,0,0,0,0,6,87,1,0,0,0,0,1.5,20.7
92,21071,Greg Dortch,ARI,WR,16,0,0,0,0,0,6,84,1,0,0,0,0,1.3,20.4
93,22623,Rashod Bateman,BAL,WR,16,0,0,0,0,0,7,68,1,0,0,0,0,1.2,19.8
94,24125,Jalin Hyatt,NYG,WR,17,0,0,0,0,0,7,127,0,0,0,0,0,1.2,19.7
95,21163,Deonte Harty,BUF,WR,16,0,0,0,0,0,6,74,1,0,0,0,0,1.2,19.4
96,18047,Demarcus Robinson,LAR,WR,16,0,0,0,0,0,5,83,1,0,0,0,0,1.2,19.3
97,18422,Kalif Raymond,DET,WR,17,0,0,0,0,0,9,102,0,0,0,0,0,1.1,19.2
98,24349,A.T. Perry,NO,WR,10,0,0,0,0,0,4,90,1,0,0,0,0,1.9,19.0
99,22686,Dyami Brown,WAS,WR,17,0,0,0,0,0,4,87,1,0,0,0,0,1.1,18.7
100,22614,Kadarius Toney,KC,WR,13,0,0,0,-2,0,7,57,1,0,0,0,0,1.4,18.5
101,21760,Isaiah Hodgins,NYG,WR,17,0,0,0,0,0,3,30,2,0,0,0,0,1.1,18.0
102,16775,DeVante Parker,NE,WR,13,0,0,0,0,0,7,106,0,0,0,0,0,1.4,17.6
103,23234,Jameson Williams,DET,WR,12,0,0,0,0,0,4,74,1,0,0,0,0,1.4,17.4
104,23168,Skyy Moore,KC,WR,14,0,0,0,0,0,7,104,0,0,0,0,0,1.2,17.4
105,18030,Chris Moore,TEN,WR,17,0,0,0,0,0,8,92,0,0,0,0,0,1.0,17.2
106,16263,Allen Robinson II,PIT,WR,17,0,0,0,0,0,8,92,0,0,0,0,0,1.0,17.2
107,23482,Bo Melton,GB,WR,5,0,0,0,0,0,5,53,1,0,0,0,0,3.3,16.3
108,19867,Michael Gallup,DAL,WR,17,0,0,0,0,0,6,103,0,0,0,0,0,1.0,16.3
109,21138,Scotty Miller,ATL,WR,17,0,0,0,0,0,3,73,1,0,0,0,0,1.0,16.3
110,23763,Brandon Johnson,DEN,WR,13,0,0,0,0,0,5,52,1,0,0,0,0,1.2,16.2
111,18197,Alex Erickson,LAC,WR,8,0,0,0,0,0,7,92,0,0,0,0,1,2.0,16.2
112,19976,Marquez Valdes-Scantling,KC,WR,16,0,0,0,0,0,6,101,0,0,0,0,0,1.0,16.1
113,20150,Byron Pringle,WAS,WR,17,0,0,0,0,0,6,96,0,0,0,0,0,0.9,15.6
114,20924,Hunter Renfrow,LV,WR,17,0,0,0,0,0,7,85,0,0,0,0,0,0.9,15.5
115,18883,JuJu Smith-Schuster,NE,WR,11,0,0,0,0,0,7,83,0,0,0,0,0,1.4,15.3
116,23165,Marvin Mims Jr.,DEN,WR,16,0,0,0,0,0,6,92,0,0,0,0,0,0.9,15.2
117,21961,Darnell Mooney,CHI,WR,15,0,0,0,0,0,8,70,0,0,0,0,0,1.0,15.0
118,24472,Xavier Gipson,NYJ,WR,17,0,0,0,0,0,6,85,0,0,0,0,0,0.9,14.5
119,19120,David Moore,TB,WR,7,0,0,0,0,0,2,63,1,0,0,0,0,2.0,14.3
120,22590,Ben Skowronek,LAR,WR,17,0,0,0,-2,0,4,42,1,0,0,0,0,0.8,14.0
121,18187,Robbie Chosen,MIA,WR,9,0,0,0,0,0,1,68,1,0,0,0,0,1.5,13.8
122,20679,KhaDarel Hodge,ATL,WR,17,0,0,0,0,0,6,72,0,0,0,0,0,0.8,13.2
123,19023,Mack Hollins,ATL,WR,13,0,0,0,0,0,4,86,0,0,0,0,0,1.0,12.6
124,24339,Jake Bobo,SEA,WR,17,0,0,0,0,0,5,76,0,0,0,0,0,0.7,12.6
125,23746,Deven Thompkins,TB,WR,17,0,0,0,2,0,3,21,1,0,0,0,0,0.7,11.3
126,20071,Keith Kirkwood,NO,WR,13,0,0,0,0,0,2,20,1,0,0,0,0,0.8,10.0
127,24362,Malik Heath,GB,WR,13,0,0,0,0,0,2,19,1,0,0,0,0,0.8,9.9
128,23463,Kyle Philips,TEN,WR,9,0,0,0,0,0,6,37,0,0,0,0,0,1.1,9.7
129,19961,Ray-Ray McCloud,SF,WR,12,0,0,0,8,0,4,43,0,0,0,0,0,0.8,9.1
130,21005,Parris Campbell,NYG,WR,12,0,0,0,0,0,6,29,0,0,0,0,0,0.7,8.9
131,16866,Jamison Crowder,WAS,WR,17,0,0,0,0,0,5,36,0,0,0,0,0,0.5,8.6
132,24119,Andrei Iosivas,CIN,WR,16,0,0,0,0,0,4,43,0,0,0,0,0,0.5,8.3
133,21686,Jalen Reagor,NE,WR,11,0,0,0,0,0,3,49,0,0,0,0,0,0.7,7.9
134,22645,Simi Fehoko,LAC,WR,6,0,0,0,0,0,1,9,1,0,0,0,0,1.3,7.9
135,24177,Tre Tucker,LV,WR,16,0,0,0,0,0,2,58,0,0,0,0,0,0.5,7.8
136,21675,Tyler Johnson,LAR,WR,1,0,0,0,0,0,1,8,1,0,0,0,0,7.8,7.8
137,24345,Jason Brownlee,NYJ,WR,7,0,0,0,0,0,1,8,1,0,0,0,0,1.1,7.8
138,20788,Mecole Hardman Jr.,KC,WR,11,0,0,0,0,0,4,36,0,0,0,0,0,0.7,7.6
139,21754,Donovan Peoples-Jones,DET,WR,15,0,0,0,0,0,4,33,0,0,0,0,0,0.5,7.3
140,19043,Isaiah McKenzie,IND,WR,13,0,0,0,7,0,2,42,0,0,0,0,0,0.5,6.9
141,24755,Elijah Cooks,JAX,WR,9,0,0,0,0,0,3,38,0,0,0,0,0,0.8,6.8
142,19044,Jamal Agnew,JAX,WR,11,0,0,0,0,0,5,35,0,0,0,0,0,0.6,6.5
143,24122,Charlie Jones,CIN,WR,11,0,0,0,0,0,2,42,0,0,0,0,0,0.6,6.2
144,24220,Tyler Scott,CHI,WR,17,0,0,0,3,0,3,29,0,0,0,0,0,0.4,6.2
145,18914,Mike Williams,LAC,WR,3,0,0,0,0,0,2,41,0,0,0,0,0,2.0,6.1
146,21697,Laviska Shenault Jr.,CAR,WR,8,0,0,0,0,0,3,27,0,0,0,0,0,0.7,5.7
147,24348,Cedric Tillman,CLE,WR,14,0,0,0,0,0,4,17,0,0,0,0,0,0.4,5.7
148,23634,Samori Toure,GB,WR,11,0,0,0,0,0,3,26,0,0,0,0,0,0.5,5.6
149,20077,Richie James,KC,WR,9,0,0,0,0,0,3,20,0,0,0,0,0,0.6,5.0
150,23469,Tyquan Thornton,NE,WR,9,0,0,0,3,0,3,17,0,0,0,0,0,0.6,5.0
151,22597,Jalen Tolbert,DAL,WR,17,0,0,0,0,0,3,19,0,0,0,0,0,0.3,4.9
152,22595,Ihmir Smith-Marsette,CAR,WR,17,0,0,0,13,0,2,15,0,0,0,0,0,0.3,4.8
153,23148,David Bell,CLE,WR,15,0,0,0,0,0,3,17,0,0,0,0,0,0.3,4.7
154,21721,Devin Duvernay,BAL,WR,13,0,0,0,0,0,3,11,0,0,0,0,0,0.3,4.1
155,21743,Lynn Bowden Jr.,NO,WR,15,0,0,0,0,0,2,16,0,0,0,0,0,0.2,3.6
156,21739,Van Jefferson,ATL,WR,17,0,0,0,0,0,2,15,0,0,0,0,0,0.2,3.5
157,24347,Xavier Hutchinson,HOU,WR,16,0,0,0,0,0,2,14,0,0,0,0,0,0.2,3.4
158,21957,Quez Watkins,PHI,WR,9,0,0,0,0,0,2,11,0,0,0,0,0,0.3,3.1
159,14865,Marquise Goodwin,CLE,WR,12,0,0,0,0,0,2,10,0,0,0,0,0,0.2,3.0
160,13227,Randall Cobb,NYJ,WR,11,0,0,0,0,0,2,9,0,0,0,0,0,0.3,2.9
161,13291,Julio Jones,PHI,WR,11,0,0,0,0,0,2,8,0,0,0,0,0,0.3,2.8
162,23160,John Metchie III,HOU,WR,16,0,0,0,0,0,1,17,0,0,0,0,0,0.2,2.7
163,17914,Laquon Treadwell,BAL,WR,5,0,0,0,0,0,1,16,0,0,0,0,0,0.5,2.6
164,22685,Terrace Marshall Jr.,CAR,WR,9,0,0,0,0,0,2,4,0,0,0,0,0,0.3,2.4
165,22892,Tim Jones,JAX,WR,17,0,0,0,0,0,1,12,0,0,0,0,0,0.1,2.2
166,23368,Jalen Nailor,MIN,WR,6,0,0,0,0,0,1,9,0,0,0,0,0,0.3,1.9
167,19172,Zach Pascal,ARI,WR,14,0,0,0,0,0,1,9,0,0,0,0,0,0.1,1.9
168,20081,Trent Sherfield Sr.,BUF,WR,17,0,0,0,0,0,1,9,0,0,0,0,0,0.1,1.9
169,21072,Keelan Doss,LAC,WR,5,0,0,0,0,0,1,8,0,0,0,0,0,0.4,1.8
170,21725,Trishton Jackson,MIN,WR,7,0,0,0,0,0,1,7,0,0,0,0,0,0.2,1.7
171,24397,Jalen Brooks,DAL,WR,7,0,0,0,0,0,1,7,0,0,0,0,0,0.2,1.7
172,22415,Mason Kinsey,TEN,WR,6,0,0,0,0,0,1,6,0,0,0,0,0,0.3,1.6
173,21169,Malik Taylor,NYJ,WR,3,0,0,0,0,0,1,6,0,0,0,0,0,0.5,1.6
174,24121,Derius Davis,LAC,WR,17,0,0,0,0,0,1,6,0,0,0,0,0,0.1,1.6
175,22973,Austin Trammell,LAR,WR,16,0,0,0,0,0,1,6,0,0,0,0,0,0.1,1.6
176,21448,Jalen Guyton,LAC,WR,8,0,0,0,0,0,1,5,0,0,0,0,0,0.2,1.5
177,17961,Sterling Shepard,NYG,WR,15,0,0,0,0,0,1,5,0,0,0,0,0,0.1,1.5
178,17218,DeAndre Carter,LV,WR,17,0,0,0,0,0,1,3,0,0,0,0,0,0.1,1.3
179,19755,River Cracraft,MIA,WR,10,0,0,0,0,0,1,3,0,0,0,0,0,0.1,1.3
180,23909,Kwamie Lassiter II,CIN,WR,1,0,0,0,0,0,1,2,0,0,0,0,0,1.2,1.2
181,23119,Treylon Burks,TEN,WR,11,0,0,0,0,0,1,1,0,0,0,0,0,0.1,1.1
182,13870,Marvin Jones Jr.,DET,WR,6,0,0,0,0,0,2,8,0,0,0,0,0,0.1,0.8
183,23325,Erik Ezukanma,MIA,WR,2,0,0,0,5,0,0,0,0,0,0,0,0,0.2,0.5
184,21400,Steven Sims,HOU,WR,3,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.1
185,22594,Frank Darby,ATL,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
186,19897,Tre'Quan Smith,DEN,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
187,22417,Kristian Wilkerson,LV,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
188,23998,Ethan Fernea,IND,WR,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
189,20886,Stanley Morgan Jr.,CIN,WR,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
190,22591,Dez Fitzpatrick,PIT,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
191,21601,Gunner Olszewski,NYG,WR,12,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
192,21750,Marquez Callaway,NO,WR,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
193,23302,Britain Covey,PHI,WR,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
194,21724,Easop Winston Jr.,SEA,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
195,20792,N'Keal Harry,MIN,WR,9,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
196,23166,Rakim Jarrett,TB,WR,10,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
197,23604,Montrell Washington,KC,WR,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
198,17141,Damiere Byrd,ATL,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
199,19064,Trent Taylor,CHI,WR,17,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
200,20963,Cody Thompson,SEA,WR,7,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
201,16837,Chris Conley,SF,WR,8,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
202,21115,Juwann Winfree,IND,WR,8,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
203,23164,Kearis Jackson,TEN,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
204,22569,Dee Eskridge,SEA,WR,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
205,22683,Jacob Harris,JAX,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
206,21037,Miles Boykin,PIT,WR,17,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
207,24629,Terrell Bynum,LAC,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
208,22644,DJ Turner,LV,WR,10,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
209,23163,Justyn Ross,KC,WR,10,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
210,21473,D.J. Montgomery,IND,WR,7,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
211,21723,James Proche II,CLE,WR,10,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
212,20939,David Sills,DEN,WR,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
213,23099,Michael Bandy,DEN,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
214,24577,Chase Cota,HOU,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
215,24293,Antoine Green,DET,WR,9,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
216,21730,Collin Johnson,CHI,WR,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
217,22620,Mike Strachan,CAR,WR,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
218,23962,Irvin Charles,NYJ,WR,12,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
219,7651,Matthew Slater,NE,WR,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
220,16855,Ty Montgomery II,NE,WR,13,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
221,22596,Jaelon Darden,CLE,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
222,23624,Dareke Young,SEA,WR,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
223,24494,Colton Dowell,TEN,WR,10,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
224,24875,Dylan Drummond,DET,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
225,20820,Andy Isabella,BUF,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
226,24894,Lucky Jackson,MIN,WR,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
227,22339,Kirk Merritt,NO,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
228,23659,Tay Martin,SF,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
229,16141,Willie Snead IV,SF,WR,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
230,21752,Chase Claypool,MIA,WR,12,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
231,22604,Tylan Wallace,BAL,WR,11,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
232,22488,Chris Blair,ATL,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
233,16790,Phillip Dorsett,DEN,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
234,24571,Cephus Johnson III,TB,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
235,24471,Ryan Miller,TB,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
236,23121,Kayshon Boutte,NE,WR,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
237,20398,Equanimeous St. Brown,CHI,WR,7,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
238,22345,Dan Chisena,ARI,WR,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
239,24749,Shedrick Jackson,CIN,WR,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
240,23481,Velus Jones Jr.,CHI,WR,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
241,22575,Amari Rodgers,IND,WR,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
242,22600,Johnny Johnson III,HOU,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
243,22234,Andre Baccellia,ARI,WR,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
244,23587,Devon Allen,PHI,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
245,24342,Mitchell Tinsley,WAS,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
