rank,id,player,team,pos,gp,redzone_pass_yds,redzone_pass_td,redzone_pass_int,redzone_rush_yds,redzone_rush_td,redzone_rec,redzone_rec_yds,redzone_rec_td,redzone_fpts_ppr
1,18882,Cooper Kupp,LAR,WR,17,0,0,0,-5,0,27,209,13,127.4
2,16906,Stefon Diggs,BUF,WR,17,0,0,0,0,0,20,154,10,95.4
3,16470,Davante Adams,GB,WR,16,0,0,0,0,0,18,110,10,89.0
4,20924,Hunter Renfrow,LV,WR,17,0,0,0,0,0,18,114,9,83.4
5,16597,Mike Evans,TB,WR,16,0,0,0,0,0,14,93,10,83.3
6,20875,DK Metcalf,SEA,WR,17,0,0,0,0,0,13,125,9,79.5
7,15534,Adam Thielen,MIN,WR,13,0,0,0,0,0,13,105,9,77.5
8,18082,Tyreek Hill,KC,WR,17,0,0,0,6,0,16,101,7,68.7
9,18880,Chris Godwin,TB,WR,14,0,0,0,2,1,20,130,5,67.2
10,15076,Keenan Allen,LAC,WR,16,0,0,0,0,0,17,113,6,66.3
11,14986,DeAndre Hopkins,ARI,WR,10,0,0,0,0,0,8,89,8,64.9
12,21685,Justin Jefferson,MIN,WR,17,0,0,0,0,0,12,108,7,64.8
13,20932,Deebo Samuel Sr.,SF,WR,16,0,0,0,85,6,4,29,2,63.4
14,22598,Jaylen Waddle,MIA,WR,16,0,0,0,1,1,12,51,6,59.2
15,20145,Allen Lazard,GB,WR,15,0,0,0,0,0,8,73,7,57.3
16,21077,Diontae Johnson,PIT,WR,16,0,0,0,0,0,13,88,5,53.8
17,16765,Amari Cooper,DAL,WR,15,0,0,0,0,0,14,84,5,52.4
18,21735,Gabe Davis,BUF,WR,16,0,0,0,0,0,9,74,6,52.4
19,14871,Robert Woods,LAR,WR,9,0,0,0,21,1,9,66,4,49.7
20,18914,Mike Williams,LAC,WR,16,0,0,0,0,0,9,83,5,49.3
21,22564,Ja'Marr Chase,CIN,WR,17,0,0,0,0,0,10,87,5,48.7
22,22587,Amon-Ra St. Brown,DET,WR,17,0,0,0,0,0,10,82,4,46.2
23,22592,Elijah Moore,NYJ,WR,11,0,0,0,26,1,5,53,4,42.9
24,21744,Michael Pittman Jr.,IND,WR,17,0,0,0,8,0,8,68,4,41.6
25,21747,Brandon Aiyuk,SF,WR,17,0,0,0,0,0,5,39,5,40.9
26,21690,Tee Higgins,CIN,WR,14,0,0,0,0,0,7,62,4,39.2
27,21961,Darnell Mooney,CHI,WR,17,0,0,0,18,1,7,61,3,38.9
28,21734,Nick Westbrook-Ikhine,TEN,WR,16,0,0,0,0,0,9,68,4,37.8
