rank,id,player,team,pos,gp,redzone_pass_yds,redzone_pass_td,redzone_pass_int,redzone_rush_yds,redzone_rush_td,redzone_rec,redzone_rec_yds,redzone_rec_td,redzone_fpts_ppr
1,21679,CeeDee Lamb,DAL,WR,17,0,0,0,17,2,18,151,9,102.8
2,20876,Jakobi Meyers,LV,WR,16,3,1,0,22,2,12,99,6,76.2
3,19800,Courtland Sutton,DEN,WR,16,0,0,0,0,0,13,116,8,72.6
4,20932,Deebo Samuel Sr.,SF,WR,15,0,0,0,53,4,12,104,3,69.7
5,22587,Amon-Ra St. Brown,DET,WR,16,0,0,0,3,0,17,127,6,66.0
6,24120,Rashee Rice,KC,WR,16,0,0,0,0,0,16,116,6,63.6
7,16470,Davante Adams,LV,WR,17,0,0,0,0,0,17,80,6,61.0
8,23233,Jayden Reed,GB,WR,16,0,0,0,15,1,11,90,5,59.5
9,16906,Stefon Diggs,BUF,WR,17,0,0,0,5,0,11,93,6,58.8
10,23167,Romeo Doubs,GB,WR,17,0,0,0,0,0,9,66,7,57.6
11,19802,Calvin Ridley,JAX,WR,17,0,0,0,3,0,10,80,6,56.3
12,20875,DK Metcalf,SEA,WR,16,0,0,0,0,0,10,79,6,53.9
13,21756,Nico Collins,HOU,WR,15,0,0,0,0,0,9,62,6,53.2
14,16568,Brandin Cooks,DAL,WR,16,0,0,0,15,0,7,48,6,51.3
15,23162,Jordan Addison,MIN,WR,17,0,0,0,2,0,9,79,5,47.1
16,18928,Curtis Samuel,WAS,WR,16,0,0,0,18,1,8,60,4,45.8
17,16597,Mike Evans,TB,WR,17,0,0,0,0,0,7,87,5,45.7
18,18882,Cooper Kupp,LAR,WR,12,0,0,0,-3,0,12,79,4,45.6
19,19844,DJ Moore,CHI,WR,17,0,0,0,16,1,8,59,4,45.5
20,21735,Gabe Davis,BUF,WR,17,0,0,0,0,0,6,64,5,44.4
21,18082,Tyreek Hill,MIA,WR,16,0,0,0,-10,0,15,54,4,43.4
22,15076,Keenan Allen,LAC,WR,13,0,0,0,4,0,8,49,5,43.3
23,21747,Brandon Aiyuk,SF,WR,16,0,0,0,0,0,6,70,5,43.0
24,22564,Ja'Marr Chase,CIN,WR,16,0,0,0,0,0,12,68,4,42.8
25,21042,A.J. Brown,PHI,WR,17,0,0,0,0,0,10,77,4,41.7
26,15534,Adam Thielen,CAR,WR,17,0,0,0,6,0,9,60,4,41.6
27,23395,Christian Watson,GB,WR,9,0,0,0,-5,0,6,57,5,41.2
28,16830,Tyler Lockett,SEA,WR,17,0,0,0,0,0,7,54,4,40.4
29,21744,Michael Pittman Jr.,IND,WR,16,0,0,0,0,0,14,102,2,40.2
30,22565,Chris Olave,NO,WR,16,0,0,0,0,0,7,53,4,38.3
31,14986,DeAndre Hopkins,TEN,WR,17,0,0,0,9,0,7,55,4,37.4
32,24172,Puka Nacua,LAR,WR,17,0,0,0,9,0,9,84,3,36.3
33,23120,Zay Flowers,BAL,WR,16,0,0,0,9,0,11,40,3,35.9
34,19017,Josh Reynolds,DET,WR,17,0,0,0,0,0,6,35,4,33.5
35,19816,DJ Chark,CAR,WR,15,0,0,0,0,0,4,44,4,32.4
36,21690,Tee Higgins,CIN,WR,12,0,0,0,0,0,7,65,3,31.5
37,23151,Drake London,ATL,WR,16,0,0,0,0,0,10,61,2,30.1
38,24119,Andrei Iosivas,CIN,WR,16,0,0,0,0,0,4,15,4,29.5
39,19318,Kendrick Bourne,NE,WR,8,0,0,0,0,0,6,45,3,28.5
40,16781,Nelson Agholor,BAL,WR,17,0,0,0,0,0,6,43,3,28.3
41,24173,Michael Wilson,ARI,WR,13,0,0,0,0,0,4,43,3,28.3
42,24176,Tank Dell,HOU,WR,11,0,0,0,6,0,5,44,3,28.0
43,23122,Garrett Wilson,NYJ,WR,17,0,0,0,0,0,10,53,2,27.3
44,21687,DeVonta Smith,PHI,WR,16,0,0,0,0,0,5,38,3,26.8
45,16765,Amari Cooper,CLE,WR,15,0,0,0,0,0,6,55,2,25.5
46,21077,Diontae Johnson,PIT,WR,13,0,0,0,0,0,5,23,3,25.3
47,21045,Marquise Brown,ARI,WR,14,0,0,0,0,0,5,19,3,24.9
48,24349,A.T. Perry,NO,WR,10,0,0,0,0,0,3,39,3,24.9
49,18880,Chris Godwin,TB,WR,17,0,0,0,19,1,5,33,1,24.2
50,21760,Isaiah Hodgins,NYG,WR,17,0,0,0,0,0,3,31,3,24.1
51,18047,Demarcus Robinson,LAR,WR,16,0,0,0,0,0,4,17,3,23.7
52,22627,Ronnie Bell,SF,WR,17,0,0,0,0,0,3,26,3,23.6
53,24339,Jake Bobo,SEA,WR,17,0,0,0,3,1,2,23,2,22.6
54,22592,Elijah Moore,CLE,WR,17,0,0,0,-20,0,8,44,2,22.4
55,19922,Justin Watson,KC,WR,16,0,0,0,0,0,3,13,3,22.3
56,18926,Zay Jones,JAX,WR,9,0,0,0,0,0,6,43,2,22.3
57,24068,KaVontae Turpin,DAL,WR,16,0,0,0,13,1,5,31,1,21.4
58,23763,Brandon Johnson,DEN,WR,13,0,0,0,0,0,4,34,2,21.4
59,23155,Jahan Dotson,WAS,WR,17,0,0,0,0,0,5,32,2,20.2
60,17986,Tyler Boyd,CIN,WR,17,0,0,0,0,0,5,29,2,19.9
61,22602,Tutu Atwell,LAR,WR,16,0,0,0,0,0,3,7,2,19.7
62,23157,Jaxon Smith-Njigba,SEA,WR,17,0,0,0,0,0,4,37,2,19.7
63,22598,Jaylen Waddle,MIA,WR,14,0,0,0,0,0,4,36,2,19.6
64,23253,Dontayvion Wicks,GB,WR,15,0,0,0,0,0,4,36,2,19.6
65,21714,K.J. Osborn,MIN,WR,16,0,0,0,0,0,4,34,2,19.4
66,21734,Nick Westbrook-Ikhine,TEN,WR,14,0,0,0,0,0,3,20,2,19.0
67,24143,Parker Washington,JAX,WR,9,0,0,0,0,0,3,34,2,18.4
68,21692,Jerry Jeudy,DEN,WR,16,0,0,0,0,0,8,41,1,18.1
69,20816,Lil'Jordan Humphrey,DEN,WR,17,0,0,0,0,0,4,17,2,17.7
70,24226,Quentin Johnston,LAC,WR,17,0,0,0,0,0,4,17,2,17.7
71,13291,Julio Jones,PHI,WR,11,0,0,0,0,0,3,26,2,17.6
72,21138,Scotty Miller,ATL,WR,17,0,0,0,0,0,3,14,2,16.4
73,22597,Jalen Tolbert,DAL,WR,17,0,0,0,0,0,3,8,2,15.8
74,24472,Xavier Gipson,NYJ,WR,17,0,0,0,23,1,5,17,0,15.0
75,20013,Cedrick Wilson Jr.,MIA,WR,15,0,0,0,0,0,2,9,2,14.9
76,24217,Trey Palmer,TB,WR,17,0,0,0,0,0,2,8,2,14.8
77,24145,Josh Downs,IND,WR,17,0,0,0,0,0,5,32,1,14.2
78,20873,Terry McLaurin,WAS,WR,17,0,0,0,0,0,5,31,1,14.1
79,13227,Randall Cobb,NYJ,WR,11,0,0,0,0,0,3,31,1,14.1
80,16389,Odell Beckham Jr.,BAL,WR,14,0,0,0,0,0,5,30,1,14.0
81,23234,Jameson Williams,DET,WR,12,0,0,0,19,1,3,27,0,13.6
82,23729,Rashid Shaheed,NO,WR,15,0,0,0,0,0,3,34,1,12.4
83,20487,Brandon Powell,MIN,WR,17,0,0,0,0,0,4,23,1,12.3
84,24177,Tre Tucker,LV,WR,16,0,0,0,4,0,3,20,1,11.4
85,23170,Wan'Dale Robinson,NYG,WR,15,0,0,0,7,0,3,17,1,11.4
86,14871,Robert Woods,HOU,WR,14,0,0,0,0,0,3,23,1,11.3
87,21685,Justin Jefferson,MIN,WR,10,0,0,0,-12,0,4,25,1,11.3
88,23746,Deven Thompkins,TB,WR,17,0,0,0,21,0,2,10,1,11.1
89,23168,Skyy Moore,KC,WR,14,0,0,0,0,0,3,20,1,11.0
90,21957,Quez Watkins,PHI,WR,9,0,0,0,0,0,3,20,1,11.0
91,20038,Braxton Berrios,MIA,WR,16,0,0,0,0,0,2,29,1,10.9
92,20943,Darius Slayton,NYG,WR,17,0,0,0,0,0,2,28,1,10.8
93,21448,Jalen Guyton,LAC,WR,8,0,0,0,0,0,2,26,1,10.6
94,19867,Michael Gallup,DAL,WR,17,0,0,0,0,0,3,14,1,10.4
95,21961,Darnell Mooney,CHI,WR,15,0,0,0,3,0,2,19,1,10.2
96,18197,Alex Erickson,LAC,WR,8,0,0,0,0,0,2,22,1,10.2
97,23227,Khalil Shakir,BUF,WR,17,0,0,0,10,0,2,12,1,10.2
98,20145,Allen Lazard,NYJ,WR,14,0,0,0,0,0,2,21,1,10.1
99,17960,Michael Thomas,NO,WR,10,0,0,0,0,0,2,21,1,10.1
100,23482,Bo Melton,GB,WR,5,0,0,0,0,0,2,16,1,9.6
101,20081,Trent Sherfield Sr.,BUF,WR,17,0,0,0,0,0,2,15,1,9.5
102,18883,JuJu Smith-Schuster,NE,WR,11,0,0,0,0,0,2,14,1,9.4
103,21163,Deonte Harty,BUF,WR,16,0,0,0,-3,0,3,6,1,9.3
104,17961,Sterling Shepard,NYG,WR,15,0,0,0,6,0,2,6,1,9.2
105,22614,Kadarius Toney,KC,WR,13,0,0,0,-5,0,3,6,1,9.1
106,21071,Greg Dortch,ARI,WR,16,0,0,0,0,0,2,11,1,9.1
107,19080,Noah Brown,HOU,WR,10,0,0,0,-1,0,2,12,1,9.1
108,21752,Chase Claypool,MIA,WR,12,0,0,0,0,0,1,20,1,9.0
109,22590,Ben Skowronek,LAR,WR,17,0,0,0,0,0,1,20,1,9.0
110,22595,Ihmir Smith-Marsette,CAR,WR,17,0,0,0,29,1,0,0,0,8.9
111,24362,Malik Heath,GB,WR,13,0,0,0,0,0,2,9,1,8.9
112,21717,Jauan Jennings,SF,WR,13,0,0,0,0,0,1,18,1,8.8
113,21473,D.J. Montgomery,IND,WR,7,0,0,0,0,0,1,14,1,8.4
114,19755,River Cracraft,MIA,WR,10,0,0,0,0,0,2,4,1,8.4
115,22623,Rashod Bateman,BAL,WR,16,0,0,0,0,0,1,10,1,8.0
116,22645,Simi Fehoko,LAC,WR,6,0,0,0,0,0,1,9,1,7.9
117,21675,Tyler Johnson,LAR,WR,1,0,0,0,0,0,1,8,1,7.8
118,24345,Jason Brownlee,NYJ,WR,7,0,0,0,0,0,1,8,1,7.8
119,20071,Keith Kirkwood,NO,WR,13,0,0,0,0,0,1,7,1,7.7
120,21263,Trenton Irwin,CIN,WR,16,0,0,0,0,0,5,23,0,7.3
121,22566,Calvin Austin III,PIT,WR,17,0,0,0,7,1,0,0,0,6.7
122,22626,Rondale Moore,ARI,WR,17,0,0,0,-1,0,4,20,0,5.9
123,18422,Kalif Raymond,DET,WR,17,0,0,0,-2,0,3,25,0,5.3
124,20924,Hunter Renfrow,LV,WR,17,0,0,0,0,0,5,23,0,5.3
125,24220,Tyler Scott,CHI,WR,17,0,0,0,0,0,3,16,0,4.6
126,23153,George Pickens,PIT,WR,17,0,0,0,0,0,3,16,0,4.6
127,22613,Joshua Palmer,LAC,WR,10,0,0,0,0,0,3,15,0,4.5
128,24180,Demario Douglas,NE,WR,14,0,0,0,0,0,3,13,0,4.3
129,24348,Cedric Tillman,CLE,WR,14,0,0,0,0,0,2,21,0,4.1
130,16855,Ty Montgomery II,NE,WR,13,0,0,0,0,0,2,20,0,4.0
131,23165,Marvin Mims Jr.,DEN,WR,16,0,0,0,19,0,1,4,0,3.3
132,19976,Marquez Valdes-Scantling,KC,WR,16,0,0,0,0,0,2,11,0,3.1
133,19815,Christian Kirk,JAX,WR,12,0,0,0,0,0,3,16,0,2.6
134,21005,Parris Campbell,NYG,WR,12,0,0,0,0,0,2,5,0,2.5
135,23634,Samori Toure,GB,WR,11,0,0,0,0,0,1,-6,0,2.4
136,19044,Jamal Agnew,JAX,WR,11,0,0,0,-2,0,1,14,0,2.2
137,21725,Trishton Jackson,MIN,WR,7,0,0,0,0,0,0,0,0,2.0
138,22685,Terrace Marshall Jr.,CAR,WR,9,0,0,0,0,0,1,9,0,1.9
139,21697,Laviska Shenault Jr.,CAR,WR,8,0,0,0,18,0,0,0,0,1.8
140,19961,Ray-Ray McCloud,SF,WR,12,0,0,0,0,0,1,8,0,1.8
141,24347,Xavier Hutchinson,HOU,WR,16,0,0,0,8,0,1,0,0,1.8
142,19023,Mack Hollins,ATL,WR,13,0,0,0,0,0,1,7,0,1.7
143,14865,Marquise Goodwin,CLE,WR,12,0,0,0,17,0,0,0,0,1.7
144,18030,Chris Moore,TEN,WR,17,0,0,0,0,0,1,6,0,1.6
145,20788,Mecole Hardman Jr.,KC,WR,11,0,0,0,0,0,1,6,0,1.6
146,21739,Van Jefferson,ATL,WR,17,0,0,0,0,0,1,6,0,1.6
147,16141,Willie Snead IV,SF,WR,4,0,0,0,0,0,1,5,0,1.5
148,24121,Derius Davis,LAC,WR,17,0,0,0,7,0,1,-3,0,1.4
149,20077,Richie James,KC,WR,9,0,0,0,0,0,1,4,0,1.4
150,21721,Devin Duvernay,BAL,WR,13,0,0,0,0,0,1,3,0,1.3
151,22686,Dyami Brown,WAS,WR,17,4,0,0,0,0,1,0,0,1.2
152,23325,Erik Ezukanma,MIA,WR,2,0,0,0,11,0,0,0,0,1.1
153,16263,Allen Robinson II,PIT,WR,17,0,0,0,0,0,1,-1,0,0.9
154,23119,Treylon Burks,TEN,WR,11,0,0,0,-3,0,1,1,0,0.8
155,19172,Zach Pascal,ARI,WR,14,0,0,0,0,0,1,-4,0,0.6
156,23160,John Metchie III,HOU,WR,16,0,0,0,4,0,0,0,0,0.4
157,23469,Tyquan Thornton,NE,WR,9,0,0,0,3,0,0,0,0,0.3
158,17218,DeAndre Carter,LV,WR,17,0,0,0,3,0,0,0,0,0.3
159,21686,Jalen Reagor,NE,WR,11,0,0,0,0,0,0,0,0,0.0
160,20820,Andy Isabella,BUF,WR,2,0,0,0,0,0,0,0,0,0.0
161,20792,N'Keal Harry,MIN,WR,9,0,0,0,0,0,0,0,0,0.0
162,20679,KhaDarel Hodge,ATL,WR,17,0,0,0,0,0,0,0,0,0.0
163,23659,Tay Martin,SF,WR,1,0,0,0,0,0,0,0,0,0.0
164,20398,Equanimeous St. Brown,CHI,WR,7,0,0,0,0,0,0,0,0,0.0
165,20150,Byron Pringle,WAS,WR,17,0,0,0,0,0,0,0,0,0.0
166,23962,Irvin Charles,NYJ,WR,12,0,0,0,0,0,0,0,0,0.0
167,23998,Ethan Fernea,IND,WR,3,0,0,0,0,0,0,0,0,0.0
168,22569,Dee Eskridge,SEA,WR,4,0,0,0,0,0,0,0,0,0.0
169,22575,Amari Rodgers,IND,WR,3,0,0,0,0,0,0,0,0,0.0
170,22591,Dez Fitzpatrick,PIT,WR,1,0,0,0,0,0,0,0,0,0.0
171,19064,Trent Taylor,CHI,WR,17,0,0,0,0,0,0,0,0,0.0
172,19043,Isaiah McKenzie,IND,WR,13,0,0,0,0,0,0,0,0,0.0
173,17914,Laquon Treadwell,BAL,WR,5,0,0,0,0,0,0,0,0,0.0
174,24629,Terrell Bynum,LAC,WR,1,0,0,0,0,0,0,0,0,0.0
175,24293,Antoine Green,DET,WR,9,0,0,0,0,0,0,0,0,0.0
176,24571,Cephus Johnson III,TB,WR,1,0,0,0,0,0,0,0,0,0.0
177,24875,Dylan Drummond,DET,WR,1,0,0,0,0,0,0,0,0,0.0
178,24755,Elijah Cooks,JAX,WR,9,0,0,0,0,0,0,0,0,0.0
179,16790,Phillip Dorsett,DEN,WR,2,0,0,0,0,0,0,0,0,0.0
180,24894,Lucky Jackson,MIN,WR,3,0,0,0,0,0,0,0,0,0.0
181,16775,DeVante Parker,NE,WR,13,0,0,0,0,0,0,0,0,0.0
182,7651,Matthew Slater,NE,WR,16,0,0,0,0,0,0,0,0,0.0
183,24749,Shedrick Jackson,CIN,WR,3,0,0,0,0,0,0,0,0,0.0
184,24577,Chase Cota,HOU,WR,1,0,0,0,0,0,0,0,0,0.0
185,24494,Colton Dowell,TEN,WR,10,0,0,0,0,0,0,0,0,0.0
186,24471,Ryan Miller,TB,WR,1,0,0,0,0,0,0,0,0,0.0
187,24397,Jalen Brooks,DAL,WR,7,0,0,0,0,0,0,0,0,0.0
188,16837,Chris Conley,SF,WR,8,0,0,0,0,0,0,0,0,0.0
189,16866,Jamison Crowder,WAS,WR,17,0,0,0,0,0,0,0,0,0.0
190,18187,Robbie Chosen,MIA,WR,9,0,0,0,0,0,0,0,0,0.0
191,24342,Mitchell Tinsley,WAS,WR,2,0,0,0,0,0,0,0,0,0.0
192,18914,Mike Williams,LAC,WR,3,0,0,0,0,0,0,0,0,0.0
193,24125,Jalin Hyatt,NYG,WR,17,0,0,0,0,0,0,0,0,0.0
194,24122,Charlie Jones,CIN,WR,11,0,0,0,0,0,0,0,0,0.0
195,23909,Kwamie Lassiter II,CIN,WR,1,0,0,0,0,0,0,0,0,0.0
196,17141,Damiere Byrd,ATL,WR,1,0,0,0,0,0,0,0,0,0.0
197,19897,Tre'Quan Smith,DEN,WR,1,0,0,0,0,0,0,0,0,0.0
198,23604,Montrell Washington,KC,WR,6,0,0,0,0,0,0,0,0,0.0
199,19120,David Moore,TB,WR,7,0,0,0,0,0,0,0,0,0.0
200,23587,Devon Allen,PHI,WR,2,0,0,0,0,0,0,0,0,0.0
201,23481,Velus Jones Jr.,CHI,WR,14,0,0,0,0,0,0,0,0,0.0
202,23463,Kyle Philips,TEN,WR,9,0,0,0,0,0,0,0,0,0.0
203,23368,Jalen Nailor,MIN,WR,6,0,0,0,0,0,0,0,0,0.0
204,21072,Keelan Doss,LAC,WR,5,0,0,0,0,0,0,0,0,0.0
205,23302,Britain Covey,PHI,WR,16,0,0,0,0,0,0,0,0,0.0
206,23232,Alec Pierce,IND,WR,17,0,0,0,0,0,0,0,0,0.0
207,23121,Kayshon Boutte,NE,WR,5,0,0,0,0,0,0,0,0,0.0
208,20886,Stanley Morgan Jr.,CIN,WR,3,0,0,0,0,0,0,0,0,0.0
209,21142,Olamide Zaccheaus,PHI,WR,17,0,0,0,0,0,0,0,0,0.0
210,22973,Austin Trammell,LAR,WR,16,0,0,0,0,0,0,0,0,0.0
211,22683,Jacob Harris,JAX,WR,2,0,0,0,0,0,0,0,0,0.0
212,20939,David Sills,DEN,WR,3,0,0,0,0,0,0,0,0,0.0
213,22644,DJ Turner,LV,WR,10,0,0,0,0,0,0,0,0,0.0
214,21743,Lynn Bowden Jr.,NO,WR,15,0,0,0,0,0,0,0,0,0.0
215,21169,Malik Taylor,NYJ,WR,3,0,0,0,0,0,0,0,0,0.0
216,22604,Tylan Wallace,BAL,WR,11,0,0,0,0,0,0,0,0,0.0
217,22234,Andre Baccellia,ARI,WR,5,0,0,0,0,0,0,0,0,0.0
218,22600,Johnny Johnson III,HOU,WR,1,0,0,0,0,0,0,0,0,0.0
219,22488,Chris Blair,ATL,WR,1,0,0,0,0,0,0,0,0,0.0
220,22596,Jaelon Darden,CLE,WR,1,0,0,0,0,0,0,0,0,0.0
221,21723,James Proche II,CLE,WR,10,0,0,0,0,0,0,0,0,0.0
222,21724,Easop Winston Jr.,SEA,WR,1,0,0,0,0,0,0,0,0,0.0
223,21730,Collin Johnson,CHI,WR,3,0,0,0,0,0,0,0,0,0.0
224,22620,Mike Strachan,CAR,WR,4,0,0,0,0,0,0,0,0,0.0
225,22594,Frank Darby,ATL,WR,1,0,0,0,0,0,0,0,0,0.0
226,23148,David Bell,CLE,WR,15,0,0,0,0,0,0,0,0,0.0
227,22345,Dan Chisena,ARI,WR,4,0,0,0,0,0,0,0,0,0.0
228,23164,Kearis Jackson,TEN,WR,2,0,0,0,0,0,0,0,0,0.0
229,22339,Kirk Merritt,NO,WR,1,0,0,0,0,0,0,0,0,0.0
230,22415,Mason Kinsey,TEN,WR,6,0,0,0,0,0,0,0,0,0.0
231,22417,Kristian Wilkerson,LV,WR,2,0,0,0,0,0,0,0,0,0.0
232,22892,Tim Jones,JAX,WR,17,0,0,0,0,0,0,0,0,0.0
233,21754,Donovan Peoples-Jones,DET,WR,15,0,0,0,0,0,0,0,0,0.0
234,21750,Marquez Callaway,NO,WR,3,0,0,0,0,0,0,0,0,0.0
235,23166,Rakim Jarrett,TB,WR,10,0,0,0,0,0,0,0,0,0.0
236,21601,Gunner Olszewski,NYG,WR,12,0,0,0,0,0,0,0,0,0.0
237,21037,Miles Boykin,PIT,WR,17,0,0,0,0,0,0,0,0,0.0
238,23099,Michael Bandy,DEN,WR,1,0,0,0,0,0,0,0,0,0.0
239,21400,Steven Sims,HOU,WR,3,0,0,0,0,0,0,0,0,0.0
240,23161,Jonathan Mingo,CAR,WR,15,0,0,0,0,0,0,0,0,0.0
241,21115,Juwann Winfree,IND,WR,8,0,0,0,0,0,0,0,0,0.0
242,23163,Justyn Ross,KC,WR,10,0,0,0,0,0,0,0,0,0.0
