rank,id,player,team,pos,Targets,Receptions,ReceivingYards,ReceivingTDs,AverageCushion,TargetSeparation,TrueCatchRate,ContestedTargets,ContestedCatches,ReceiverContestedCatchRate,YardsPerReception,YardsPerTarget,YardsPerRouteRun,Drops,DropRate
97,16790,Phillip Dorsett,HOU,WR,40,20,257,1,5.3,1.7,87.0,12,4,0.3,12.8,6.4,1.0,3.0,7.5
98,20398,Equanimeous St. Brown,CHI,WR,38,21,323,1,5.6,2.1,72.4,5,0,0.0,15.4,8.5,1.5,2.0,5.3
99,22602,Tutu Atwell,LAR,WR,35,18,298,1,4.8,1.5,75.0,4,2,0.5,16.6,8.5,1.8,1.0,2.9
100,23148,David Bell,CLE,WR,35,24,214,0,4.8,2.5,88.9,10,4,0.4,8.9,6.1,0.8,2.0,5.7
101,23729,Rashid Shaheed,NO,WR,34,28,488,2,5.3,2.0,96.5,4,1,0.2,17.4,14.3,2.8,0.0,0.0
102,20788,Mecole Hardman Jr.,KC,WR,34,25,297,4,4.3,2.7,89.3,3,1,0.3,11.9,8.7,1.5,1.0,2.9
103,19922,Justin Watson,KC,WR,34,15,315,2,4.7,2.0,65.2,4,1,0.2,21.0,9.3,1.3,5.0,14.7
104,23168,Skyy Moore,KC,WR,33,22,250,0,4.8,2.1,88.0,6,4,0.7,11.4,7.6,1.7,2.0,6.1
105,20487,Brandon Powell,LAR,WR,32,24,156,0,4.8,2.6,92.3,3,1,0.3,6.5,4.9,1.2,1.0,3.1
106,20038,Braxton Berrios,NYJ,WR,32,18,145,0,4.2,2.0,78.3,5,2,0.4,8.1,4.5,0.8,3.0,9.4
107,21697,Laviska Shenault Jr.,CAR,WR,32,27,272,1,4.5,1.9,87.1,2,1,0.5,10.1,8.5,3.2,3.0,9.4
108,21750,Marquez Callaway,NO,WR,32,16,158,1,5.5,0.9,64.0,11,5,0.5,9.9,4.9,0.9,2.0,6.2
109,23170,Wan'Dale Robinson,NYG,WR,31,23,227,1,4.5,1.9,88.5,4,2,0.5,9.9,7.3,2.0,2.0,6.5
110,19044,Jamal Agnew,JAX,WR,30,23,187,3,4.5,2.4,88.5,4,2,0.5,8.1,6.2,2.7,3.0,10.0
111,22623,Rashod Bateman,BAL,WR,28,15,285,2,4.3,2.2,68.2,5,2,0.4,19.0,10.2,2.6,6.0,21.4
112,19897,Tre'Quan Smith,NO,WR,27,19,278,1,5.3,1.5,82.6,6,2,0.3,14.6,10.3,1.6,1.0,3.7
113,19961,Ray-Ray McCloud,SF,WR,25,14,243,1,5.0,2.0,77.8,5,2,0.4,17.4,9.7,1.5,1.0,4.0
114,21741,Denzel Mims,NYJ,WR,25,11,186,0,4.9,1.1,68.8,9,2,0.2,16.9,7.4,1.2,2.0,8.0
115,17961,Sterling Shepard,NYG,WR,24,13,154,1,5.7,1.5,72.2,2,1,0.5,11.8,6.4,1.9,0.0,0.0
116,21400,Steven Sims,PIT,WR,23,14,104,0,4.2,2.5,77.8,2,0,0.0,7.4,4.5,0.7,1.0,4.3
117,21263,Trenton Irwin,CIN,WR,23,15,231,4,4.8,2.3,88.2,6,3,0.5,15.4,10.0,1.3,0.0,0.0
118,17141,Damiere Byrd,ATL,WR,23,13,268,2,6.5,2.2,68.4,5,0,0.0,20.6,11.7,1.8,0.0,0.0
119,21349,Ashton Dulin,IND,WR,22,15,207,1,5.2,1.5,83.3,7,3,0.4,13.8,9.4,2.0,0.0,0.0
120,17960,Michael Thomas,NO,WR,22,16,171,3,4.7,1.3,123.1,5,3,0.6,10.7,7.8,1.6,0.0,0.0
121,23099,Michael Bandy,LAC,WR,21,10,89,0,4.5,1.9,76.9,1,0,0.0,8.9,4.2,0.6,0.0,0.0
122,23227,Khalil Shakir,BUF,WR,20,10,161,1,4.5,1.9,71.4,2,1,0.5,16.1,8.1,1.5,2.0,10.0
123,22614,Kadarius Toney,KC,WR,20,16,171,2,4.1,1.4,94.1,2,2,1.0,10.7,8.6,2.4,2.0,10.0
124,19514,Keelan Cole Sr.,LV,WR,20,10,141,1,4.5,1.6,62.5,5,0,0.0,14.1,7.0,0.6,2.0,10.0
125,20679,KhaDarel Hodge,ATL,WR,20,13,202,1,5.7,2.0,81.2,3,0,0.0,15.5,10.1,3.5,1.0,5.0
126,19172,Zach Pascal,PHI,WR,19,15,150,1,4.6,2.1,88.2,6,4,0.7,10.0,7.9,1.3,0.0,0.0
127,20529,Cam Sims,WAS,WR,18,8,89,0,5.2,1.1,66.7,5,2,0.4,11.1,4.9,0.6,1.0,5.5
128,21723,James Proche II,BAL,WR,17,8,62,0,4.8,1.1,66.7,1,0,0.0,7.8,3.6,0.5,1.0,5.9
129,20013,Cedrick Wilson Jr.,MIA,WR,17,12,136,0,5.5,1.5,150.0,5,2,0.4,11.3,8.0,1.0,1.0,5.9
130,20939,David Sills,NYG,WR,17,11,106,0,5.8,1.5,84.6,1,1,1.0,9.6,6.2,1.1,1.0,5.9
131,21556,Tom Kennedy,DET,WR,16,8,141,0,4.8,2.4,66.7,3,0,0.0,17.6,8.8,1.2,1.0,6.2
132,20150,Byron Pringle,CHI,WR,16,10,135,2,5.4,2.7,90.9,3,1,0.3,13.5,8.4,1.1,0.0,0.0
133,23481,Velus Jones Jr.,CHI,WR,14,7,107,1,5.3,1.0,77.8,5,1,0.2,15.3,7.6,1.8,1.0,7.1
134,21759,KJ Hamler,DEN,WR,14,7,165,0,4.7,1.4,87.5,1,0,0.0,23.6,11.8,1.2,0.0,0.0
135,23763,Brandon Johnson,DEN,WR,14,6,42,1,4.4,1.9,85.7,3,1,0.3,7.0,3.0,0.3,0.0,0.0
136,22686,Dyami Brown,WAS,WR,14,5,143,2,5.0,1.3,83.3,4,0,0.0,28.6,10.2,2.0,0.0,0.0
137,19755,River Cracraft,MIA,WR,14,9,102,2,5.4,1.2,180.0,5,2,0.4,11.3,7.3,1.3,0.0,0.0
138,22569,Dee Eskridge,SEA,WR,13,7,58,0,5.7,2.2,63.6,0,0,,8.3,4.5,0.6,1.0,7.7
139,23368,Jalen Nailor,MIN,WR,13,9,179,1,5.3,2.0,100.0,1,1,1.0,19.9,13.8,6.9,0.0,0.0
