rank,id,player,team,pos,gp,snaps,snaps_per_gp,snap_pct,rush_per_snap,rush_share,tgt_per_snap,tgt_share,touch_per_snap,util_per_snap,fpts_ppr,fpts_ppr_per_snap
1,16855,Ty Montgomery II,NE,WR,1,21,21.0,.37,9.5,.00,19.0,.01,23.8,28.6,10.3,49.0
2,18082,Tyreek Hill,MIA,WR,17,800,47.1,.76,0.9,.02,21.2,.30,15.8,22.1,347.2,43.4
3,18882,Cooper Kupp,LAR,WR,9,530,58.9,.95,1.7,.03,18.5,.20,16.0,20.4,201.4,38.0
4,16906,Stefon Diggs,BUF,WR,16,836,52.2,.77,0.1,.00,18.4,.27,13.0,18.5,316.6,37.9
5,17960,Michael Thomas,NO,WR,3,136,45.3,.25,0.0,.00,16.2,.04,11.8,16.2,51.1,37.6
6,21685,Justin Jefferson,MIN,WR,17,1079,63.5,.92,0.4,.01,17.1,.27,12.4,17.6,368.7,34.2
7,23729,Rashid Shaheed,NO,WR,12,298,24.8,.42,1.3,.01,11.4,.07,10.7,12.8,100.5,33.7
8,22598,Jaylen Waddle,MIA,WR,17,785,46.2,.74,0.4,.01,14.9,.21,9.9,15.3,259.2,33.0
9,22565,Chris Olave,NO,WR,15,607,40.5,.58,0.0,.00,19.6,.23,11.9,19.6,198.2,32.7
10,23395,Christian Watson,GB,WR,14,507,36.2,.46,1.4,.02,13.0,.13,9.5,14.4,164.1,32.4
11,22587,Amon-Ra St. Brown,DET,WR,16,832,52.0,.73,1.1,.02,17.5,.28,13.8,18.6,267.6,32.2
12,16470,Davante Adams,LV,WR,17,1044,61.4,.95,0.3,.01,17.2,.32,9.9,17.5,335.5,32.1
13,15076,Keenan Allen,LAC,WR,10,515,51.5,.43,0.2,.00,17.3,.13,13.0,17.5,164.0,31.8
14,14005,T.Y. Hilton,DAL,WR,3,60,20.0,.20,0.0,.00,16.7,.02,11.7,16.7,19.1,31.8
15,20788,Mecole Hardman Jr.,KC,WR,8,303,37.9,.44,1.3,.01,11.2,.05,9.6,12.5,93.8,31.0
16,22564,Ja'Marr Chase,CIN,WR,12,793,66.1,.72,0.6,.01,16.9,.23,11.6,17.5,242.4,30.6
17,21042,A.J. Brown,PHI,WR,17,1004,59.1,.85,0.0,.00,14.5,.29,8.8,14.5,299.6,29.8
18,21679,CeeDee Lamb,DAL,WR,17,1015,59.7,.87,1.0,.02,15.4,.29,11.5,16.4,301.6,29.7
19,16830,Tyler Lockett,SEA,WR,16,799,49.9,.73,0.0,.00,14.6,.21,10.5,14.6,237.3,29.7
20,21690,Tee Higgins,CIN,WR,16,757,47.3,.68,0.0,.00,14.4,.18,9.8,14.4,220.9,29.2
21,21692,Jerry Jeudy,DEN,WR,15,713,47.5,.63,0.6,.01,14.0,.18,10.0,14.6,204.2,28.6
22,22623,Rashod Bateman,BAL,WR,6,190,31.7,.37,0.0,.00,14.7,.06,7.9,14.7,53.5,28.2
23,14986,DeAndre Hopkins,ARI,WR,9,555,61.7,.74,0.0,.00,17.3,.15,11.5,17.3,151.7,27.3
24,20876,Jakobi Meyers,NE,WR,14,690,49.3,.66,0.3,.00,13.9,.19,10.0,14.2,180.3,26.1
25,20932,Deebo Samuel Sr.,SF,WR,13,659,50.7,.60,6.4,.08,14.3,.18,14.9,20.6,168.4,25.6
26,20875,DK Metcalf,SEA,WR,17,893,52.5,.82,0.0,.00,15.8,.25,10.1,15.8,226.8,25.4
27,18880,Chris Godwin,TB,WR,15,880,58.7,.72,0.3,.01,16.1,.20,12.2,16.5,222.8,25.3
28,20077,Richie James,NYG,WR,17,524,30.8,.46,0.4,.00,13.4,.14,11.3,13.7,132.5,25.3
29,16765,Amari Cooper,CLE,WR,17,978,57.5,.83,0.0,.00,13.5,.25,8.1,13.6,246.0,25.2
30,18914,Mike Williams,LAC,WR,13,703,54.1,.59,0.0,.00,13.2,.14,9.0,13.2,176.5,25.1
31,19815,Christian Kirk,JAX,WR,17,991,58.3,.88,0.5,.01,13.4,.23,9.1,14.0,241.9,24.4
32,23122,Garrett Wilson,NYJ,WR,17,885,52.1,.79,0.5,.01,16.6,.25,9.9,17.2,215.7,24.4
33,18883,JuJu Smith-Schuster,KC,WR,16,765,47.8,.67,0.0,.00,13.2,.16,10.2,13.2,185.3,24.2
34,16597,Mike Evans,TB,WR,15,931,62.1,.81,0.0,.00,13.6,.18,8.3,13.6,225.4,24.2
35,23119,Treylon Burks,TEN,WR,11,393,35.7,.49,1.0,.01,13.7,.12,9.4,14.8,94.1,23.9
36,21687,DeVonta Smith,PHI,WR,17,1083,63.7,.92,0.0,.00,12.6,.27,8.8,12.6,254.6,23.5
37,20006,Russell Gage,TB,WR,13,529,40.7,.44,0.0,.00,13.2,.10,9.6,13.2,123.6,23.4
38,21760,Isaiah Hodgins,NYG,WR,10,433,43.3,.55,0.0,.00,11.1,.10,8.5,11.1,100.2,23.1
39,21747,Brandon Aiyuk,SF,WR,17,1002,58.9,.91,0.2,.00,11.4,.21,8.0,11.6,227.8,22.7
40,23170,Wan'Dale Robinson,NYG,WR,6,229,38.2,.34,0.9,.00,13.5,.06,10.9,14.4,51.6,22.5
41,16568,Brandin Cooks,HOU,WR,13,657,50.5,.62,0.3,.01,14.2,.17,9.0,14.5,145.6,22.2
42,21071,Greg Dortch,ARI,WR,16,513,32.1,.43,1.4,.02,12.5,.10,11.5,13.8,113.1,22.0
43,13227,Randall Cobb,GB,WR,13,371,28.5,.44,0.0,.00,13.5,.10,9.2,13.5,81.7,22.0
44,21263,Trenton Irwin,CIN,WR,9,287,31.9,.47,0.3,.00,8.0,.04,5.6,8.4,63.2,22.0
45,21756,Nico Collins,HOU,WR,10,442,44.2,.51,0.0,.00,14.9,.12,8.4,14.9,97.1,22.0
46,23151,Drake London,ATL,WR,17,819,48.2,.78,0.0,.00,14.3,.29,8.8,14.3,178.6,21.8
47,19043,Isaiah McKenzie,BUF,WR,15,555,37.0,.51,1.6,.02,11.7,.11,9.2,13.3,119.8,21.6
48,20873,Terry McLaurin,WAS,WR,17,1063,62.5,.89,0.7,.01,11.3,.23,7.9,11.9,229.0,21.5
49,14865,Marquise Goodwin,SEA,WR,13,420,32.3,.44,0.5,.00,10.0,.08,6.9,10.5,90.2,21.5
50,18926,Zay Jones,JAX,WR,16,930,58.1,.83,0.4,.01,13.0,.21,9.2,13.4,198.1,21.3
51,17986,Tyler Boyd,CIN,WR,16,797,49.8,.72,0.0,.00,10.3,.14,7.4,10.4,167.1,21.0
52,20924,Hunter Renfrow,LV,WR,10,377,37.7,.49,0.0,.00,13.3,.09,9.5,13.3,79.0,21.0
53,17961,Sterling Shepard,NYG,WR,3,165,55.0,.80,0.0,.00,14.5,.05,7.9,14.5,34.4,20.8
54,18928,Curtis Samuel,WAS,WR,17,850,50.0,.71,4.5,.07,10.8,.17,12.0,15.3,176.3,20.7
55,22602,Tutu Atwell,LAR,WR,13,308,23.7,.30,2.9,.03,11.4,.07,8.8,14.3,63.2,20.5
56,19844,DJ Moore,CAR,WR,17,978,57.5,.96,1.0,.03,12.1,.33,7.5,13.1,199.1,20.4
57,21744,Michael Pittman Jr.,IND,WR,16,1065,66.6,.93,0.3,.01,13.2,.25,9.6,13.5,216.5,20.3
58,20145,Allen Lazard,GB,WR,15,863,57.5,.79,0.2,.00,11.6,.20,7.2,11.8,174.8,20.3
59,23155,Jahan Dotson,WAS,WR,12,651,54.2,.55,0.3,.00,9.4,.11,5.7,9.7,130.6,20.1
60,13291,Julio Jones,TB,WR,10,351,35.1,.29,1.4,.01,12.3,.06,8.3,13.7,70.4,20.1
61,19318,Kendrick Bourne,NE,WR,16,441,27.6,.42,1.4,.01,10.9,.09,9.3,12.2,88.3,20.0
62,16020,Jarvis Landry,NO,WR,9,301,33.4,.35,0.0,.00,13.0,.07,8.3,13.0,60.2,20.0
63,21045,Marquise Brown,ARI,WR,12,783,65.2,.91,0.1,.00,13.7,.17,8.7,13.8,156.0,19.9
64,18422,Kalif Raymond,DET,WR,17,555,32.6,.49,1.3,.01,11.5,.12,9.7,12.8,110.2,19.9
65,23167,Romeo Doubs,GB,WR,13,529,40.7,.48,0.2,.00,12.7,.13,8.1,12.9,101.6,19.2
66,22626,Rondale Moore,ARI,WR,8,459,57.4,.49,1.3,.02,12.2,.09,10.2,13.5,87.9,19.2
67,16775,DeVante Parker,NE,WR,13,545,41.9,.52,0.0,.00,8.6,.09,5.7,8.6,102.9,18.9
68,23153,George Pickens,PIT,WR,17,882,51.9,.76,0.3,.01,9.5,.17,6.2,9.9,166.5,18.9
69,22613,Joshua Palmer,LAC,WR,16,898,56.1,.75,0.1,.00,11.9,.16,8.1,12.0,169.3,18.9
70,21735,Gabe Davis,BUF,WR,15,926,61.7,.85,0.0,.00,10.0,.16,5.2,10.0,171.6,18.5
71,20943,Darius Slayton,NYG,WR,16,698,43.6,.61,0.0,.00,10.2,.14,6.6,10.2,128.4,18.4
72,19816,DJ Chark,DET,WR,11,534,48.5,.59,0.0,.00,9.7,.10,5.6,9.7,98.2,18.4
73,21959,Dezmon Patmon,IND,WR,1,24,24.0,.07,0.0,.00,25.0,.01,8.3,25.0,4.4,18.3
74,19800,Courtland Sutton,DEN,WR,15,882,58.8,.78,0.1,.00,12.4,.19,7.4,12.5,159.4,18.1
