rank,id,player,team,pos,gp,snaps,snaps_per_gp,snap_pct,rush_per_snap,rush_share,tgt_per_snap,tgt_share,touch_per_snap,util_per_snap,fpts_ppr,fpts_ppr_per_snap
75,21714,K.J. Osborn,MIN,WR,17,873,51.4,.75,0.3,.01,10.3,.13,7.2,10.7,155.6,17.8
76,21721,Devin Duvernay,BAL,WR,14,632,45.1,.69,1.9,.02,7.8,.10,7.8,9.7,110.1,17.4
77,21077,Diontae Johnson,PIT,WR,17,1042,61.3,.90,0.7,.01,14.1,.30,8.9,14.8,180.7,17.3
78,15534,Adam Thielen,MIN,WR,17,1042,61.3,.89,0.1,.00,10.3,.16,6.8,10.4,180.0,17.3
79,18030,Chris Moore,HOU,WR,16,678,42.4,.64,0.4,.01,10.9,.13,7.5,11.4,115.1,17.0
80,21717,Jauan Jennings,SF,WR,16,489,30.6,.44,0.0,.00,11.5,.10,7.2,11.5,82.6,16.9
81,13870,Marvin Jones Jr.,JAX,WR,16,700,43.8,.62,0.0,.00,11.6,.14,6.6,11.6,116.9,16.7
82,19017,Josh Reynolds,DET,WR,14,625,44.6,.55,0.0,.00,9.4,.11,6.1,9.4,103.9,16.6
83,17141,Damiere Byrd,ATL,WR,14,312,22.3,.30,0.0,.00,7.4,.06,4.2,7.4,51.8,16.6
84,18047,Demarcus Robinson,BAL,WR,17,637,37.5,.58,0.0,.00,11.8,.15,7.5,11.8,103.8,16.3
85,21961,Darnell Mooney,CHI,WR,12,630,52.5,.83,0.2,.00,9.7,.15,6.5,9.8,101.5,16.1
86,17218,DeAndre Carter,LAC,WR,17,698,41.1,.59,0.3,.00,9.3,.09,6.9,9.6,112.3,16.1
87,21752,Chase Claypool,CHI,WR,15,662,44.1,.62,1.4,.02,11.9,.20,8.5,13.4,105.0,15.9
88,21739,Van Jefferson,LAR,WR,11,498,45.3,.65,0.0,.00,8.8,.09,4.8,8.8,78.9,15.8
89,18879,Corey Davis,NYJ,WR,13,617,47.5,.55,0.0,.00,10.4,.11,5.2,10.4,97.6,15.8
90,16781,Nelson Agholor,NE,WR,16,476,29.8,.45,0.0,.00,11.1,.10,6.5,11.1,75.2,15.8
91,19976,Marquez Valdes-Scantling,KC,WR,17,777,45.7,.68,0.1,.00,10.4,.13,5.5,10.6,122.4,15.8
92,23232,Alec Pierce,IND,WR,16,725,45.3,.63,0.0,.00,10.8,.14,5.7,10.8,112.3,15.5
93,21754,Donovan Peoples-Jones,CLE,WR,17,1055,62.1,.90,0.1,.00,9.1,.18,5.9,9.2,161.1,15.3
94,21005,Parris Campbell,IND,WR,17,980,57.6,.85,0.5,.01,9.3,.16,6.9,9.8,149.1,15.2
95,16263,Allen Robinson II,LAR,WR,10,562,56.2,.83,0.0,.00,9.3,.11,5.9,9.3,84.9,15.1
96,19023,Mack Hollins,LV,WR,17,1030,60.6,.93,0.4,.01,9.1,.17,6.0,9.6,154.2,14.9
97,21142,Olamide Zaccheaus,ATL,WR,17,737,43.4,.70,0.3,.00,8.3,.15,5.7,8.5,110.0,14.9
98,14871,Robert Woods,TEN,WR,17,809,47.6,.78,0.0,.00,11.2,.21,6.6,11.2,115.7,14.3
99,19867,Michael Gallup,DAL,WR,14,738,52.7,.64,0.0,.00,10.0,.14,5.3,10.0,105.4,14.3
100,20792,N'Keal Harry,CHI,WR,7,176,25.1,.23,0.0,.00,5.1,.02,4.0,5.1,24.6,14.0
101,19080,Noah Brown,DAL,WR,16,822,51.4,.71,0.0,.00,8.9,.13,5.2,8.9,114.5,13.9
102,20081,Trent Sherfield Sr.,MIA,WR,17,610,35.9,.58,0.0,.00,8.4,.09,4.9,8.4,83.7,13.7
103,19897,Tre'Quan Smith,NO,WR,15,403,26.9,.38,0.0,.00,6.7,.05,4.7,6.7,52.8,13.1
104,16003,Sammy Watkins,BAL,WR,12,357,29.8,.48,0.0,.00,7.6,.05,4.5,7.6,46.5,13.0
105,16866,Jamison Crowder,BUF,WR,4,93,23.2,.33,0.0,.00,14.0,.02,6.5,14.0,12.0,12.9
106,22685,Terrace Marshall Jr.,CAR,WR,14,645,46.1,.63,0.0,.00,7.3,.13,4.3,7.3,83.0,12.9
107,22609,Shi Smith,CAR,WR,17,482,28.4,.47,0.0,.00,8.5,.11,4.6,8.5,61.6,12.8
108,23469,Tyquan Thornton,NE,WR,13,527,40.5,.66,0.6,.01,8.5,.09,4.7,9.1,66.3,12.6
109,20150,Byron Pringle,CHI,WR,11,285,25.9,.46,0.0,.00,5.6,.04,3.5,5.6,35.5,12.5
110,19854,Dante Pettis,CHI,WR,17,524,30.8,.51,0.4,.00,7.8,.10,4.0,8.2,65.2,12.4
111,21957,Quez Watkins,PHI,WR,17,681,40.1,.58,0.4,.01,7.3,.10,5.3,7.8,84.5,12.4
112,22213,Kendall Hinton,DEN,WR,12,461,38.4,.46,0.4,.00,7.2,.06,5.6,7.6,56.4,12.2
113,22590,Ben Skowronek,LAR,WR,14,696,49.7,.68,0.1,.00,8.8,.12,5.7,8.9,84.3,12.1
114,22592,Elijah Moore,NYJ,WR,16,731,45.7,.66,0.7,.01,8.9,.11,5.7,9.6,88.1,12.1
115,19922,Justin Watson,KC,WR,17,494,29.1,.43,0.0,.00,6.9,.05,3.0,6.9,58.5,11.8
116,20398,Equanimeous St. Brown,CHI,WR,16,555,34.7,.54,1.1,.01,6.8,.09,4.9,7.9,64.7,11.7
117,21759,KJ Hamler,DEN,WR,7,224,32.0,.30,0.9,.00,6.2,.03,4.0,7.1,25.8,11.5
118,12845,A.J. Green,ARI,WR,15,554,36.9,.46,0.0,.00,8.5,.08,4.3,8.5,61.6,11.1
119,16790,Phillip Dorsett,HOU,WR,15,465,31.0,.44,0.0,.00,8.6,.07,4.5,8.8,51.7,11.1
120,21400,Steven Sims,PIT,WR,12,284,23.7,.24,4.6,.03,8.1,.05,9.5,12.7,31.4,11.1
121,21741,Denzel Mims,NYJ,WR,10,270,27.0,.24,0.0,.00,9.3,.04,4.1,9.3,29.6,11.0
122,21734,Nick Westbrook-Ikhine,TEN,WR,17,777,45.7,.75,0.0,.00,6.4,.11,3.2,6.4,82.7,10.6
123,18187,Robbie Chosen,ARI,WR,16,493,30.8,.45,0.0,.00,8.9,.07,4.1,8.9,52.2,10.6
124,16787,Breshad Perriman,TB,WR,11,229,20.8,.19,0.9,.01,8.3,.03,4.8,9.2,23.3,10.2
125,21960,Freddie Swain,DEN,WR,4,116,29.0,.36,0.0,.00,5.2,.01,3.4,5.2,11.4,9.8
126,21556,Tom Kennedy,DET,WR,7,227,32.4,.34,0.0,.00,6.6,.03,3.5,6.6,22.1,9.7
127,21750,Marquez Callaway,NO,WR,14,397,28.4,.38,0.0,.00,8.1,.06,4.0,8.1,37.8,9.5
128,23099,Michael Bandy,LAC,WR,10,205,20.5,.21,0.0,.00,10.2,.03,4.9,10.2,18.9,9.2
129,23148,David Bell,CLE,WR,16,516,32.2,.44,0.0,.00,6.8,.07,4.7,6.8,45.4,8.8
130,19514,Keelan Cole Sr.,LV,WR,14,369,26.4,.35,0.0,.00,5.7,.04,2.7,5.7,30.1,8.2
131,20939,David Sills,NYG,WR,9,270,30.0,.27,0.0,.00,6.3,.03,4.1,6.3,21.6,8.0
132,18977,Kenny Golladay,NYG,WR,12,261,21.8,.23,0.0,.00,6.5,.03,2.3,6.5,20.1,7.7
133,17914,Laquon Treadwell,SEA,WR,6,138,23.0,.34,0.0,.00,7.2,.02,4.3,7.2,10.2,7.4
134,23763,Brandon Johnson,DEN,WR,7,204,29.1,.39,0.0,.00,6.9,.03,2.9,6.9,14.2,7.0
135,18209,Marcus Johnson,NYG,WR,14,312,22.3,.34,0.0,.00,7.1,.04,2.9,7.1,18.9,6.1
136,23725,Dennis Houston,DAL,WR,2,60,30.0,.46,0.0,.00,10.0,.01,3.3,10.0,3.6,6.0
137,20816,Lil'Jordan Humphrey,NE,WR,6,128,21.3,.34,0.0,.00,3.1,.01,1.6,3.1,4.0,3.1
138,20071,Keith Kirkwood,NO,WR,5,153,30.6,.46,0.0,.00,2.6,.01,1.3,2.6,3.8,2.5
