rank,id,player,team,pos,gp,redzone10_pass_yds,redzone10_pass_td,redzone10_pass_int,redzone10_rush_yds,redzone10_rush_td,redzone10_rec,redzone10_rec_yds,redzone10_rec_td,redzone10_fpts_ppr
64,12845,A.J. Green,ARI,WR,15,0,0,0,0,0,1,6,1,9.6
65,21721,Devin Duvernay,BAL,WR,14,0,0,0,2,0,2,13,1,9.5
66,18879,Corey Davis,NYJ,WR,13,0,0,0,0,0,2,10,1,9.0
67,21717,Jauan Jennings,SF,WR,16,0,0,0,0,0,2,6,1,8.6
68,18883,JuJu Smith-Schuster,KC,WR,16,0,0,0,0,0,2,2,1,8.2
69,18914,Mike Williams,LAC,WR,13,0,0,0,0,0,1,10,1,8.0
70,23481,Velus Jones Jr.,CHI,WR,12,0,0,0,0,0,1,9,1,7.9
71,13291,Julio Jones,TB,WR,10,0,0,0,0,0,1,8,1,7.8
72,21735,Gabe Davis,BUF,WR,15,0,0,0,0,0,1,8,1,7.8
73,19961,Ray-Ray McCloud,SF,WR,17,0,0,0,0,0,1,8,1,7.8
74,18047,Demarcus Robinson,BAL,WR,17,0,0,0,0,0,1,6,1,7.6
75,16568,Brandin Cooks,HOU,WR,13,0,0,0,0,0,1,6,1,7.6
76,14986,DeAndre Hopkins,ARI,WR,9,0,0,0,0,0,1,6,1,7.6
77,21756,Nico Collins,HOU,WR,10,0,0,0,0,0,1,6,1,7.6
78,19854,Dante Pettis,CHI,WR,17,0,0,0,0,0,1,6,1,7.6
79,21045,Marquise Brown,ARI,WR,12,0,0,0,0,0,1,6,1,7.6
80,16855,Ty Montgomery II,NE,WR,1,0,0,0,0,0,1,6,1,7.6
81,22572,Dax Milne,WAS,WR,15,0,0,0,0,0,1,6,1,7.6
82,19800,Courtland Sutton,DEN,WR,15,0,0,0,0,0,1,5,1,7.5
83,23167,Romeo Doubs,GB,WR,13,0,0,0,0,0,1,5,1,7.5
84,23170,Wan'Dale Robinson,NYG,WR,6,0,0,0,0,0,1,5,1,7.5
85,19318,Kendrick Bourne,NE,WR,16,0,0,0,0,0,1,5,1,7.5
86,21750,Marquez Callaway,NO,WR,14,0,0,0,0,0,1,4,1,7.4
87,19976,Marquez Valdes-Scantling,KC,WR,17,0,0,0,0,0,1,4,1,7.4
88,20150,Byron Pringle,CHI,WR,11,0,0,0,0,0,1,4,1,7.4
89,19922,Justin Watson,KC,WR,17,0,0,0,0,0,1,4,1,7.4
90,21142,Olamide Zaccheaus,ATL,WR,17,0,0,0,0,0,1,3,1,7.3
91,16775,DeVante Parker,NE,WR,13,0,0,0,0,0,1,2,1,7.2
92,19755,River Cracraft,MIA,WR,11,0,0,0,0,0,1,2,1,7.2
93,21686,Jalen Reagor,MIN,WR,17,0,0,0,0,0,1,1,1,7.1
94,23763,Brandon Johnson,DEN,WR,7,0,0,0,0,0,1,1,1,7.1
95,19816,DJ Chark,DET,WR,11,0,0,0,0,0,1,1,1,7.1
96,21077,Diontae Johnson,PIT,WR,17,0,0,0,0,0,2,8,0,6.8
97,20038,Braxton Berrios,NYJ,WR,17,2,1,0,0,0,1,1,0,5.2
98,22213,Kendall Hinton,DEN,WR,12,0,0,0,0,0,2,8,0,2.8
99,21961,Darnell Mooney,CHI,WR,12,0,0,0,0,0,2,6,0,2.6
100,20487,Brandon Powell,LAR,WR,17,0,0,0,0,0,2,4,0,2.4
101,17218,DeAndre Carter,LAC,WR,17,0,0,0,0,0,2,2,0,2.2
102,20679,KhaDarel Hodge,ATL,WR,17,0,0,0,0,0,0,0,0,2.0
103,23227,Khalil Shakir,BUF,WR,14,0,0,0,0,0,0,0,0,2.0
104,21601,Gunner Olszewski,PIT,WR,16,0,0,0,0,0,1,8,0,1.8
105,21349,Ashton Dulin,IND,WR,12,0,0,0,0,0,1,7,0,1.7
106,20943,Darius Slayton,NYG,WR,16,0,0,0,0,0,1,6,0,1.6
107,21723,James Proche II,BAL,WR,15,0,0,0,0,0,1,6,0,1.6
108,23119,Treylon Burks,TEN,WR,11,0,0,0,0,0,1,6,0,1.6
109,20081,Trent Sherfield Sr.,MIA,WR,17,0,0,0,0,0,1,5,0,1.5
110,19280,Cody Hollister,TEN,WR,11,0,0,0,0,0,1,5,0,1.5
111,23168,Skyy Moore,KC,WR,16,0,0,0,3,0,1,2,0,1.5
112,21138,Scotty Miller,TB,WR,15,0,0,0,0,0,1,5,0,1.5
113,20939,David Sills,NYG,WR,9,0,0,0,0,0,1,5,0,1.5
114,22623,Rashod Bateman,BAL,WR,6,0,0,0,0,0,1,4,0,1.4
115,18030,Chris Moore,HOU,WR,16,0,0,0,0,0,1,4,0,1.4
116,21736,Bryan Edwards,ATL,WR,7,0,0,0,0,0,1,3,0,1.3
117,18422,Kalif Raymond,DET,WR,17,0,0,0,0,0,1,3,0,1.3
118,23604,Montrell Washington,DEN,WR,15,0,0,0,1,0,0,0,0,0.1
119,19897,Tre'Quan Smith,NO,WR,15,0,0,0,0,0,0,0,0,0.0
120,16003,Sammy Watkins,BAL,WR,12,0,0,0,0,0,0,0,0,0.0
121,22609,Shi Smith,CAR,WR,17,0,0,0,0,0,0,0,0,0.0
122,22620,Mike Strachan,IND,WR,13,0,0,0,0,0,0,0,0,0.0
123,22622,Racey McMath,TEN,WR,5,0,0,0,0,0,0,0,0,0.0
124,22685,Terrace Marshall Jr.,CAR,WR,14,0,0,0,0,0,0,0,0,0.0
125,20816,Lil'Jordan Humphrey,NE,WR,6,0,0,0,0,0,0,0,0,0.0
126,20820,Andy Isabella,BAL,WR,5,0,0,0,0,0,0,0,0,0.0
127,21368,Trinity Benson,DET,WR,1,0,0,0,0,0,0,0,0,0.0
128,21675,Tyler Johnson,HOU,WR,2,0,0,0,0,0,0,0,0,0.0
129,21697,Laviska Shenault Jr.,CAR,WR,13,0,0,0,0,0,0,0,0,0.0
130,21115,Juwann Winfree,GB,WR,3,0,0,0,0,0,0,0,0,0.0
131,22339,Kirk Merritt,NO,WR,4,0,0,0,0,0,0,0,0,0.0
132,22345,Dan Chisena,MIN,WR,2,0,0,0,0,0,0,0,0,0.0
133,21722,Binjimen Victor,BAL,WR,2,0,0,0,0,0,0,0,0,0.0
134,21729,Quintez Cephus,DET,WR,4,0,0,0,0,0,0,0,0,0.0
135,23148,David Bell,CLE,WR,16,0,0,0,0,0,0,0,0,0.0
136,22616,Kaylon Geiger,TB,WR,3,0,0,0,0,0,0,0,0,0.0
137,22234,Andre Baccellia,ARI,WR,8,0,0,0,0,0,0,0,0,0.0
138,20011,Javon Wims,ARI,WR,1,0,0,0,0,0,0,0,0,0.0
139,22415,Mason Kinsey,TEN,WR,2,0,0,0,0,0,0,0,0,0.0
140,23368,Jalen Nailor,MIN,WR,15,0,0,0,0,0,0,0,0,0.0
141,22892,Tim Jones,JAX,WR,17,0,0,0,0,0,0,0,0,0.0
142,22635,Jalen Camp,HOU,WR,2,0,0,0,0,0,0,0,0,0.0
143,22644,DJ Turner,LV,WR,9,0,0,0,0,0,0,0,0,0.0
144,22645,Simi Fehoko,DAL,WR,5,0,0,0,0,0,0,0,0,0.0
145,22683,Jacob Harris,LAR,WR,7,0,0,0,0,0,0,0,0,0.0
146,22973,Austin Trammell,LAR,WR,6,0,0,0,0,0,0,0,0,0.0
147,18209,Marcus Johnson,NYG,WR,14,0,0,0,0,0,0,0,0,0.0
148,21037,Miles Boykin,PIT,WR,16,0,0,0,0,0,0,0,0,0.0
149,23642,Jalen Virgil,DEN,WR,9,0,0,0,0,0,0,0,0,0.0
150,18197,Alex Erickson,WAS,WR,2,0,0,0,0,0,0,0,0,0.0
