rank,id,player,team,pos,gp,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,def_sck,def_int,fum_forced,fum_recovered,fpts_ppr_per_gp,fpts_ppr
42,23141,Sam LaPorta,DET,TE,17,0,0,0,4,0,86,889,10,0,0,0,0,14.1,239.3
43,21681,Justin Herbert,LAC,QB,13,3134,20,7,228,3,1,10,0,0,0,0,0,18.0,234.2
44,18878,Alvin Kamara,NO,RB,13,0,0,0,694,5,75,466,1,0,0,0,0,17.9,233.0
45,23247,James Cook,BUF,RB,17,0,0,0,1122,2,44,445,4,0,0,0,0,13.7,232.7
46,22565,Chris Olave,NO,WR,16,0,0,0,0,0,87,1123,5,0,0,0,0,14.5,231.3
47,15534,Adam Thielen,CAR,WR,17,0,0,0,6,0,103,1014,4,0,0,0,0,13.6,231.0
48,18912,Evan Engram,JAX,TE,17,0,0,0,0,0,114,963,4,0,0,0,0,13.5,230.3
49,22492,Justin Fields,CHI,QB,13,2562,16,9,657,4,0,0,0,0,0,0,0,17.7,230.2
50,19802,Calvin Ridley,JAX,WR,17,0,0,0,23,0,76,1016,8,0,0,0,0,13.5,229.9
51,21687,DeVonta Smith,PHI,WR,16,0,0,0,0,0,81,1066,7,0,0,0,0,14.2,227.6
52,14895,Geno Smith,SEA,QB,15,3624,20,9,155,1,1,-2,0,0,0,0,0,15.2,227.3
53,16765,Amari Cooper,CLE,WR,15,0,0,0,0,0,72,1250,5,0,0,0,0,15.1,227.0
54,20875,DK Metcalf,SEA,WR,16,0,0,0,0,0,66,1114,8,0,0,0,0,14.1,225.4
55,14986,DeAndre Hopkins,TEN,WR,17,0,0,0,9,0,75,1057,7,0,0,0,0,13.2,223.6
56,19766,Saquon Barkley,NYG,RB,14,0,0,0,962,6,41,280,4,0,0,0,0,15.9,223.2
57,20912,Tony Pollard,DAL,RB,17,0,0,0,1005,6,55,311,0,0,0,0,0,13.1,222.6
58,23162,Jordan Addison,MIN,WR,17,0,0,0,2,0,70,911,10,0,0,0,0,13.0,221.3
59,15048,Travis Kelce,KC,TE,15,0,0,0,0,0,93,984,5,0,0,0,0,14.6,219.4
60,20805,T.J. Hockenson,MIN,TE,15,0,0,0,0,0,95,960,5,0,0,0,0,14.6,219.0
61,20876,Jakobi Meyers,LV,WR,16,12,1,0,24,2,71,807,8,0,0,0,0,13.7,218.6
62,23233,Jayden Reed,GB,WR,16,0,0,0,119,2,64,793,8,0,0,0,0,13.6,217.2
63,23371,Isiah Pacheco,KC,RB,14,0,0,0,935,7,44,244,2,0,0,0,0,15.3,213.9
64,23122,Garrett Wilson,NYJ,WR,17,0,0,0,0,0,95,1042,3,0,0,0,0,12.5,213.2
65,24120,Rashee Rice,KC,WR,16,0,0,0,-3,0,79,938,7,0,0,0,0,13.3,212.5
66,23205,Jerome Ford,CLE,RB,17,0,0,0,813,4,44,319,5,0,0,0,0,12.4,211.2
67,18880,Chris Godwin,TB,WR,17,0,0,0,38,1,83,1024,2,0,0,0,0,12.3,209.2
68,20873,Terry McLaurin,WAS,WR,17,0,0,0,0,1,79,1002,4,0,0,0,0,12.3,209.2
69,23153,George Pickens,PIT,WR,17,0,0,0,18,0,63,1140,5,0,0,0,0,12.3,208.8
70,20882,David Montgomery,DET,RB,14,0,0,0,1015,13,16,117,0,0,0,0,0,14.8,207.2
71,23120,Zay Flowers,BAL,WR,16,0,0,0,56,1,77,858,5,0,0,0,0,12.9,206.4
72,19063,George Kittle,SF,TE,16,0,0,0,2,0,65,1020,6,0,0,0,0,12.7,203.2
73,16830,Tyler Lockett,SEA,WR,17,0,0,0,0,0,79,894,5,0,0,0,0,11.9,202.4
74,21685,Justin Jefferson,MIN,WR,10,0,0,0,-12,0,68,1074,5,0,0,0,0,20.2,202.2
75,18983,James Conner,ARI,RB,13,0,0,0,1040,7,27,165,2,0,0,0,0,15.5,201.5
76,18916,T.J. Watt,PIT,LB,17,0,0,0,0,0,0,0,0,19,1,4,3,11.8,201.2
77,18876,David Njoku,CLE,TE,16,0,0,0,0,0,81,882,6,0,0,0,0,12.6,201.2
78,19025,Joshua Dobbs,MIN,QB,13,2464,13,10,421,6,0,0,0,0,0,0,0,15.4,200.7
79,23214,Kenneth Walker III,SEA,RB,15,0,0,0,905,8,29,259,1,0,0,0,0,13.3,199.4
80,21684,D'Andre Swift,PHI,RB,16,0,0,0,1049,5,39,214,1,0,0,0,0,12.5,199.3
81,22598,Jaylen Waddle,MIA,WR,14,0,0,0,12,0,72,1014,4,0,0,0,0,14.2,198.6
82,23190,Brian Robinson Jr.,WAS,RB,15,0,0,0,733,5,36,368,4,0,0,0,0,13.2,198.1
83,23479,Jaylen Warren,PIT,RB,17,0,0,0,784,4,61,370,0,0,0,0,0,11.6,196.4
84,20880,Gardner Minshew II,IND,QB,16,3305,15,9,100,3,0,0,0,0,0,0,0,12.3,196.2
85,21768,Najee Harris,PIT,RB,17,0,0,0,1035,8,29,170,0,0,0,0,0,11.5,195.5
86,24179,De'Von Achane,MIA,RB,11,0,0,0,800,8,27,197,3,0,0,0,0,17.3,190.7
87,20007,Foyesade Oluokun,JAX,LB,17,0,0,0,0,0,0,0,0,3,1,1,2,11.2,190.3
88,19800,Courtland Sutton,DEN,WR,16,0,0,0,0,0,59,772,10,0,0,0,0,11.9,190.2
89,20239,Gus Edwards,BAL,RB,17,0,0,0,810,13,12,180,0,0,0,0,0,11.0,187.0
90,19562,Austin Ekeler,LAC,RB,14,0,0,0,628,5,51,436,1,0,0,0,0,13.2,185.4
91,16323,Khalil Mack,LAC,OLB,17,0,0,0,0,0,0,0,0,17,0,6,0,10.8,183.9
92,21940,Antoine Winfield Jr.,TB,S,17,0,0,0,0,0,0,0,0,6,3,6,4,10.8,182.8
93,21691,Chuba Hubbard,CAR,RB,17,0,0,0,902,5,39,233,0,0,0,0,0,10.7,182.5
94,23251,Trey McBride,ARI,TE,17,0,0,0,0,0,81,825,3,0,0,0,0,10.7,181.5
95,21772,Cole Kmet,CHI,TE,17,0,0,0,2,0,73,719,6,0,0,0,0,10.7,181.1
96,20824,Josh Jacobs,LV,RB,13,0,0,0,805,6,37,296,0,0,0,0,0,13.9,181.1
97,22558,Javonte Williams,DEN,RB,16,0,0,0,774,3,47,228,2,0,0,0,0,11.2,179.2
98,22502,Desmond Ridder,ATL,QB,15,2836,12,12,193,5,1,-6,0,0,0,0,0,11.8,177.1
99,23138,Jake Ferguson,DAL,TE,17,0,0,0,0,0,71,761,5,0,0,0,0,10.4,177.1
100,24902,Brandon Aubrey,DAL,K,17,0,0,0,0,0,0,0,0,0,0,0,0,10.4,177.0
101,21015,Maxx Crosby,LV,DE,17,0,0,0,0,0,0,0,0,15,0,2,1,10.4,176.5
102,17923,Ezekiel Elliott,NE,RB,17,0,0,0,642,3,51,313,2,0,0,0,0,10.3,174.5
103,23167,Romeo Doubs,GB,WR,17,0,0,0,0,0,59,674,8,0,0,0,0,10.3,174.4
104,23151,Drake London,ATL,WR,16,22,0,0,0,0,69,905,2,0,0,0,0,10.9,174.4
105,16568,Brandin Cooks,DAL,WR,16,0,0,0,35,0,54,657,8,0,0,0,0,10.8,173.2
106,20897,Bobby Okereke,NYG,ILB,17,0,0,0,0,0,0,0,0,3,2,4,0,10.2,172.8
107,16849,Danielle Hunter,MIN,OLB,17,0,0,0,0,0,0,0,0,17,0,4,0,10.1,172.5
108,14534,Bobby Wagner,SEA,LB,17,0,0,0,0,0,0,0,0,4,0,0,1,10.1,171.9
109,23447,Terrel Bernard,BUF,LB,17,0,0,0,0,0,0,0,0,7,3,0,3,10.1,171.7
110,21784,Zack Moss,IND,RB,14,0,0,0,794,5,27,192,2,0,0,0,0,12.1,169.6
111,17085,Alex Singleton,DEN,ILB,17,0,0,0,0,0,0,0,0,2,0,0,2,9.9,168.1
112,20749,T.J. Edwards,CHI,LB,17,0,0,0,0,0,0,0,0,3,3,1,2,9.9,167.9
113,20941,Devin Singletary,HOU,RB,17,6,1,0,898,4,30,193,0,0,0,0,0,9.8,167.3
114,24176,Tank Dell,HOU,WR,11,0,0,0,51,0,47,709,7,0,0,0,0,15.0,165.0
115,20024,Zaire Franklin,IND,LB,16,0,0,0,0,0,0,0,0,2,0,2,0,10.3,164.8
116,18882,Cooper Kupp,LAR,WR,12,0,0,0,-3,0,59,737,5,0,0,0,0,13.7,164.4
117,21109,Quincy Williams,NYJ,LB,17,0,0,0,0,0,0,0,0,2,1,2,1,9.6,163.0
118,20737,Joshua Hines-Allen,JAX,OLB,17,0,0,0,0,0,0,0,0,18,1,2,0,9.5,161.6
119,21735,Gabe Davis,BUF,WR,17,0,0,0,-2,0,45,746,7,0,0,0,0,9.5,161.4
120,19891,Fred Warner,SF,LB,17,0,0,0,0,0,0,0,0,3,4,4,0,9.4,159.7
121,19873,Jessie Bates III,ATL,S,17,0,0,0,0,0,0,0,0,0,6,3,0,9.3,158.5
122,18928,Curtis Samuel,WAS,WR,16,0,0,0,39,1,62,613,4,0,0,0,0,9.8,157.2
123,24145,Josh Downs,IND,WR,17,0,0,0,0,0,68,771,2,0,0,0,0,9.2,157.1
124,21682,Jonathan Taylor,IND,RB,10,0,0,0,741,7,19,153,1,0,0,0,0,15.6,156.4
125,23132,Bryce Young,CAR,QB,16,2877,11,10,253,0,0,0,0,0,0,0,0,9.8,156.4
126,24123,Tyjae Spears,TEN,RB,17,0,0,0,453,2,52,385,1,0,0,0,0,9.0,153.8
127,20646,Robert Spillane,LV,LB,17,0,0,0,0,0,0,0,0,4,3,1,1,9.0,153.5
128,14375,Lavonte David,TB,LB,15,0,0,0,0,0,0,0,0,5,0,1,0,10.2,152.8
129,21077,Diontae Johnson,PIT,WR,13,0,0,0,0,0,51,717,5,0,0,0,0,11.7,152.7
